"Plot Title: Key Biscayne Nursery.10.15.19"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20518526, SEN S/N: 20518526)","Intensity, lum/ft² (LGR S/N: 20518526, SEN S/N: 20518526)","Coupler Attached (LGR S/N: 20518526)","Host Connected (LGR S/N: 20518526)","Stopped (LGR S/N: 20518526)","End Of File (LGR S/N: 20518526)"
1,10/15/19 08:00:00 AM,23.869,0.0,,,,
2,10/15/19 10:00:00 AM,28.655,0.0,,,,
3,10/15/19 12:00:00 PM,32.911,0.0,,,,
4,10/15/19 02:00:00 PM,32.600,0.0,,,,
5,10/15/19 04:00:00 PM,31.778,0.0,,,,
6,10/15/19 06:00:00 PM,29.953,0.0,,,,
7,10/15/19 08:00:00 PM,27.665,0.0,,,,
8,10/15/19 10:00:00 PM,27.075,0.0,,,,
9,10/16/19 12:00:00 AM,26.879,0.0,,,,
10,10/16/19 02:00:00 AM,26.585,0.0,,,,
11,10/16/19 04:00:00 AM,26.390,0.0,,,,
12,10/16/19 06:00:00 AM,26.000,0.0,,,,
13,10/16/19 08:00:00 AM,26.292,0.0,,,,
14,10/16/19 10:00:00 AM,29.352,136.0,,,,
15,10/16/19 12:00:00 PM,29.853,240.0,,,,
16,10/16/19 02:00:00 PM,29.853,336.0,,,,
17,10/16/19 04:00:00 PM,29.752,103.0,,,,
18,10/16/19 06:00:00 PM,28.754,28.0,,,,
19,10/16/19 08:00:00 PM,29.152,0.0,,,,
20,10/16/19 10:00:00 PM,29.152,0.0,,,,
21,10/17/19 12:00:00 AM,29.152,0.0,,,,
22,10/17/19 02:00:00 AM,29.152,0.0,,,,
23,10/17/19 04:00:00 AM,29.053,0.0,,,,
24,10/17/19 06:00:00 AM,29.053,0.0,,,,
25,10/17/19 08:00:00 AM,29.152,56.0,,,,
26,10/17/19 10:00:00 AM,29.352,256.0,,,,
27,10/17/19 12:00:00 PM,29.552,336.0,,,,
28,10/17/19 02:00:00 PM,29.652,152.0,,,,
29,10/17/19 04:00:00 PM,29.752,136.0,,,,
30,10/17/19 06:00:00 PM,29.452,32.0,,,,
31,10/17/19 08:00:00 PM,29.452,0.0,,,,
32,10/17/19 10:00:00 PM,29.252,0.0,,,,
33,10/18/19 12:00:00 AM,29.252,0.0,,,,
34,10/18/19 02:00:00 AM,29.252,0.0,,,,
35,10/18/19 04:00:00 AM,29.152,0.0,,,,
36,10/18/19 06:00:00 AM,29.053,0.0,,,,
37,10/18/19 08:00:00 AM,29.152,24.0,,,,
38,10/18/19 10:00:00 AM,29.252,144.0,,,,
39,10/18/19 12:00:00 PM,29.552,176.0,,,,
40,10/18/19 02:00:00 PM,29.552,216.0,,,,
41,10/18/19 04:00:00 PM,29.352,57.0,,,,
42,10/18/19 06:00:00 PM,29.352,11.0,,,,
43,10/18/19 08:00:00 PM,29.252,0.0,,,,
44,10/18/19 10:00:00 PM,29.152,0.0,,,,
45,10/19/19 12:00:00 AM,29.252,0.0,,,,
46,10/19/19 02:00:00 AM,29.352,0.0,,,,
47,10/19/19 04:00:00 AM,29.252,0.0,,,,
48,10/19/19 06:00:00 AM,29.152,0.0,,,,
49,10/19/19 08:00:00 AM,29.053,19.0,,,,
50,10/19/19 10:00:00 AM,29.053,51.0,,,,
51,10/19/19 12:00:00 PM,29.552,192.0,,,,
52,10/19/19 02:00:00 PM,29.252,62.0,,,,
53,10/19/19 04:00:00 PM,29.452,100.0,,,,
54,10/19/19 06:00:00 PM,29.252,38.0,,,,
55,10/19/19 08:00:00 PM,29.053,0.0,,,,
56,10/19/19 10:00:00 PM,29.053,0.0,,,,
57,10/20/19 12:00:00 AM,29.152,0.0,,,,
58,10/20/19 02:00:00 AM,29.053,0.0,,,,
59,10/20/19 04:00:00 AM,29.053,0.0,,,,
