Plot Title: KB Nursery.09.11.2020,,,,,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20597589, SEN S/N: 20597589)","Intensity, lum/ft² (LGR S/N: 20597589, SEN S/N: 20597589)",Coupler Attached (LGR S/N: 20597589),Host Connected (LGR S/N: 20597589),Stopped (LGR S/N: 20597589),End Of File (LGR S/N: 20597589)
1,9/11/2020 9:00,27.665,512,,,,
2,9/11/2020 11:00,30.558,200,,,,
3,9/11/2020 13:00,31.268,256,,,,
4,9/11/2020 15:00,31.268,200,,,,
5,9/11/2020 17:00,30.558,80,,,,
6,9/11/2020 19:00,30.154,10,,,,
7,9/11/2020 21:00,30.054,0,,,,
8,9/11/2020 23:00,30.054,0,,,,
9,9/12/2020 1:00,29.953,0,,,,
10,9/12/2020 3:00,29.953,0,,,,
11,9/12/2020 5:00,29.953,0,,,,
12,9/12/2020 7:00,29.853,0,,,,
13,9/12/2020 9:00,29.853,39,,,,
14,9/12/2020 11:00,29.652,13,,,,
15,9/12/2020 13:00,29.552,10,,,,
16,9/12/2020 15:00,29.552,2,,,,
17,9/12/2020 17:00,29.652,2,,,,
18,9/12/2020 19:00,29.652,0,,,,
19,9/12/2020 21:00,29.552,0,,,,
20,9/12/2020 23:00,29.252,0,,,,
21,9/13/2020 1:00,29.152,0,,,,
22,9/13/2020 3:00,29.352,0,,,,
23,9/13/2020 5:00,29.252,0,,,,
24,9/13/2020 7:00,29.152,0,,,,
25,9/13/2020 9:00,29.152,32,,,,
26,9/13/2020 11:00,29.252,94,,,,
27,9/13/2020 13:00,29.352,104,,,,
28,9/13/2020 15:00,29.552,128,,,,
29,9/13/2020 17:00,29.853,98,,,,
30,9/13/2020 19:00,29.552,6,,,,
31,9/13/2020 21:00,29.452,0,,,,
32,9/13/2020 23:00,29.352,0,,,,
33,9/14/2020 1:00,29.252,0,,,,
34,9/14/2020 3:00,29.352,0,,,,
35,9/14/2020 5:00,29.352,0,,,,
36,9/14/2020 7:00,29.552,0,,,,
37,9/14/2020 9:00,29.252,56,,,,
38,9/14/2020 11:00,29.652,144,,,,
39,9/14/2020 13:00,29.752,240,,,,
40,9/14/2020 15:00,30.054,208,,,,
41,9/14/2020 17:00,29.853,53,,,,
42,9/14/2020 19:00,29.552,4,,,,
43,9/14/2020 21:00,29.552,0,,,,
44,9/14/2020 23:00,29.652,0,,,,
45,9/15/2020 1:00,29.352,0,,,,
46,9/15/2020 3:00,29.352,0,,,,
47,9/15/2020 5:00,29.552,0,,,,
48,9/15/2020 7:00,29.452,0,,,,
49,9/15/2020 9:00,29.552,45,,,,
50,9/15/2020 11:00,30.054,216,,,,
51,9/15/2020 13:00,30.659,216,,,,
52,9/15/2020 15:00,30.255,192,,,,
53,9/15/2020 17:00,30.255,107,,,,
54,9/15/2020 19:00,29.853,3,,,,
55,9/15/2020 21:00,29.752,0,,,,
56,9/15/2020 23:00,29.752,0,,,,
57,9/16/2020 1:00,29.652,0,,,,
58,9/16/2020 3:00,29.552,0,,,,
59,9/16/2020 5:00,29.552,0,,,,
60,9/16/2020 7:00,29.552,0,,,,
61,9/16/2020 9:00,29.752,88,,,,
62,9/16/2020 11:00,30.558,168,,,,
63,9/16/2020 13:00,30.457,232,,,,
64,9/16/2020 15:00,30.255,224,,,,
65,9/16/2020 17:00,30.255,87,,,,
66,9/16/2020 19:00,29.953,6,,,,
67,9/16/2020 21:00,29.953,0,,,,
68,9/16/2020 23:00,29.853,0,,,,
69,9/17/2020 1:00,29.853,0,,,,
70,9/17/2020 3:00,29.752,0,,,,
71,9/17/2020 5:00,29.752,0,,,,
72,9/17/2020 7:00,29.752,0,,,,
73,9/17/2020 9:00,29.953,45,,,,
74,9/17/2020 11:00,30.457,176,,,,
75,9/17/2020 13:00,31.064,256,,,,
76,9/17/2020 15:00,31.166,224,,,,
77,9/17/2020 17:00,30.457,78,,,,
78,9/17/2020 19:00,30.154,10,,,,
79,9/17/2020 21:00,29.953,0,,,,
80,9/17/2020 23:00,29.953,0,,,,
81,9/18/2020 1:00,29.953,0,,,,
82,9/18/2020 3:00,29.953,0,,,,
83,9/18/2020 5:00,29.953,0,,,,
84,9/18/2020 7:00,29.953,0,,,,
85,9/18/2020 9:00,30.054,92,,,,
86,9/18/2020 11:00,31.064,200,,,,
87,9/18/2020 13:00,30.862,232,,,,
88,9/18/2020 15:00,30.659,200,,,,
89,9/18/2020 17:00,30.457,51,,,,
90,9/18/2020 19:00,30.356,3,,,,
91,9/18/2020 21:00,30.054,0,,,,
92,9/18/2020 23:00,29.953,0,,,,
93,9/19/2020 1:00,29.953,0,,,,
94,9/19/2020 3:00,29.953,0,,,,
95,9/19/2020 5:00,29.953,0,,,,
96,9/19/2020 7:00,29.953,0,,,,
97,9/19/2020 9:00,30.054,78,,,,
98,9/19/2020 11:00,30.457,192,,,,
99,9/19/2020 13:00,31.166,232,,,,
100,9/19/2020 15:00,30.558,152,,,,
101,9/19/2020 17:00,30.457,68,,,,
102,9/19/2020 19:00,30.255,3,,,,
103,9/19/2020 21:00,30.054,0,,,,
104,9/19/2020 23:00,29.953,0,,,,
105,9/20/2020 1:00,29.953,0,,,,
106,9/20/2020 3:00,30.054,0,,,,
107,9/20/2020 5:00,30.154,0,,,,
108,9/20/2020 7:00,30.154,0,,,,
109,9/20/2020 9:00,30.255,73,,,,
110,9/20/2020 11:00,30.457,144,,,,
111,9/20/2020 13:00,31.064,192,,,,
112,9/20/2020 15:00,30.558,90,,,,
113,9/20/2020 17:00,30.558,95,,,,
114,9/20/2020 19:00,30.457,3,,,,
115,9/20/2020 21:00,30.457,0,,,,
116,9/20/2020 23:00,30.457,0,,,,
117,9/21/2020 1:00,30.457,0,,,,
118,9/21/2020 3:00,30.356,0,,,,
119,9/21/2020 5:00,30.255,0,,,,
120,9/21/2020 7:00,30.255,0,,,,
121,9/21/2020 9:00,30.255,22,,,,
122,9/21/2020 11:00,30.558,94,,,,
123,9/21/2020 13:00,30.457,54,,,,
124,9/21/2020 15:00,30.255,38,,,,
125,9/21/2020 17:00,30.054,10,,,,
126,9/21/2020 19:00,29.953,1,,,,
127,9/21/2020 21:00,29.953,0,,,,
128,9/21/2020 23:00,29.953,0,,,,
129,9/22/2020 1:00,29.853,0,,,,
130,9/22/2020 3:00,29.752,0,,,,
131,9/22/2020 5:00,29.652,0,,,,
132,9/22/2020 7:00,29.552,0,,,,
133,9/22/2020 9:00,29.752,46,,,,
134,9/22/2020 11:00,30.154,144,,,,
135,9/22/2020 13:00,30.356,192,,,,
136,9/22/2020 15:00,30.255,176,,,,
137,9/22/2020 17:00,30.154,61,,,,
138,9/22/2020 19:00,29.853,4,,,,
139,9/22/2020 21:00,29.853,0,,,,
140,9/22/2020 23:00,29.752,0,,,,
141,9/23/2020 1:00,29.752,0,,,,
142,9/23/2020 3:00,29.752,0,,,,
143,9/23/2020 5:00,29.652,0,,,,
144,9/23/2020 7:00,29.552,0,,,,
145,9/23/2020 9:00,29.652,66,,,,
146,9/23/2020 11:00,30.154,168,,,,
147,9/23/2020 13:00,30.154,81,,,,
148,9/23/2020 15:00,30.255,176,,,,
149,9/23/2020 17:00,30.154,100,,,,
150,9/23/2020 19:00,29.953,5,,,,
151,9/23/2020 21:00,29.853,0,,,,
152,9/23/2020 23:00,29.752,0,,,,
153,9/24/2020 1:00,29.752,0,,,,
154,9/24/2020 3:00,29.752,0,,,,
155,9/24/2020 5:00,29.652,0,,,,
156,9/24/2020 7:00,29.552,0,,,,
157,9/24/2020 9:00,29.452,39,,,,
158,9/24/2020 11:00,29.452,77,,,,
159,9/24/2020 13:00,29.552,78,,,,
160,9/24/2020 15:00,29.452,4,,,,
161,9/24/2020 17:00,29.652,91,,,,
162,9/24/2020 19:00,29.452,3,,,,
163,9/24/2020 21:00,29.452,0,,,,
164,9/24/2020 23:00,29.452,0,,,,
165,9/25/2020 1:00,29.352,0,,,,
166,9/25/2020 3:00,29.452,0,,,,
167,9/25/2020 5:00,29.352,0,,,,
168,9/25/2020 7:00,29.252,0,,,,
169,9/25/2020 9:00,29.152,10,,,,
170,9/25/2020 11:00,29.152,152,,,,
171,9/25/2020 13:00,29.552,73,,,,
172,9/25/2020 15:00,29.652,104,,,,
173,9/25/2020 17:00,29.452,10,,,,
174,9/25/2020 19:00,29.352,3,,,,
175,9/25/2020 21:00,29.352,0,,,,
176,9/25/2020 23:00,29.252,0,,,,
177,9/26/2020 1:00,29.352,0,,,,
178,9/26/2020 3:00,29.352,0,,,,
179,9/26/2020 5:00,29.152,0,,,,
180,9/26/2020 7:00,29.252,0,,,,
181,9/26/2020 9:00,29.352,55,,,,
182,9/26/2020 11:00,29.452,105,,,,
183,9/26/2020 13:00,29.452,144,,,,
184,9/26/2020 15:00,29.652,17,,,,
185,9/26/2020 17:00,29.452,9,,,,
186,9/26/2020 19:00,29.352,0,,,,
187,9/26/2020 21:00,29.352,0,,,,
188,9/26/2020 23:00,29.352,0,,,,
189,9/27/2020 1:00,29.352,0,,,,
190,9/27/2020 3:00,29.352,0,,,,
191,9/27/2020 5:00,29.252,0,,,,
192,9/27/2020 7:00,29.252,0,,,,
193,9/27/2020 9:00,29.252,45,,,,
194,9/27/2020 11:00,29.352,107,,,,
195,9/27/2020 13:00,29.452,71,,,,
196,9/27/2020 15:00,29.652,81,,,,
197,9/27/2020 17:00,29.452,38,,,,
198,9/27/2020 19:00,29.352,0,,,,
199,9/27/2020 21:00,29.352,0,,,,
200,9/27/2020 23:00,29.452,0,,,,
201,9/28/2020 1:00,29.552,0,,,,
202,9/28/2020 3:00,29.452,0,,,,
203,9/28/2020 5:00,29.452,0,,,,
204,9/28/2020 7:00,29.452,0,,,,
205,9/28/2020 9:00,29.452,25,,,,
206,9/28/2020 11:00,29.652,90,,,,
207,9/28/2020 13:00,29.752,119,,,,
208,9/28/2020 15:00,29.652,33,,,,
209,9/28/2020 17:00,29.552,18,,,,
210,9/28/2020 19:00,29.452,0,,,,
211,9/28/2020 21:00,29.552,0,,,,
212,9/28/2020 23:00,29.452,0,,,,
213,9/29/2020 1:00,29.552,0,,,,
214,9/29/2020 3:00,29.652,0,,,,
215,9/29/2020 5:00,29.652,0,,,,
216,9/29/2020 7:00,29.652,0,,,,
217,9/29/2020 9:00,29.552,7,,,,
218,9/29/2020 11:00,29.552,94,,,,
219,9/29/2020 13:00,29.853,125,,,,
220,9/29/2020 15:00,29.853,38,,,,
221,9/29/2020 17:00,30.154,57,,,,
222,9/29/2020 19:00,29.752,1,,,,
223,9/29/2020 21:00,29.652,0,,,,
224,9/29/2020 23:00,29.652,0,,,,
225,9/30/2020 1:00,29.652,0,,,,
226,9/30/2020 3:00,29.752,0,,,,
227,9/30/2020 5:00,29.652,0,,,,
228,9/30/2020 7:00,29.652,0,,,,
229,9/30/2020 9:00,29.752,37,,,,
230,9/30/2020 11:00,29.953,95,,,,
231,9/30/2020 13:00,30.054,124,,,,
