"Plot Title: KBN_5.28.2021"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 21085862, SEN S/N: 21085862)","Coupler Attached (LGR S/N: 21085862)","Host Connected (LGR S/N: 21085862)","Stopped (LGR S/N: 21085862)","End Of File (LGR S/N: 21085862)"
1,05/28/21 09:00:00 AM,24.351,,,,
2,05/28/21 11:00:00 AM,26.977,,,,
3,05/28/21 01:00:00 PM,27.764,,,,
4,05/28/21 03:00:00 PM,27.862,,,,
5,05/28/21 05:00:00 PM,27.665,,,,
6,05/28/21 07:00:00 PM,27.468,,,,
7,05/28/21 09:00:00 PM,27.173,,,,
8,05/28/21 11:00:00 PM,27.075,,,,
9,05/29/21 01:00:00 AM,27.075,,,,
10,05/29/21 03:00:00 AM,27.173,,,,
11,05/29/21 05:00:00 AM,27.173,,,,
12,05/29/21 07:00:00 AM,27.173,,,,
13,05/29/21 09:00:00 AM,27.567,,,,
14,05/29/21 11:00:00 AM,27.567,,,,
15,05/29/21 01:00:00 PM,27.567,,,,
16,05/29/21 03:00:00 PM,27.961,,,,
17,05/29/21 05:00:00 PM,27.961,,,,
18,05/29/21 07:00:00 PM,27.567,,,,
19,05/29/21 09:00:00 PM,27.173,,,,
20,05/29/21 11:00:00 PM,27.075,,,,
21,05/30/21 01:00:00 AM,26.977,,,,
22,05/30/21 03:00:00 AM,26.977,,,,
23,05/30/21 05:00:00 AM,26.977,,,,
24,05/30/21 07:00:00 AM,27.370,,,,
25,05/30/21 09:00:00 AM,27.665,,,,
26,05/30/21 11:00:00 AM,28.060,,,,
27,05/30/21 01:00:00 PM,27.862,,,,
28,05/30/21 03:00:00 PM,27.862,,,,
29,05/30/21 05:00:00 PM,28.060,,,,
30,05/30/21 07:00:00 PM,27.468,,,,
31,05/30/21 09:00:00 PM,26.977,,,,
32,05/30/21 11:00:00 PM,27.075,,,,
33,05/31/21 01:00:00 AM,26.977,,,,
34,05/31/21 03:00:00 AM,26.879,,,,
35,05/31/21 05:00:00 AM,26.879,,,,
36,05/31/21 07:00:00 AM,27.173,,,,
37,05/31/21 09:00:00 AM,27.468,,,,
38,05/31/21 11:00:00 AM,27.862,,,,
39,05/31/21 01:00:00 PM,27.764,,,,
40,05/31/21 03:00:00 PM,27.764,,,,
41,05/31/21 05:00:00 PM,27.764,,,,
42,05/31/21 07:00:00 PM,27.764,,,,
43,05/31/21 09:00:00 PM,27.665,,,,
44,05/31/21 11:00:00 PM,27.567,,,,
45,06/01/21 01:00:00 AM,27.468,,,,
46,06/01/21 03:00:00 AM,27.173,,,,
47,06/01/21 05:00:00 AM,27.468,,,,
48,06/01/21 07:00:00 AM,27.468,,,,
49,06/01/21 09:00:00 AM,27.961,,,,
50,06/01/21 11:00:00 AM,27.961,,,,
51,06/01/21 01:00:00 PM,28.060,,,,
52,06/01/21 03:00:00 PM,28.258,,,,
53,06/01/21 05:00:00 PM,27.961,,,,
54,06/01/21 07:00:00 PM,27.665,,,,
55,06/01/21 09:00:00 PM,27.370,,,,
56,06/01/21 11:00:00 PM,27.272,,,,
57,06/02/21 01:00:00 AM,27.468,,,,
58,06/02/21 03:00:00 AM,27.370,,,,
59,06/02/21 05:00:00 AM,27.272,,,,
60,06/02/21 07:00:00 AM,27.173,,,,
61,06/02/21 09:00:00 AM,27.468,,,,
62,06/02/21 11:00:00 AM,27.665,,,,
63,06/02/21 01:00:00 PM,27.961,,,,
64,06/02/21 03:00:00 PM,28.258,,,,
65,06/02/21 05:00:00 PM,27.961,,,,
66,06/02/21 07:00:00 PM,27.468,,,,
67,06/02/21 09:00:00 PM,27.370,,,,
68,06/02/21 11:00:00 PM,27.567,,,,
69,06/03/21 01:00:00 AM,27.173,,,,
70,06/03/21 03:00:00 AM,26.977,,,,
71,06/03/21 05:00:00 AM,26.879,,,,
72,06/03/21 07:00:00 AM,27.075,,,,
73,06/03/21 09:00:00 AM,27.173,,,,
74,06/03/21 11:00:00 AM,28.258,,,,
75,06/03/21 01:00:00 PM,27.665,,,,
76,06/03/21 03:00:00 PM,28.456,,,,
77,06/03/21 05:00:00 PM,27.961,,,,
78,06/03/21 07:00:00 PM,27.862,,,,
79,06/03/21 09:00:00 PM,27.862,,,,
80,06/03/21 11:00:00 PM,27.862,,,,
81,06/04/21 01:00:00 AM,27.567,,,,
82,06/04/21 03:00:00 AM,27.567,,,,
83,06/04/21 05:00:00 AM,27.468,,,,
84,06/04/21 07:00:00 AM,27.567,,,,
85,06/04/21 09:00:00 AM,27.961,,,,
86,06/04/21 11:00:00 AM,28.357,,,,
87,06/04/21 01:00:00 PM,28.456,,,,
88,06/04/21 03:00:00 PM,28.655,,,,
89,06/04/21 05:00:00 PM,28.555,,,,
90,06/04/21 07:00:00 PM,28.357,,,,
91,06/04/21 09:00:00 PM,27.862,,,,
92,06/04/21 11:00:00 PM,27.862,,,,
93,06/05/21 01:00:00 AM,27.862,,,,
94,06/05/21 03:00:00 AM,27.665,,,,
95,06/05/21 05:00:00 AM,27.862,,,,
96,06/05/21 07:00:00 AM,27.961,,,,
97,06/05/21 09:00:00 AM,28.060,,,,
98,06/05/21 11:00:00 AM,28.655,,,,
99,06/05/21 01:00:00 PM,28.655,,,,
100,06/05/21 03:00:00 PM,28.853,,,,
101,06/05/21 05:00:00 PM,28.357,,,,
102,06/05/21 07:00:00 PM,27.862,,,,
103,06/05/21 09:00:00 PM,27.862,,,,
104,06/05/21 11:00:00 PM,27.764,,,,
105,06/06/21 01:00:00 AM,27.862,,,,
106,06/06/21 03:00:00 AM,27.862,,,,
107,06/06/21 05:00:00 AM,27.961,,,,
108,06/06/21 07:00:00 AM,28.159,,,,
109,06/06/21 09:00:00 AM,28.159,,,,
110,06/06/21 11:00:00 AM,28.655,,,,
111,06/06/21 01:00:00 PM,29.053,,,,
112,06/06/21 03:00:00 PM,29.452,,,,
113,06/06/21 05:00:00 PM,29.252,,,,
114,06/06/21 07:00:00 PM,28.555,,,,
115,06/06/21 09:00:00 PM,28.258,,,,
116,06/06/21 11:00:00 PM,28.258,,,,
117,06/07/21 01:00:00 AM,28.754,,,,
118,06/07/21 03:00:00 AM,28.853,,,,
119,06/07/21 05:00:00 AM,28.456,,,,
120,06/07/21 07:00:00 AM,28.754,,,,
121,06/07/21 09:00:00 AM,28.456,,,,
122,06/07/21 11:00:00 AM,28.953,,,,
123,06/07/21 01:00:00 PM,29.452,,,,
124,06/07/21 03:00:00 PM,29.552,,,,
125,06/07/21 05:00:00 PM,29.452,,,,
126,06/07/21 07:00:00 PM,28.953,,,,
127,06/07/21 09:00:00 PM,28.159,,,,
128,06/07/21 11:00:00 PM,28.060,,,,
129,06/08/21 01:00:00 AM,28.258,,,,
130,06/08/21 03:00:00 AM,28.555,,,,
131,06/08/21 05:00:00 AM,28.159,,,,
132,06/08/21 07:00:00 AM,28.258,,,,
133,06/08/21 09:00:00 AM,28.258,,,,
134,06/08/21 11:00:00 AM,28.655,,,,
135,06/08/21 01:00:00 PM,29.053,,,,
136,06/08/21 03:00:00 PM,29.352,,,,
137,06/08/21 05:00:00 PM,29.152,,,,
138,06/08/21 07:00:00 PM,28.456,,,,
139,06/08/21 09:00:00 PM,28.060,,,,
140,06/08/21 11:00:00 PM,27.961,,,,
141,06/09/21 01:00:00 AM,27.961,,,,
142,06/09/21 03:00:00 AM,28.555,,,,
143,06/09/21 05:00:00 AM,28.258,,,,
144,06/09/21 07:00:00 AM,27.862,,,,
145,06/09/21 09:00:00 AM,28.357,,,,
146,06/09/21 11:00:00 AM,28.555,,,,
