Plot Title: KBN.12.08.21,,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 21236769, SEN S/N: 21236769)","Intensity, lum/ft² (LGR S/N: 21236769, SEN S/N: 21236769)",Coupler Attached (LGR S/N: 21236769),Host Connected (LGR S/N: 21236769),Stopped (LGR S/N: 21236769),End Of File (LGR S/N: 21236769)
1,12/8/2021 10:00,30.963,0,,,,
2,12/8/2021 12:00,31.676,0,,,,
3,12/8/2021 14:00,26.585,400,,,,
4,12/8/2021 16:00,26.292,114,,,,
5,12/8/2021 18:00,25.805,0,,,,
6,12/8/2021 20:00,25.708,0,,,,
7,12/8/2021 22:00,25.902,0,,,,
8,12/9/2021 0:00,26.097,0,,,,
9,12/9/2021 2:00,26.097,0,,,,
10,12/9/2021 4:00,26,0,,,,
11,12/9/2021 6:00,26,0,,,,
12,12/9/2021 8:00,26.097,26,,,,
13,12/9/2021 10:00,26.195,57,,,,
14,12/9/2021 12:00,26.683,92,,,,
15,12/9/2021 14:00,26.488,352,,,,
16,12/9/2021 16:00,26.195,68,,,,
17,12/9/2021 18:00,25.902,0,,,,
18,12/9/2021 20:00,25.805,0,,,,
19,12/9/2021 22:00,25.805,0,,,,
20,12/10/2021 0:00,26,0,,,,
21,12/10/2021 2:00,26,0,,,,
22,12/10/2021 4:00,25.902,0,,,,
23,12/10/2021 6:00,25.708,0,,,,
24,12/10/2021 8:00,25.902,168,,,,
25,12/10/2021 10:00,26.097,111,,,,
26,12/10/2021 12:00,26.195,136,,,,
27,12/10/2021 14:00,26.195,160,,,,
28,12/10/2021 16:00,26.097,50,,,,
29,12/10/2021 18:00,26,0,,,,
30,12/10/2021 20:00,26,0,,,,
31,12/10/2021 22:00,26,0,,,,
32,12/11/2021 0:00,26,0,,,,
33,12/11/2021 2:00,25.902,0,,,,
34,12/11/2021 4:00,25.805,0,,,,
35,12/11/2021 6:00,25.805,0,,,,
36,12/11/2021 8:00,25.708,176,,,,
37,12/11/2021 10:00,25.805,248,,,,
38,12/11/2021 12:00,25.708,152,,,,
39,12/11/2021 14:00,25.902,60,,,,
40,12/11/2021 16:00,25.902,41,,,,
41,12/11/2021 18:00,25.805,0,,,,
42,12/11/2021 20:00,25.805,0,,,,
43,12/11/2021 22:00,25.902,0,,,,
44,12/12/2021 0:00,25.902,0,,,,
