id	date	time	dateTime	site	type	si	no2	nn	no3	nh4	po4	notes	rDateTime	precipitation
2	2/6/2019	9:20:00	2/6/2019 9:20	Emerald	ammonium	NA	NA	NA	NA	1.87	NA	NA	2/6/2019 9:20	dry
4	2/6/2019	10:00:00	2/6/2019 10:00	N Mac	ammonium	NA	NA	NA	NA	0.95	NA	NA	2/6/2019 10:00	dry
6	2/6/2019	10:40:00	2/6/2019 10:40	Star	ammonium	NA	NA	NA	NA	0.57	NA	NA	2/6/2019 10:40	dry
8	2/6/2019	11:00:00	2/6/2019 11:00	S Mac	ammonium	NA	NA	NA	NA	0.58	NA	NA	2/6/2019 11:00	dry
10	3/12/2019	12:05:00	3/12/2019 12:05	Emerald	ammonium	NA	NA	NA	NA	0.08	NA	NA	3/12/2019 12:05	dry
12	3/12/2019	13:05:00	3/12/2019 13:05	N Mac	ammonium	NA	NA	NA	NA	0	NA	NA	3/12/2019 13:05	dry
14	3/12/2019	13:40:00	3/12/2019 13:40	Star	ammonium	NA	NA	NA	NA	0.14	NA	NA	3/12/2019 13:40	dry
16	3/12/2019	14:05:00	3/12/2019 14:05	S Mac	ammonium	NA	NA	NA	NA	0.67	NA	NA	3/12/2019 14:05	dry
18	3/27/2019	9:15:00	3/27/2019 9:15	Emerald	ammonium	NA	NA	NA	NA	0.25	NA	NA	3/27/2019 9:15	dry
20	3/27/2019	10:10:00	3/27/2019 10:10	N Mac	ammonium	NA	NA	NA	NA	0.76	NA	NA	3/27/2019 10:10	dry
22	3/27/2019	10:50:00	3/27/2019 10:50	Star	ammonium	NA	NA	NA	NA	0.42	NA	NA	3/27/2019 10:50	dry
24	3/27/2019	11:50:00	3/27/2019 11:50	S Mac	ammonium	NA	NA	NA	NA	0.51	NA	NA	3/27/2019 11:50	dry
26	4/26/2019	10:00:00	4/26/2019 10:00	Emerald	ammonium	NA	NA	NA	NA	0.17	NA	NA	4/26/2019 10:00	dry
28	4/26/2019	12:00:00	4/26/2019 12:00	N Mac	ammonium	NA	NA	NA	NA	0.07	NA	NA	4/26/2019 12:00	dry
30	4/26/2019	13:00:00	4/26/2019 13:00	Star	ammonium	NA	NA	NA	NA	0.3	NA	NA	4/26/2019 13:00	dry
32	4/26/2019	11:00:00	4/26/2019 11:00	S Mac	ammonium	NA	NA	NA	NA	0.4	NA	NA	4/26/2019 11:00	dry
34	5/6/2019	9:45:00	5/6/2019 9:45	Emerald	ammonium	NA	NA	NA	NA	0.43	NA	NA	5/6/2019 9:45	dry
36	5/6/2019	10:27:00	5/6/2019 10:27	N Mac	ammonium	NA	NA	NA	NA	0.78	NA	NA	5/6/2019 10:27	dry
38	5/6/2019	10:53:00	5/6/2019 10:53	Star	ammonium	NA	NA	NA	NA	0.7	NA	NA	5/6/2019 10:53	dry
40	5/6/2019	11:20:00	5/6/2019 11:20	S Mac	ammonium	NA	NA	NA	NA	1.04	NA	NA	5/6/2019 11:20	dry
42	5/29/2019	11:56:00	5/29/2019 11:56	Emerald	ammonium	NA	NA	NA	NA	9.5	NA	NA	5/29/2019 11:56	wet
44	5/29/2019	13:35:00	5/29/2019 13:35	N Mac	ammonium	NA	NA	NA	NA	2.5	NA	NA	5/29/2019 13:35	wet
46	5/29/2019	14:00:00	5/29/2019 14:00	Star	ammonium	NA	NA	NA	NA	26.2	NA	NA	5/29/2019 14:00	wet
48	5/29/2019	14:30:00	5/29/2019 14:30	S Mac	ammonium	NA	NA	NA	NA	35.8	NA	NA	5/29/2019 14:30	wet
50	6/29/2019	8:30:00	6/29/2019 8:30	Emerald	ammonium	NA	NA	NA	NA	31.4	NA	NA	6/29/2019 8:30	wet
52	6/29/2019	14:55:00	6/29/2019 14:55	N Mac	ammonium	NA	NA	NA	NA	5.9	NA	NA	6/29/2019 14:55	wet
54	6/29/2019	7:03:00	6/29/2019 7:03	Star	ammonium	NA	NA	NA	NA	5.9	NA	NA	6/29/2019 7:03	wet
56	6/29/2019	13:00:00	6/29/2019 13:00	S Mac	ammonium	NA	NA	NA	NA	5.9	NA	NA	6/29/2019 13:00	wet
58	7/26/2019	9:00:00	7/26/2019 9:00	Emerald	ammonium	NA	NA	NA	NA	0	NA	NA	7/26/2019 9:00	wet
60	7/26/2019	11:35:00	7/26/2019 11:35	N Mac	ammonium	NA	NA	NA	NA	0	NA	NA	7/26/2019 11:35	wet
62	7/26/2019	13:18:00	7/26/2019 13:18	Star	ammonium	NA	NA	NA	NA	0	NA	NA	7/26/2019 13:18	wet
64	7/26/2019	10:15:00	7/26/2019 10:15	S Mac	ammonium	NA	NA	NA	NA	0	NA	NA	7/26/2019 10:15	wet
66	8/28/2019	9:25:00	8/28/2019 9:25	Emerald	ammonium	NA	NA	NA	NA	1.217	NA	NA	8/28/2019 9:25	wet
68	8/28/2019	10:34:00	8/28/2019 10:34	N Mac	ammonium	NA	NA	NA	NA	2.221	NA	NA	8/28/2019 10:34	wet
70	8/28/2019	11:15:00	8/28/2019 11:15	Star	ammonium	NA	NA	NA	NA	1.79	NA	NA	8/28/2019 11:15	wet
72	8/28/2019	11:45:00	8/28/2019 11:45	S Mac	ammonium	NA	NA	NA	NA	1.958	NA	NA	8/28/2019 11:45	wet
76	10/10/2019	11:21:00	10/10/2019 11:21	N Mac	ammonium	NA	NA	NA	NA	2.42	NA	NA	10/10/2019 11:21	wet
78	10/10/2019	11:54:00	10/10/2019 11:54	Star	ammonium	NA	NA	NA	NA	1.55	NA	NA	10/10/2019 11:54	wet
80	10/10/2019	12:28:00	10/10/2019 12:28	S Mac	ammonium	NA	NA	NA	NA	1.26	NA	NA	10/10/2019 12:28	wet
82	11/4/2019	9:45:00	11/4/2019 9:45	Emerald	ammonium	NA	NA	NA	NA	2.02	NA	NA	11/4/2019 9:45	dry
84	11/4/2019	10:20:00	11/4/2019 10:20	N Mac	ammonium	NA	NA	NA	NA	2.1	NA	NA	11/4/2019 10:20	dry
