collection	site	sn	sample	dateTimeUTC	dateTimeEST	dateEST	timeEST	minute	temperature	conductivity	pressure	depth	o2Sat	o2MgL	salinity	density	periodGood	depthGood	o2Good	salGood	rDateTime	precipitation
1	smac	7398	738	1/1/2019 4:00	1/1/2019 0:00	1/1/2019	0:00:43	0	23.6184	5.164149	1.573	1.563	84.56	5.863	35.0059	23.7583	y	y	y	y	1/1/2019 0:00	dry
1	star	7397	738	1/1/2019 4:00	1/1/2019 0:00	1/1/2019	0:00:43	0	23.837	5.154943	1.721	1.71	85.17	5.891	34.7639	23.5108	y	y	y	y	1/1/2019 0:00	dry
1	smac	7398	739	1/1/2019 4:30	1/1/2019 0:30	1/1/2019	0:30:43	30	23.6017	5.147525	1.607	1.597	84.44	5.86	34.8924	23.6772	y	y	y	y	1/1/2019 0:30	dry
1	star	7397	739	1/1/2019 4:30	1/1/2019 0:30	1/1/2019	0:30:43	30	23.8288	5.152296	1.741	1.73	86.18	5.962	34.7503	23.5029	y	y	y	y	1/1/2019 0:30	dry
1	smac	7398	740	1/1/2019 5:00	1/1/2019 1:00	1/1/2019	1:00:43	0	23.5881	5.140114	1.645	1.634	83.17	5.775	34.8466	23.6465	y	y	y	y	1/1/2019 1:00	dry
1	star	7397	740	1/1/2019 5:00	1/1/2019 1:00	1/1/2019	1:00:43	0	23.8251	5.139982	1.789	1.778	85.96	5.951	34.6599	23.4355	y	y	y	y	1/1/2019 1:00	dry
1	smac	7398	741	1/1/2019 5:30	1/1/2019 1:30	1/1/2019	1:30:43	30	23.6746	5.178968	1.695	1.684	85.45	5.916	35.0744	23.7937	y	y	y	y	1/1/2019 1:30	dry
1	star	7397	741	1/1/2019 5:30	1/1/2019 1:30	1/1/2019	1:30:43	30	23.8804	5.184448	1.859	1.847	86.53	5.974	34.9535	23.6416	y	y	y	y	1/1/2019 1:30	dry
1	smac	7398	742	1/1/2019 6:00	1/1/2019 2:00	1/1/2019	2:00:43	0	23.6629	5.17808	1.8	1.788	86.24	5.973	35.0768	23.7989	y	y	y	y	1/1/2019 2:00	dry
1	star	7397	742	1/1/2019 6:00	1/1/2019 2:00	1/1/2019	2:00:43	0	23.7682	5.194774	1.934	1.921	86.36	5.968	35.1205	23.801	y	y	y	y	1/1/2019 2:00	dry
2	star	7397	6781	6/5/2020 6:00	6/5/2020 2:00	6/5/2020	2:00:11	0	28.0865	4.742882	1.812	1.801	59.69	3.973	28.8645	17.7609	y	y	y	y	6/5/2020 2:00	wet
2	star	7397	6780	6/5/2020 5:30	6/5/2020 1:30	6/5/2020	1:30:11	30	28.1552	4.907819	1.883	1.871	61.22	4.046	29.9454	18.549	y	y	y	y	6/5/2020 1:30	wet
2	star	7397	7505	6/20/2020 8:00	6/20/2020 4:00	6/20/2020	4:00:11	0	28.7487	5.005302	1.936	1.924	62.44	4.079	30.2323	18.5715	y	y	y	y	6/20/2020 4:00	wet
2	smac	7398	6761	6/4/2020 20:00	6/4/2020 16:00	6/4/2020	16:00:11	0	27.9857	4.376064	1.739	1.728	62.45	4.22	26.4427	15.9791	y	y	y	y	6/4/2020 16:00	wet
2	star	7397	6789	6/5/2020 10:00	6/5/2020 6:00	6/5/2020	6:00:11	0	28.2417	4.957925	2.135	2.121	63.74	4.199	30.2324	18.7363	y	y	y	y	6/5/2020 6:00	wet
2	star	7397	6785	6/5/2020 8:00	6/5/2020 4:00	6/5/2020	4:00:11	0	28.1219	4.590267	1.792	1.78	64.74	4.332	27.809	16.9588	y	y	y	y	6/5/2020 4:00	wet
2	smac	7398	7238	6/14/2020 18:30	6/14/2020 14:30	6/14/2020	14:30:11	30	29.268	5.059214	2.198	2.184	65	4.21	30.2674	18.427	y	y	y	y	6/14/2020 14:30	wet
2	smac	7398	6140	5/22/2020 21:30	5/22/2020 17:30	5/22/2020	17:30:11	30	28.2455	5.346188	1.891	1.879	65.44	4.247	32.897	20.7342	y	y	y	y	5/22/2020 17:30	dry
2	star	7397	6782	6/5/2020 6:30	6/5/2020 2:30	6/5/2020	2:30:11	30	28.048	4.67658	1.755	1.744	65.47	4.37	28.4374	17.4532	y	y	y	y	6/5/2020 2:30	wet
2	smac	7398	6713	6/3/2020 20:00	6/3/2020 16:00	6/3/2020	16:00:11	0	28.4864	4.425008	1.915	1.903	65.86	4.412	26.4918	15.8564	y	y	y	y	6/3/2020 16:00	wet
2	star	7397	6315	5/26/2020 13:00	5/26/2020 9:00	5/26/2020	9:00:11	0	26.4843	4.87828	2.187	2.173	65.89	4.455	30.8245	19.7374	y	y	y	y	5/26/2020 9:00	wet
2	smac	7398	7432	6/18/2020 19:30	6/18/2020 15:30	6/18/2020	15:30:11	30	28.6378	5.001328	1.935	1.922	66.8	4.371	30.2757	18.6402	y	y	y	y	6/18/2020 15:30	wet
2	smac	7398	6335	5/26/2020 23:00	5/26/2020 19:00	5/26/2020	19:00:11	0	26.4429	4.533385	1.851	1.839	67.03	4.597	28.4251	17.9466	y	y	y	y	5/26/2020 19:00	wet
2	smac	7398	6334	5/26/2020 22:30	5/26/2020 18:30	5/26/2020	18:30:11	30	26.4131	4.579047	1.86	1.848	67.06	4.593	28.7632	18.2098	y	y	y	y	5/26/2020 18:30	wet
2	star	7397	6829	6/6/2020 6:00	6/6/2020 2:00	6/6/2020	2:00:11	0	28.3682	5.053247	1.939	1.927	67.52	4.425	30.8019	19.1223	y	y	y	y	6/6/2020 2:00	wet
2	star	7397	6310	5/26/2020 10:30	5/26/2020 6:30	5/26/2020	6:30:11	30	26.5076	4.681218	1.857	1.844	67.76	4.616	29.4207	18.6747	y	y	y	y	5/26/2020 6:30	wet
2	star	7397	6778	6/5/2020 4:30	6/5/2020 0:30	6/5/2020	0:30:11	30	28.0919	4.926399	2.067	2.054	68.15	4.504	30.1124	18.6946	y	y	y	y	6/5/2020 0:30	wet
2	star	7397	6790	6/5/2020 10:30	6/5/2020 6:30	6/5/2020	6:30:11	30	28.145	5.258329	2.226	2.212	68.17	4.445	32.359	20.363	y	y	y	y	6/5/2020 6:30	wet
2	star	7397	4920	4/27/2020 11:30	4/27/2020 7:30	4/27/2020	7:30:11	30	27.5474	5.75787	1.912	1.9	68.46	4.41	36.2975	23.5186	y	y	y	y	4/27/2020 7:30	dry
2	smac	7398	6665	6/2/2020 20:00	6/2/2020 16:00	6/2/2020	16:00:11	0	28.8213	4.552031	2.144	2.13	68.58	4.553	27.1495	16.2404	y	y	y	y	6/2/2020 16:00	wet
2	star	7397	6784	6/5/2020 7:30	6/5/2020 3:30	6/5/2020	3:30:11	30	28.1046	4.581027	1.745	1.733	68.86	4.61	27.7567	16.9252	y	y	y	y	6/5/2020 3:30	wet
2	smac	7398	6285	5/25/2020 22:00	5/25/2020 18:00	5/25/2020	18:00:11	0	26.4572	4.503979	1.762	1.75	68.93	4.732	28.2108	17.7812	y	y	y	y	5/25/2020 18:00	dry
2	smac	7398	6287	5/25/2020 23:00	5/25/2020 19:00	5/25/2020	19:00:11	0	26.3687	4.388059	1.848	1.836	69.05	4.767	27.4551	17.2408	y	y	y	y	5/25/2020 19:00	dry
2	star	7397	6340	5/27/2020 1:30	5/26/2020 21:30	5/26/2020	21:30:11	30	26.8286	5.036774	2.155	2.141	69.26	4.633	31.712	20.2974	y	y	y	y	5/26/2020 21:30	wet
2	smac	7398	6275	5/25/2020 17:00	5/25/2020 13:00	5/25/2020	13:00:11	0	26.6464	5.384223	2.393	2.377	69.31	4.583	34.3131	22.3126	y	y	y	y	5/25/2020 13:00	dry
2	star	7397	6783	6/5/2020 7:00	6/5/2020 3:00	6/5/2020	3:00:11	0	28.0959	4.652744	1.729	1.718	69.38	4.633	28.2471	17.2953	y	y	y	y	6/5/2020 3:00	wet
2	star	7397	6217	5/24/2020 12:00	5/24/2020 8:00	5/24/2020	8:00:11	0	28.2059	5.507889	2.245	2.231	69.9	4.511	34.0462	21.6103	y	y	y	y	5/24/2020 8:00	dry
2	star	7397	6787	6/5/2020 9:00	6/5/2020 5:00	6/5/2020	5:00:11	0	28.1851	4.64702	1.938	1.926	69.91	4.664	28.1553	17.198	y	y	y	y	6/5/2020 5:00	wet
2	star	7397	6309	5/26/2020 10:00	5/26/2020 6:00	5/26/2020	6:00:11	0	26.5081	4.740393	1.841	1.829	70.24	4.774	29.8363	18.987	y	y	y	y	5/26/2020 6:00	wet
2	star	7397	6788	6/5/2020 9:30	6/5/2020 5:30	6/5/2020	5:30:11	30	28.1997	4.716401	2.043	2.03	70.29	4.676	28.6161	17.5385	y	y	y	y	6/5/2020 5:30	wet
2	star	7397	6339	5/27/2020 1:00	5/26/2020 21:00	5/26/2020	21:00:11	0	26.8253	4.867238	2.066	2.052	70.42	4.742	30.5211	19.4031	y	y	y	y	5/26/2020 21:00	wet
2	smac	7398	6338	5/27/2020 0:30	5/26/2020 20:30	5/26/2020	20:30:11	30	26.4657	4.447147	1.975	1.962	70.55	4.853	27.8091	17.4769	y	y	y	y	5/26/2020 20:30	wet
2	smac	7398	7237	6/14/2020 18:00	6/14/2020 14:00	6/14/2020	14:00:11	0	29.2447	4.989892	2.149	2.135	70.69	4.592	29.8179	18.0983	y	y	y	y	6/14/2020 14:00	wet
2	smac	7398	6286	5/25/2020 22:30	5/25/2020 18:30	5/25/2020	18:30:11	30	26.4703	4.483435	1.795	1.783	70.7	4.857	28.0594	17.6635	y	y	y	y	5/25/2020 18:30	dry
2	star	7397	6882	6/7/2020 8:30	6/7/2020 4:30	6/7/2020	4:30:11	30	28.3055	4.638543	1.69	1.679	70.71	4.711	28.0269	17.0633	y	y	y	y	6/7/2020 4:30	wet
2	smac	7398	6762	6/4/2020 20:30	6/4/2020 16:30	6/4/2020	16:30:11	30	27.9437	4.325519	1.814	1.803	70.76	4.794	26.1262	15.7555	y	y	y	y	6/4/2020 16:30	wet
