"Plot Title: CCC site"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 20261765, SEN S/N: 20261765)","Intensity, lum/ft² (LGR S/N: 20261765, SEN S/N: 20261765)","Bad Battery (LGR S/N: 20261765)","Coupler Attached (LGR S/N: 20261765)","Coupler Detached (LGR S/N: 20261765)","Host Connected (LGR S/N: 20261765)","Stopped (LGR S/N: 20261765)","End Of File (LGR S/N: 20261765)"
1,06/23/21 08:00:00 AM,76.703,0.0,,,,,,
2,06/23/21 10:00:00 AM,93.493,432.0,,,,,,
3,06/23/21 12:00:00 PM,91.053,480.0,,,,,,
4,06/23/21 02:00:00 PM,88.282,672.0,,,,,,
5,06/23/21 04:00:00 PM,88.099,87.0,,,,,,
6,06/23/21 06:00:00 PM,87.368,93.0,,,,,,
7,06/23/21 08:00:00 PM,86.823,3.0,,,,,,
8,06/23/21 10:00:00 PM,86.459,0.0,,,,,,
9,06/24/21 12:00:00 AM,86.459,0.0,,,,,,
10,06/24/21 02:00:00 AM,86.641,0.0,,,,,,
11,06/24/21 04:00:00 AM,86.641,0.0,,,,,,
12,06/24/21 06:00:00 AM,86.277,0.0,,,,,,
13,06/24/21 08:00:00 AM,86.097,15.0,,,,,,
14,06/24/21 10:00:00 AM,85.915,25.0,,,,,,
15,06/24/21 12:00:00 PM,86.097,160.0,,,,,,
16,06/24/21 02:00:00 PM,86.641,608.0,,,,,,
17,06/24/21 04:00:00 PM,86.641,480.0,,,,,,
18,06/24/21 06:00:00 PM,86.277,864.0,,,,,,
19,06/24/21 08:00:00 PM,85.915,2.0,,,,,,
20,06/24/21 10:00:00 PM,85.735,0.0,,,,,,
21,06/25/21 12:00:00 AM,85.374,0.0,,,,,,
22,06/25/21 02:00:00 AM,85.374,0.0,,,,,,
23,06/25/21 04:00:00 AM,85.374,0.0,,,,,,
24,06/25/21 06:00:00 AM,85.194,0.0,,,,,,
25,06/25/21 08:00:00 AM,84.834,118.0,,,,,,
26,06/25/21 10:00:00 AM,85.014,160.0,,,,,,
27,06/25/21 12:00:00 PM,85.194,74.0,,,,,,
28,06/25/21 02:00:00 PM,86.097,1152.0,,,,,,
29,06/25/21 04:00:00 PM,86.097,576.0,,,,,,
30,06/25/21 06:00:00 PM,85.915,79.0,,,,,,
31,06/25/21 08:00:00 PM,84.834,9.0,,,,,,
32,06/25/21 10:00:00 PM,84.654,0.0,,,,,,
33,06/26/21 12:00:00 AM,84.295,0.0,,,,,,
34,06/26/21 02:00:00 AM,84.295,0.0,,,,,,
35,06/26/21 04:00:00 AM,84.474,0.0,,,,,,
36,06/26/21 06:00:00 AM,84.474,0.0,,,,,,
37,06/26/21 08:00:00 AM,84.115,224.0,,,,,,
38,06/26/21 10:00:00 AM,84.474,512.0,,,,,,
39,06/26/21 12:00:00 PM,85.014,496.0,,,,,,
40,06/26/21 02:00:00 PM,85.374,232.0,,,,,,
41,06/26/21 04:00:00 PM,85.735,248.0,,,,,,
42,06/26/21 06:00:00 PM,85.735,115.0,,,,,,
43,06/26/21 08:00:00 PM,85.194,1.0,,,,,,
44,06/26/21 10:00:00 PM,84.654,0.0,,,,,,
45,06/27/21 12:00:00 AM,84.474,0.0,,,,,,
46,06/27/21 02:00:00 AM,84.295,0.0,,,,,,
47,06/27/21 04:00:00 AM,84.474,0.0,,,,,,
48,06/27/21 06:00:00 AM,84.474,0.0,,,,,,
49,06/27/21 08:00:00 AM,84.654,55.0,,,,,,
50,06/27/21 10:00:00 AM,84.295,272.0,,,,,,
51,06/27/21 12:00:00 PM,85.014,336.0,,,,,,
52,06/27/21 02:00:00 PM,85.735,248.0,,,,,,
53,06/27/21 04:00:00 PM,85.915,1536.0,,,,,,
54,06/27/21 06:00:00 PM,85.915,71.0,,,,,,
55,06/27/21 08:00:00 PM,85.915,1.0,,,,,,
56,06/27/21 10:00:00 PM,85.374,0.0,,,,,,
57,06/28/21 12:00:00 AM,85.014,0.0,,,,,,
58,06/28/21 02:00:00 AM,84.834,0.0,,,,,,
59,06/28/21 04:00:00 AM,84.834,0.0,,,,,,
60,06/28/21 06:00:00 AM,85.194,0.0,,,,,,
61,06/28/21 08:00:00 AM,85.374,67.0,,,,,,
62,06/28/21 10:00:00 AM,84.295,115.0,,,,,,
63,06/28/21 12:00:00 PM,84.295,41.0,,,,,,
64,06/28/21 02:00:00 PM,85.554,896.0,,,,,,
65,06/28/21 04:00:00 PM,84.474,32.0,,,,,,
66,06/28/21 06:00:00 PM,85.014,208.0,,,,,,
67,06/28/21 08:00:00 PM,85.014,14.0,,,,,,
68,06/28/21 10:00:00 PM,84.295,0.0,,,,,,
69,06/29/21 12:00:00 AM,84.115,0.0,,,,,,
70,06/29/21 02:00:00 AM,83.935,0.0,,,,,,
71,06/29/21 04:00:00 AM,83.935,0.0,,,,,,
72,06/29/21 06:00:00 AM,83.935,0.0,,,,,,
73,06/29/21 08:00:00 AM,84.295,62.0,,,,,,
74,06/29/21 10:00:00 AM,84.115,94.0,,,,,,
75,06/29/21 12:00:00 PM,84.474,240.0,,,,,,
76,06/29/21 02:00:00 PM,84.295,136.0,,,,,,
77,06/29/21 04:00:00 PM,84.295,98.0,,,,,,
78,06/29/21 06:00:00 PM,83.935,14.0,,,,,,
79,06/29/21 08:00:00 PM,84.115,0.0,,,,,,
80,06/29/21 10:00:00 PM,84.295,0.0,,,,,,
81,06/30/21 12:00:00 AM,83.935,0.0,,,,,,
82,06/30/21 02:00:00 AM,83.579,0.0,,,,,,
83,06/30/21 04:00:00 AM,83.579,0.0,,,,,,
84,06/30/21 06:00:00 AM,83.579,0.0,,,,,,
85,06/30/21 08:00:00 AM,83.757,20.0,,,,,,
86,06/30/21 10:00:00 AM,84.295,122.0,,,,,,
87,06/30/21 12:00:00 PM,83.221,47.0,,,,,,
88,06/30/21 02:00:00 PM,83.399,39.0,,,,,,
89,06/30/21 04:00:00 PM,83.399,200.0,,,,,,
90,06/30/21 06:00:00 PM,83.399,60.0,,,,,,
91,06/30/21 08:00:00 PM,83.399,1.0,,,,,,
92,06/30/21 10:00:00 PM,83.399,0.0,,,,,,
93,07/01/21 12:00:00 AM,82.864,0.0,,,,,,
94,07/01/21 02:00:00 AM,83.043,0.0,,,,,,
95,07/01/21 04:00:00 AM,83.043,0.0,,,,,,
96,07/01/21 06:00:00 AM,82.864,0.0,,,,,,
97,07/01/21 08:00:00 AM,83.221,104.0,,,,,,
98,07/01/21 10:00:00 AM,83.757,256.0,,,,,,
99,07/01/21 12:00:00 PM,83.935,168.0,,,,,,
100,07/01/21 02:00:00 PM,84.295,704.0,,,,,,
101,07/01/21 04:00:00 PM,83.935,61.0,,,,,,
102,07/01/21 06:00:00 PM,83.757,51.0,,,,,,
103,07/01/21 08:00:00 PM,83.579,2.0,,,,,,
104,07/01/21 10:00:00 PM,83.579,0.0,,,,,,
105,07/02/21 12:00:00 AM,83.757,0.0,,,,,,
106,07/02/21 02:00:00 AM,83.579,0.0,,,,,,
107,07/02/21 04:00:00 AM,83.399,0.0,,,,,,
108,07/02/21 06:00:00 AM,83.399,0.0,,,,,,
109,07/02/21 08:00:00 AM,83.399,60.0,,,,,,
110,07/02/21 10:00:00 AM,84.295,248.0,,,,,,
111,07/02/21 12:00:00 PM,84.474,101.0,,,,,,
112,07/02/21 02:00:00 PM,84.834,248.0,,,,,,
113,07/02/21 04:00:00 PM,85.915,168.0,,,,,,
114,07/02/21 06:00:00 PM,84.474,152.0,,,,,,
115,07/02/21 08:00:00 PM,84.474,13.0,,,,,,
116,07/02/21 10:00:00 PM,84.295,0.0,,,,,,
117,07/03/21 12:00:00 AM,84.654,0.0,,,,,,
118,07/03/21 02:00:00 AM,83.935,0.0,,,,,,
119,07/03/21 04:00:00 AM,83.579,0.0,,,,,,
120,07/03/21 06:00:00 AM,83.757,0.0,,,,,,
121,07/03/21 08:00:00 AM,83.935,86.0,,,,,,
122,07/03/21 10:00:00 AM,84.834,232.0,,,,,,
123,07/03/21 12:00:00 PM,85.554,256.0,,,,,,
124,07/03/21 02:00:00 PM,85.915,272.0,,,,,,
125,07/03/21 04:00:00 PM,85.194,480.0,,,,,,
126,07/03/21 06:00:00 PM,85.374,84.0,,,,,,
127,07/03/21 08:00:00 PM,85.194,19.0,,,,,,
128,07/03/21 10:00:00 PM,85.194,0.0,,,,,,
129,07/04/21 12:00:00 AM,85.374,0.0,,,,,,
130,07/04/21 02:00:00 AM,85.194,0.0,,,,,,
131,07/04/21 04:00:00 AM,84.834,0.0,,,,,,
132,07/04/21 06:00:00 AM,84.474,0.0,,,,,,
133,07/04/21 08:00:00 AM,85.194,57.0,,,,,,
134,07/04/21 10:00:00 AM,86.097,224.0,,,,,,
135,07/04/21 12:00:00 PM,86.641,256.0,,,,,,
136,07/04/21 02:00:00 PM,86.459,248.0,,,,,,
137,07/04/21 04:00:00 PM,86.277,368.0,,,,,,
138,07/04/21 06:00:00 PM,85.735,136.0,,,,,,
139,07/04/21 08:00:00 PM,85.735,2.0,,,,,,
140,07/04/21 10:00:00 PM,86.097,0.0,,,,,,
141,07/05/21 12:00:00 AM,86.823,0.0,,,,,,
142,07/05/21 02:00:00 AM,86.097,0.0,,,,,,
143,07/05/21 04:00:00 AM,86.097,0.0,,,,,,
144,07/05/21 06:00:00 AM,85.915,0.0,,,,,,
145,07/05/21 08:00:00 AM,86.097,34.0,,,,,,
146,07/05/21 10:00:00 AM,86.459,288.0,,,,,,
147,07/05/21 12:00:00 PM,87.004,272.0,,,,,,
148,07/05/21 02:00:00 PM,87.552,144.0,,,,,,
149,07/05/21 04:00:00 PM,87.004,9.0,,,,,,
150,07/05/21 06:00:00 PM,86.823,11.0,,,,,,
151,07/05/21 08:00:00 PM,86.641,1.0,,,,,,
152,07/05/21 10:00:00 PM,85.735,0.0,,,,,,
153,07/06/21 12:00:00 AM,85.915,0.0,,,,,,
154,07/06/21 02:00:00 AM,86.097,0.0,,,,,,
155,07/06/21 04:00:00 AM,86.459,0.0,,,,,,
156,07/06/21 06:00:00 AM,85.915,0.0,,,,,,
157,07/06/21 08:00:00 AM,85.915,66.0,,,,,,
158,07/06/21 10:00:00 AM,85.735,160.0,,,,,,
159,07/06/21 12:00:00 PM,86.277,60.0,,,,,,
160,07/06/21 02:00:00 PM,86.097,3.0,,,,,,
