"Plot Title: KBNursery1.09.18"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20194578, SEN S/N: 20194578)","Intensity, lum/ft² (LGR S/N: 20194578, SEN S/N: 20194578)","End Of File (LGR S/N: 20194578)"
1,01/09/18 08:00:00 AM,71.683,0.0,
2,01/09/18 10:00:00 AM,71.512,0.0,
3,01/09/18 12:00:00 PM,71.512,0.0,
4,01/09/18 02:00:00 PM,72.891,1.0,
5,01/09/18 04:00:00 PM,72.891,1.0,
6,01/09/18 06:00:00 PM,72.891,1.0,
7,01/09/18 08:00:00 PM,72.372,1.0,
8,01/09/18 10:00:00 PM,71.856,1.0,
9,01/10/18 12:00:00 AM,71.683,1.0,
10,01/10/18 02:00:00 AM,71.683,1.0,
11,01/10/18 04:00:00 AM,71.683,1.0,
12,01/10/18 06:00:00 AM,71.683,1.0,
13,01/10/18 08:00:00 AM,71.683,1.0,
14,01/10/18 10:00:00 AM,72.891,1.0,
15,01/10/18 12:00:00 PM,72.545,2.0,
16,01/10/18 02:00:00 PM,73.062,1.0,
17,01/10/18 04:00:00 PM,73.234,1.0,
18,01/10/18 06:00:00 PM,72.891,2.0,
19,01/10/18 08:00:00 PM,71.856,1.0,
20,01/10/18 10:00:00 PM,71.683,1.0,
21,01/11/18 12:00:00 AM,71.512,1.0,
22,01/11/18 02:00:00 AM,71.512,1.0,
23,01/11/18 04:00:00 AM,71.339,1.0,
24,01/11/18 06:00:00 AM,71.339,1.0,
25,01/11/18 08:00:00 AM,73.062,0.0,
26,01/11/18 10:00:00 AM,75.832,0.0,
27,01/11/18 12:00:00 PM,81.975,0.0,
28,01/11/18 02:00:00 PM,82.864,0.0,
29,01/11/18 04:00:00 PM,79.853,0.0,
30,01/11/18 06:00:00 PM,73.062,0.0,
31,01/11/18 08:00:00 PM,71.683,0.0,
32,01/11/18 10:00:00 PM,71.512,0.0,
33,01/12/18 12:00:00 AM,72.028,0.0,
34,01/12/18 02:00:00 AM,72.372,0.0,
35,01/12/18 04:00:00 AM,72.545,0.0,
36,01/12/18 06:00:00 AM,72.372,0.0,
37,01/12/18 08:00:00 AM,72.372,0.0,
38,01/12/18 10:00:00 AM,71.856,0.0,
39,01/12/18 12:00:00 PM,71.683,0.0,
40,01/12/18 02:00:00 PM,72.028,0.0,
41,01/12/18 04:00:00 PM,72.028,0.0,
42,01/12/18 06:00:00 PM,71.683,0.0,
43,01/12/18 08:00:00 PM,75.659,0.0,
44,01/12/18 10:00:00 PM,75.312,0.0,
45,01/13/18 12:00:00 AM,72.891,0.0,
46,01/13/18 02:00:00 AM,71.683,0.0,
47,01/13/18 04:00:00 AM,71.683,0.0,
48,01/13/18 06:00:00 AM,71.683,0.0,
49,01/13/18 08:00:00 AM,72.028,0.0,
50,01/13/18 10:00:00 AM,73.407,8.0,
51,01/13/18 12:00:00 PM,76.703,19.0,
52,01/13/18 02:00:00 PM,74.098,3.0,
53,01/13/18 04:00:00 PM,73.407,0.0,
54,01/13/18 06:00:00 PM,72.718,0.0,
55,01/13/18 08:00:00 PM,72.718,0.0,
56,01/13/18 10:00:00 PM,72.372,0.0,
57,01/14/18 12:00:00 AM,71.856,0.0,
58,01/14/18 02:00:00 AM,72.545,0.0,
59,01/14/18 04:00:00 AM,72.372,0.0,
60,01/14/18 06:00:00 AM,71.683,0.0,
61,01/14/18 08:00:00 AM,71.512,0.0,
62,01/14/18 10:00:00 AM,70.824,5.0,
63,01/14/18 12:00:00 PM,69.793,14.0,
64,01/14/18 02:00:00 PM,70.651,25.0,
65,01/14/18 04:00:00 PM,70.995,1.0,
66,01/14/18 06:00:00 PM,70.308,0.0,
67,01/14/18 08:00:00 PM,70.137,0.0,
68,01/14/18 10:00:00 PM,69.964,0.0,
69,01/15/18 12:00:00 AM,69.793,0.0,
70,01/15/18 02:00:00 AM,69.622,0.0,
71,01/15/18 04:00:00 AM,69.278,0.0,
72,01/15/18 06:00:00 AM,68.934,0.0,
73,01/15/18 08:00:00 AM,68.592,2.0,
74,01/15/18 10:00:00 AM,69.622,5.0,
75,01/15/18 12:00:00 PM,70.480,1.0,
76,01/15/18 02:00:00 PM,69.793,1.0,
77,01/15/18 04:00:00 PM,70.308,0.0,
78,01/15/18 06:00:00 PM,70.651,0.0,
79,01/15/18 08:00:00 PM,71.168,0.0,
80,01/15/18 10:00:00 PM,70.995,0.0,
81,01/16/18 12:00:00 AM,70.824,0.0,
82,01/16/18 02:00:00 AM,70.995,0.0,
83,01/16/18 04:00:00 AM,70.824,0.0,
84,01/16/18 06:00:00 AM,70.824,0.0,
85,01/16/18 08:00:00 AM,70.651,0.0,
86,01/16/18 10:00:00 AM,70.651,0.0,
87,01/16/18 12:00:00 PM,71.512,0.0,
88,01/16/18 02:00:00 PM,70.824,0.0,
89,01/16/18 04:00:00 PM,71.168,0.0,
90,01/16/18 06:00:00 PM,73.407,1.0,
91,01/16/18 08:00:00 PM,70.824,0.0,
92,01/16/18 10:00:00 PM,70.995,0.0,
93,01/17/18 12:00:00 AM,71.339,0.0,
94,01/17/18 02:00:00 AM,71.168,0.0,
95,01/17/18 04:00:00 AM,70.995,0.0,
96,01/17/18 06:00:00 AM,70.651,0.0,
97,01/17/18 08:00:00 AM,70.137,0.0,
98,01/17/18 10:00:00 AM,70.137,0.0,
99,01/17/18 12:00:00 PM,70.995,0.0,
100,01/17/18 02:00:00 PM,71.168,0.0,
101,01/17/18 04:00:00 PM,71.168,0.0,
102,01/17/18 06:00:00 PM,70.995,0.0,
103,01/17/18 08:00:00 PM,72.718,0.0,
104,01/17/18 10:00:00 PM,68.934,0.0,
105,01/18/18 12:00:00 AM,72.891,0.0,
106,01/18/18 02:00:00 AM,73.062,0.0,
107,01/18/18 04:00:00 AM,72.718,0.0,
108,01/18/18 06:00:00 AM,72.028,0.0,
109,01/18/18 08:00:00 AM,68.592,0.0,
110,01/18/18 10:00:00 AM,67.564,0.0,
111,01/18/18 12:00:00 PM,70.137,0.0,
112,01/18/18 02:00:00 PM,70.824,0.0,
113,01/18/18 04:00:00 PM,72.718,1.0,
114,01/18/18 06:00:00 PM,73.753,0.0,
115,01/18/18 08:00:00 PM,72.372,0.0,
116,01/18/18 10:00:00 PM,70.308,0.0,
117,01/19/18 12:00:00 AM,69.964,0.0,
118,01/19/18 02:00:00 AM,69.449,0.0,
