"Plot Title: KB Nursery_1.16.2020"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20473194, SEN S/N: 20473194)","Intensity, lum/ft² (LGR S/N: 20473194, SEN S/N: 20473194)","End Of File (LGR S/N: 20473194)"
1,01/16/20 08:00:00 AM,23.677,0.0,
2,01/16/20 10:00:00 AM,27.567,272.0,
3,01/16/20 12:00:00 PM,25.319,480.0,
4,01/16/20 02:00:00 PM,25.513,240.0,
5,01/16/20 04:00:00 PM,25.416,52.0,
6,01/16/20 06:00:00 PM,25.028,0.0,
7,01/16/20 08:00:00 PM,24.931,0.0,
8,01/16/20 10:00:00 PM,24.931,0.0,
9,01/17/20 12:00:00 AM,25.319,0.0,
10,01/17/20 02:00:00 AM,25.319,0.0,
11,01/17/20 04:00:00 AM,25.222,0.0,
12,01/17/20 06:00:00 AM,25.125,0.0,
13,01/17/20 08:00:00 AM,24.835,14.0,
14,01/17/20 10:00:00 AM,24.738,34.0,
15,01/17/20 12:00:00 PM,25.319,67.0,
16,01/17/20 02:00:00 PM,26.097,113.0,
17,01/17/20 04:00:00 PM,26.097,21.0,
18,01/17/20 06:00:00 PM,25.610,0.0,
19,01/17/20 08:00:00 PM,24.545,0.0,
20,01/17/20 10:00:00 PM,24.351,0.0,
21,01/18/20 12:00:00 AM,25.416,0.0,
22,01/18/20 02:00:00 AM,25.805,0.0,
23,01/18/20 04:00:00 AM,25.902,0.0,
24,01/18/20 06:00:00 AM,25.513,0.0,
25,01/18/20 08:00:00 AM,25.319,2.0,
26,01/18/20 10:00:00 AM,24.738,20.0,
27,01/18/20 12:00:00 PM,24.931,27.0,
28,01/18/20 02:00:00 PM,25.708,35.0,
29,01/18/20 04:00:00 PM,25.902,44.0,
30,01/18/20 06:00:00 PM,25.708,0.0,
31,01/18/20 08:00:00 PM,25.222,0.0,
32,01/18/20 10:00:00 PM,25.125,0.0,
33,01/19/20 12:00:00 AM,25.028,0.0,
34,01/19/20 02:00:00 AM,25.222,0.0,
35,01/19/20 04:00:00 AM,25.513,0.0,
36,01/19/20 06:00:00 AM,25.416,0.0,
37,01/19/20 08:00:00 AM,25.416,56.0,
38,01/19/20 10:00:00 AM,25.513,93.0,
39,01/19/20 12:00:00 PM,25.416,256.0,
40,01/19/20 02:00:00 PM,25.902,336.0,
41,01/19/20 04:00:00 PM,26.097,336.0,
42,01/19/20 06:00:00 PM,25.902,1.0,
43,01/19/20 08:00:00 PM,25.610,0.0,
44,01/19/20 10:00:00 PM,25.513,0.0,
45,01/20/20 12:00:00 AM,25.513,0.0,
46,01/20/20 02:00:00 AM,25.708,0.0,
47,01/20/20 04:00:00 AM,25.610,0.0,
48,01/20/20 06:00:00 AM,25.513,0.0,
49,01/20/20 08:00:00 AM,25.610,39.0,
50,01/20/20 10:00:00 AM,25.902,192.0,
51,01/20/20 12:00:00 PM,26.097,416.0,
52,01/20/20 02:00:00 PM,25.902,240.0,
53,01/20/20 04:00:00 PM,25.805,125.0,
54,01/20/20 06:00:00 PM,25.708,0.0,
55,01/20/20 08:00:00 PM,25.610,0.0,
56,01/20/20 10:00:00 PM,25.319,0.0,
57,01/21/20 12:00:00 AM,25.222,0.0,
58,01/21/20 02:00:00 AM,25.610,0.0,
59,01/21/20 04:00:00 AM,25.902,0.0,
60,01/21/20 06:00:00 AM,25.902,0.0,
61,01/21/20 08:00:00 AM,25.902,42.0,
62,01/21/20 10:00:00 AM,25.708,208.0,
63,01/21/20 12:00:00 PM,25.125,448.0,
64,01/21/20 02:00:00 PM,25.805,336.0,
