"Plot Title: KB Nursery 3.6.20"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20685544, SEN S/N: 20685544)","Intensity, lum/ft² (LGR S/N: 20685544, SEN S/N: 20685544)","Coupler Attached (LGR S/N: 20685544)","Host Connected (LGR S/N: 20685544)","Stopped (LGR S/N: 20685544)","End Of File (LGR S/N: 20685544)"
1,03/06/20 08:00:00 AM,23.388,0.0,,,,
2,03/06/20 10:00:00 AM,24.158,0.0,,,,
3,03/06/20 12:00:00 PM,25.805,256.0,,,,
4,03/06/20 02:00:00 PM,25.416,118.0,,,,
5,03/06/20 04:00:00 PM,25.513,34.0,,,,
6,03/06/20 06:00:00 PM,25.416,15.0,,,,
7,03/06/20 08:00:00 PM,25.222,0.0,,,,
8,03/06/20 10:00:00 PM,25.028,0.0,,,,
9,03/07/20 12:00:00 AM,24.931,0.0,,,,
10,03/07/20 02:00:00 AM,24.835,0.0,,,,
11,03/07/20 04:00:00 AM,24.738,0.0,,,,
12,03/07/20 06:00:00 AM,24.835,0.0,,,,
13,03/07/20 08:00:00 AM,24.835,80.0,,,,
14,03/07/20 10:00:00 AM,25.222,176.0,,,,
15,03/07/20 12:00:00 PM,25.125,368.0,,,,
16,03/07/20 02:00:00 PM,25.222,192.0,,,,
17,03/07/20 04:00:00 PM,25.416,28.0,,,,
18,03/07/20 06:00:00 PM,25.416,5.0,,,,
19,03/07/20 08:00:00 PM,25.416,0.0,,,,
20,03/07/20 10:00:00 PM,25.125,0.0,,,,
21,03/08/20 12:00:00 AM,24.835,0.0,,,,
22,03/08/20 02:00:00 AM,24.835,0.0,,,,
23,03/08/20 04:00:00 AM,24.931,0.0,,,,
24,03/08/20 06:00:00 AM,25.125,0.0,,,,
25,03/08/20 08:00:00 AM,25.319,62.0,,,,
26,03/08/20 10:00:00 AM,24.738,70.0,,,,
27,03/08/20 12:00:00 PM,25.222,304.0,,,,
28,03/08/20 02:00:00 PM,25.028,68.0,,,,
29,03/08/20 04:00:00 PM,25.125,17.0,,,,
30,03/08/20 06:00:00 PM,25.125,28.0,,,,
31,03/08/20 08:00:00 PM,25.125,0.0,,,,
32,03/08/20 10:00:00 PM,24.835,0.0,,,,
33,03/09/20 12:00:00 AM,24.448,0.0,,,,
34,03/09/20 02:00:00 AM,24.255,0.0,,,,
35,03/09/20 04:00:00 AM,24.158,0.0,,,,
36,03/09/20 06:00:00 AM,24.641,0.0,,,,
37,03/09/20 08:00:00 AM,24.835,20.0,,,,
38,03/09/20 10:00:00 AM,24.448,61.0,,,,
39,03/09/20 12:00:00 PM,24.158,44.0,,,,
