"Plot Title: KBN.2.10.2021"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20976501, SEN S/N: 20976501)","Intensity, lum/ft² (LGR S/N: 20976501, SEN S/N: 20976501)","Coupler Attached (LGR S/N: 20976501)","Host Connected (LGR S/N: 20976501)","Stopped (LGR S/N: 20976501)","End Of File (LGR S/N: 20976501)"
1,02/10/21 09:00:00 AM,23.677,0.0,,,,
2,02/10/21 11:00:00 AM,23.773,192.0,,,,
3,02/10/21 01:00:00 PM,23.196,192.0,,,,
4,02/10/21 03:00:00 PM,23.484,103.0,,,,
5,02/10/21 05:00:00 PM,23.196,31.0,,,,
6,02/10/21 07:00:00 PM,23.004,0.0,,,,
7,02/10/21 09:00:00 PM,23.196,0.0,,,,
8,02/10/21 11:00:00 PM,23.196,0.0,,,,
9,02/11/21 01:00:00 AM,23.196,0.0,,,,
10,02/11/21 03:00:00 AM,23.388,0.0,,,,
11,02/11/21 05:00:00 AM,23.388,0.0,,,,
12,02/11/21 07:00:00 AM,23.292,1.0,,,,
13,02/11/21 09:00:00 AM,23.292,184.0,,,,
14,02/11/21 11:00:00 AM,23.773,368.0,,,,
15,02/11/21 01:00:00 PM,23.869,304.0,,,,
16,02/11/21 03:00:00 PM,24.158,160.0,,,,
17,02/11/21 05:00:00 PM,23.966,45.0,,,,
18,02/11/21 07:00:00 PM,23.581,0.0,,,,
19,02/11/21 09:00:00 PM,23.484,0.0,,,,
20,02/11/21 11:00:00 PM,23.100,0.0,,,,
21,02/12/21 01:00:00 AM,23.484,0.0,,,,
22,02/12/21 03:00:00 AM,23.966,0.0,,,,
23,02/12/21 05:00:00 AM,23.869,0.0,,,,
24,02/12/21 07:00:00 AM,23.388,1.0,,,,
25,02/12/21 09:00:00 AM,23.773,232.0,,,,
26,02/12/21 11:00:00 AM,24.158,320.0,,,,
27,02/12/21 01:00:00 PM,24.062,248.0,,,,
28,02/12/21 03:00:00 PM,24.255,168.0,,,,
29,02/12/21 05:00:00 PM,24.062,50.0,,,,
