Temperature,Datetime_EST,Date,Time,Light,site,Time_period,year,month,day
27.468,2021-06-02T05:00:00Z,2021-06-02,01:00:00,NA,Nursery,1H 0M 0S,2021,6,2
27.37,2021-06-02T07:00:00Z,2021-06-02,03:00:00,NA,Nursery,3H 0M 0S,2021,6,2
27.272,2021-06-02T09:00:00Z,2021-06-02,05:00:00,NA,Nursery,5H 0M 0S,2021,6,2
27.173,2021-06-02T11:00:00Z,2021-06-02,07:00:00,NA,Nursery,7H 0M 0S,2021,6,2
27.468,2021-06-02T13:00:00Z,2021-06-02,09:00:00,NA,Nursery,9H 0M 0S,2021,6,2
27.665,2021-06-02T15:00:00Z,2021-06-02,11:00:00,NA,Nursery,11H 0M 0S,2021,6,2
27.961,2021-06-02T17:00:00Z,2021-06-02,13:00:00,NA,Nursery,13H 0M 0S,2021,6,2
28.258,2021-06-02T19:00:00Z,2021-06-02,15:00:00,NA,Nursery,15H 0M 0S,2021,6,2
27.961,2021-06-02T21:00:00Z,2021-06-02,17:00:00,NA,Nursery,17H 0M 0S,2021,6,2
27.468,2021-06-02T23:00:00Z,2021-06-02,19:00:00,NA,Nursery,19H 0M 0S,2021,6,2
27.37,2021-06-03T01:00:00Z,2021-06-02,21:00:00,NA,Nursery,21H 0M 0S,2021,6,2
27.567,2021-06-03T03:00:00Z,2021-06-02,23:00:00,NA,Nursery,23H 0M 0S,2021,6,2
27.173,2021-06-03T05:00:00Z,2021-06-03,01:00:00,NA,Nursery,1H 0M 0S,2021,6,3
26.977,2021-06-03T07:00:00Z,2021-06-03,03:00:00,NA,Nursery,3H 0M 0S,2021,6,3
26.879,2021-06-03T09:00:00Z,2021-06-03,05:00:00,NA,Nursery,5H 0M 0S,2021,6,3
27.075,2021-06-03T11:00:00Z,2021-06-03,07:00:00,NA,Nursery,7H 0M 0S,2021,6,3
27.173,2021-06-03T13:00:00Z,2021-06-03,09:00:00,NA,Nursery,9H 0M 0S,2021,6,3
28.258,2021-06-03T15:00:00Z,2021-06-03,11:00:00,NA,Nursery,11H 0M 0S,2021,6,3
27.665,2021-06-03T17:00:00Z,2021-06-03,13:00:00,NA,Nursery,13H 0M 0S,2021,6,3
28.456,2021-06-03T19:00:00Z,2021-06-03,15:00:00,NA,Nursery,15H 0M 0S,2021,6,3
