name	term	lev	seq	value
"trans-Golgi network transport vesicle membrane"	GO:0012510	3	Acropora_022282	0.183044420989249
"trans-Golgi network transport vesicle membrane"	GO:0012510	3	Acropora_023622	-0.0343211855270844
"trans-Golgi network transport vesicle membrane"	GO:0012510	3	Acropora_003667	-0.340721292363114
"trans-Golgi network transport vesicle membrane"	GO:0012510	3	Acropora_032470	1.01433588380345
"trans-Golgi network transport vesicle membrane"	GO:0012510	3	Acropora_031062	-0.740807434261375
"trans-Golgi network transport vesicle membrane"	GO:0012510	3	Acropora_003231	-1.2132055980056
"synaptic membrane"	GO:0097060	2	Acropora_029516	-0.75781281852773
"synaptic membrane"	GO:0097060	2	Acropora_022158	4.33876217814455
"synaptic membrane"	GO:0097060	2	Acropora_004653	2.67679142369002
"synaptic membrane"	GO:0097060	2	Acropora_006875	4.23820562418624
"synaptic membrane"	GO:0097060	2	Acropora_020071	0.0882869984653978
"synaptic membrane"	GO:0097060	2	Acropora_031397	1.55763519171975
"synaptic membrane"	GO:0097060	2	Acropora_002516	-0.380647588685847
"synaptic membrane"	GO:0097060	2	Acropora_023838	1.05996754364624
"synaptic membrane"	GO:0097060	2	Acropora_013380	-0.701198260302761
"synaptic membrane"	GO:0097060	2	Acropora_003964	-0.0336095444284233
"synaptic membrane"	GO:0097060	2	Acropora_003300	-0.970620155468883
"synaptic membrane"	GO:0097060	2	Acropora_020689	0.275823183471885
"synaptic membrane"	GO:0097060	2	Acropora_027557	-4.78502893838116
"synaptic membrane"	GO:0097060	2	Acropora_026358	0.848881011553823
"synaptic membrane"	GO:0097060	2	Acropora_009997	2.36110076538633
"synaptic membrane"	GO:0097060	2	Acropora_030692	0.55461521969741
"synaptic membrane"	GO:0097060	2	Acropora_021872	-3.1764204462643
"synaptic membrane"	GO:0097060	2	Acropora_031193	0.548110260444437
"synaptic membrane"	GO:0097060	2	Acropora_029523	3.38133415657097
"synaptic membrane"	GO:0097060	2	Acropora_001941	-0.215016808273255
"synaptic membrane"	GO:0097060	2	Acropora_021482	2.01550446825621
"synaptic membrane"	GO:0097060	2	Acropora_031231	-0.323766161862622
"synaptic membrane"	GO:0097060	2	Acropora_009996	3.27476435125143
"synaptic membrane"	GO:0097060	2	Acropora_027872	-0.4438520646105
"synaptic membrane"	GO:0097060	2	Acropora_007012	1.57652022915604
"synaptic membrane"	GO:0097060	2	Acropora_019589	1.28815231375663
"synaptic membrane"	GO:0097060	2	Acropora_007311	0.0165403202541763
"synaptic membrane"	GO:0097060	2	Acropora_008569	1.68339471766604
"synaptic membrane"	GO:0097060	2	Acropora_010786	2.96612269437152
"synaptic membrane"	GO:0097060	2	Acropora_021481	0.0133928930096709
"synaptic membrane"	GO:0097060	2	Acropora_020187	0.0172450826451246
"synaptic membrane"	GO:0097060	2	Acropora_020626	3.47150479808095
"synaptic membrane"	GO:0097060	2	Acropora_020699	-0.71674284271371
"synaptic membrane"	GO:0097060	2	Acropora_014870	-0.29132195288643
"synaptic membrane"	GO:0097060	2	Acropora_015121	-0.757711455038056
"synaptic membrane"	GO:0097060	2	Acropora_026002	1.92836903292403
"synaptic membrane"	GO:0097060	2	Acropora_029617	1.09775773390893
"synaptic membrane"	GO:0097060	2	Acropora_024105	3.84678012169425
"synaptic membrane"	GO:0097060	2	Acropora_023622	-0.0343211855270844
"synaptic membrane"	GO:0097060	2	Acropora_031399	1.1585889030959
"synaptic membrane"	GO:0097060	2	Acropora_019664	5.18637004338424
"synaptic membrane"	GO:0097060	2	Acropora_022927	-0.942192993062468
"synaptic membrane"	GO:0097060	2	Acropora_005421	1.18379222597745
"synaptic membrane"	GO:0097060	2	Acropora_001654	-0.170402746807323
"synaptic membrane"	GO:0097060	2	Acropora_008053	-0.59205551497665
"synaptic membrane"	GO:0097060	2	Acropora_014864	3.60178935527154
"synaptic membrane"	GO:0097060	2	Acropora_009949	0.0692370658404978
"synaptic membrane"	GO:0097060	2	Acropora_029737	0.963080827823554
"synaptic membrane"	GO:0097060	2	Acropora_008024	1.14873070059154
"synaptic membrane"	GO:0097060	2	Acropora_004019	-0.542119272111194
"synaptic membrane"	GO:0097060	2	Acropora_013162	0.714566597555809
"synaptic membrane"	GO:0097060	2	Acropora_029904	0.126171266840536
"synaptic membrane"	GO:0097060	2	Acropora_009500	-0.123940682325031
"synaptic membrane"	GO:0097060	2	Acropora_027556	4.67186999597809
"synaptic membrane"	GO:0097060	2	Acropora_019150	0.483097551232438
"synaptic membrane"	GO:0097060	2	Acropora_026357	0.282952835583559
"synaptic membrane"	GO:0097060	2	Acropora_028088	0.474543901262503
"synaptic membrane"	GO:0097060	2	Acropora_009357	0.0457408644268069
"synaptic membrane"	GO:0097060	2	Acropora_003299	1.85744836467963
"synaptic membrane"	GO:0097060	2	Acropora_006397	-6.00687965163455
"synaptic membrane"	GO:0097060	2	Acropora_030942	-0.746882804113378
"synaptic membrane"	GO:0097060	2	Acropora_010768	-0.0481752814759014
"synaptic membrane"	GO:0097060	2	Acropora_013597	-0.550056492566448
"synaptic membrane"	GO:0097060	2	Acropora_003640	-0.0277168092312614
"synaptic membrane"	GO:0097060	2	Acropora_017719	-0.326272403922426
"synaptic membrane"	GO:0097060	2	Acropora_029514	0.0330426129460542
"synaptic membrane"	GO:0097060	2	Acropora_030998	-1.20253189584919
"synaptic membrane"	GO:0097060	2	Acropora_006664	-1.21946708334779
"synaptic membrane"	GO:0097060	2	Acropora_007771	1.07794398217517
"synaptic membrane"	GO:0097060	2	Acropora_003365	1.16026949723279
"synaptic membrane"	GO:0097060	2	Acropora_001184	2.63156748486973
"synaptic membrane"	GO:0097060	2	Acropora_000758	0.657303477402082
"synaptic membrane"	GO:0097060	2	Acropora_005851	0.613934015692811
"synaptic membrane"	GO:0097060	2	Acropora_020625	-1.04875664250052
"synaptic membrane"	GO:0097060	2	Acropora_006111	-0.022660706112636
"synaptic membrane"	GO:0097060	2	Acropora_027558	-0.831131531689648
"synaptic membrane"	GO:0097060	2	Acropora_033562	3.99828463327611
"synaptic membrane"	GO:0097060	2	Acropora_027553	2.37424964204647
"synaptic membrane"	GO:0097060	2	Acropora_014871	0.723701251678223
"synaptic membrane"	GO:0097060	2	Acropora_022031	0.924109763120856
"synaptic membrane"	GO:0097060	2	Acropora_011090	-0.218477804974079
"synaptic membrane"	GO:0097060	2	Acropora_022995	-0.37543700615939
"synaptic membrane"	GO:0097060	2	Acropora_010754	3.09625164237775
"synaptic membrane"	GO:0097060	2	Acropora_008226	-0.595797838221289
"synaptic membrane"	GO:0097060	2	Acropora_026369	-0.308348448038708
"synaptic membrane"	GO:0097060	2	Acropora_030930	3.45845315908564
"synaptic membrane"	GO:0097060	2	Acropora_013749	-0.250447730671515
"synaptic membrane"	GO:0097060	2	Acropora_008570	-2.45875193913218
"synaptic membrane"	GO:0097060	2	Acropora_009260	0.0614373457506034
"synaptic membrane"	GO:0097060	2	Acropora_016042	-0.349144777805223
"synaptic membrane"	GO:0097060	2	Acropora_008611	1.59807137785221
"synaptic membrane"	GO:0097060	2	Acropora_005893	4.93294826117779
"synaptic membrane"	GO:0097060	2	Acropora_031191	0.114119829594384
"synaptic membrane"	GO:0097060	2	Acropora_018244	2.67609727613127
"synaptic membrane"	GO:0097060	2	Acropora_021470	0.0339031605087252
"synaptic membrane"	GO:0097060	2	Acropora_008571	2.6792833911226
"synaptic membrane"	GO:0097060	2	Acropora_027555	16.59986529484
"synaptic membrane"	GO:0097060	2	Acropora_009998	-0.0548962697236611
"synaptic membrane"	GO:0097060	2	Acropora_023592	0.250266973846107
"synaptic membrane"	GO:0097060	2	Acropora_019978	0.349288194878706
"synaptic membrane"	GO:0097060	2	Acropora_031027	6.29883359277817
"synaptic membrane"	GO:0097060	2	Acropora_013159	0.252901330079748
"synaptic membrane"	GO:0097060	2	Acropora_028006	0.263609258416241
"synaptic membrane"	GO:0097060	2	Acropora_000575	6.61251707109025
"synaptic membrane"	GO:0097060	2	Acropora_009032	2.918326860649
"synaptic membrane"	GO:0097060	2	Acropora_006662	0.211226079586317
"synaptic membrane"	GO:0097060	2	Acropora_014043	0.323485403135005
"synaptic membrane"	GO:0097060	2	Acropora_019219	-1.0025850684236
"synaptic membrane"	GO:0097060	2	Acropora_008572	-1.46621341288599
"synaptic membrane"	GO:0097060	2	Acropora_022854	-0.264615204258705
"synaptic membrane"	GO:0097060	2	Acropora_018412	-0.0984794273037659
"synaptic membrane"	GO:0097060	2	Acropora_021816	0.918321892037434
"synaptic membrane"	GO:0097060	2	Acropora_009608	-0.0499870998815177
"synaptic membrane"	GO:0097060	2	Acropora_002470	-0.315101363955847
"synaptic membrane"	GO:0097060	2	Acropora_027439	1.1033762435106
"synaptic membrane"	GO:0097060	2	Acropora_014155	0.506941038379372
"synaptic membrane"	GO:0097060	2	Acropora_014772	-0.77023279128684
"synaptic membrane"	GO:0097060	2	Acropora_015317	-0.902297959550662
"synaptic membrane"	GO:0097060	2	Acropora_018187	3.62355227677022
"synaptic membrane"	GO:0097060	2	Acropora_023979	1.88652340420877
"synaptic membrane"	GO:0097060	2	Acropora_019715	-0.637208832694595
"synaptic membrane"	GO:0097060	2	Acropora_022725	1.24303253260258
"synaptic membrane"	GO:0097060	2	Acropora_020840	-0.340250115958377
"synaptic membrane"	GO:0097060	2	Acropora_022113	-0.645868250787598
"synaptic membrane"	GO:0097060	2	Acropora_000574	9.66906785717415
"synaptic membrane"	GO:0097060	2	Acropora_021471	2.4965256096256
"synaptic membrane"	GO:0097060	2	Acropora_020521	-0.308806868240169
"synaptic membrane"	GO:0097060	2	Acropora_010602	-1.08030018171863
"synaptic membrane"	GO:0097060	2	Acropora_001305	-0.231109820036807
"synaptic membrane"	GO:0097060	2	Acropora_009056	-0.514797815684583
"synaptic membrane"	GO:0097060	2	Acropora_009503	4.10494172610275
"synaptic membrane"	GO:0097060	2	Acropora_029527	0.437064017020889
"synaptic membrane"	GO:0097060	2	Acropora_031959	-0.598917916277763
"synaptic membrane"	GO:0097060	2	Acropora_007613	-0.164253528675087
"synaptic membrane"	GO:0097060	2	Acropora_020146	0.294193593681994
"synaptic membrane"	GO:0097060	2	Acropora_024040	-0.939444237611181
"synaptic membrane"	GO:0097060	2	Acropora_015576	0.51471092454664
"U2-type catalytic step 1 spliceosome"	GO:0071006	2	Acropora_022480	-1.83272930418055
"U2-type catalytic step 1 spliceosome"	GO:0071006	2	Acropora_019688	0.12999960514416
"U2-type catalytic step 1 spliceosome"	GO:0071006	2	Acropora_025863	0.520158648074661
"U2-type catalytic step 1 spliceosome"	GO:0071006	2	Acropora_025869	3.46754478090158
"U2-type catalytic step 1 spliceosome"	GO:0071006	2	Acropora_014831	0.203983181664634
"U2-type catalytic step 1 spliceosome"	GO:0071006	2	Acropora_004409	0.623270895371551
"U2-type catalytic step 1 spliceosome"	GO:0071006	2	Acropora_005856	6.68662041526165
"excitatory synapse"	GO:0060076	2	Acropora_023284	2.74544950813741
"excitatory synapse"	GO:0060076	2	Acropora_020256	3.62416694231702
"excitatory synapse"	GO:0060076	2	Acropora_023651	-1.17808753475754
"excitatory synapse"	GO:0060076	2	Acropora_026258	-0.000998305925282727
"excitatory synapse"	GO:0060076	2	Acropora_007771	1.07794398217517
"excitatory synapse"	GO:0060076	2	Acropora_007160	-0.0636187031903488
"excitatory synapse"	GO:0060076	2	Acropora_007169	-0.180122851125379
"excitatory synapse"	GO:0060076	2	Acropora_030930	3.45845315908564
"excitatory synapse"	GO:0060076	2	Acropora_031191	0.114119829594384
"excitatory synapse"	GO:0060076	2	Acropora_010975	1.14771312494482
"excitatory synapse"	GO:0060076	2	Acropora_007213	-0.553704511832741
"excitatory synapse"	GO:0060076	2	Acropora_006373	-0.0824100037121944
"excitatory synapse"	GO:0060076	2	Acropora_007286	-0.684696308290847
"excitatory synapse"	GO:0060076	2	Acropora_021532	3.11380590064738
"excitatory synapse"	GO:0060076	2	Acropora_000575	6.61251707109025
"excitatory synapse"	GO:0060076	2	Acropora_000574	9.66906785717415
"excitatory synapse"	GO:0060076	2	Acropora_007182	0.881054976907918
"excitatory synapse"	GO:0060076	2	Acropora_021537	5.0034599117363
"ribosome"	GO:0005840;GO:0044391	3	Acropora_004236	1.14856609517565
"ribosome"	GO:0005840;GO:0044391	3	Acropora_018410	-0.796758430040964
"ribosome"	GO:0005840;GO:0044391	3	Acropora_007495	-0.172317434183278
"ribosome"	GO:0005840;GO:0044391	3	Acropora_006112	-0.399347160129523
"ribosome"	GO:0005840;GO:0044391	3	Acropora_005387	-0.349978734133421
"ribosome"	GO:0005840;GO:0044391	3	Acropora_009127	-0.410142836143524
"ribosome"	GO:0005840;GO:0044391	3	Acropora_020150	-0.596324755775927
"ribosome"	GO:0005840;GO:0044391	3	Acropora_029756	-0.263671855503327
"ribosome"	GO:0005840;GO:0044391	3	Acropora_001123	-0.176217461537697
"ribosome"	GO:0005840;GO:0044391	3	Acropora_013754	-0.0557978266340001
"ribosome"	GO:0005840;GO:0044391	3	Acropora_027789	-0.723573845493668
"ribosome"	GO:0005840;GO:0044391	3	Acropora_015878	-0.645070321418455
"ribosome"	GO:0005840;GO:0044391	3	Acropora_020623	0.365129835559553
"ribosome"	GO:0005840;GO:0044391	3	Acropora_026374	-0.367211130051613
"ribosome"	GO:0005840;GO:0044391	3	Acropora_007937	-0.20521794702587
"ribosome"	GO:0005840;GO:0044391	3	Acropora_022635	-0.288683749811093
"ribosome"	GO:0005840;GO:0044391	3	Acropora_013858	1.21434777220488
"ribosome"	GO:0005840;GO:0044391	3	Acropora_021950	-0.9892061691919
"ribosome"	GO:0005840;GO:0044391	3	Acropora_002539	-0.828964530856439
"ribosome"	GO:0005840;GO:0044391	3	Acropora_000798	0.0136000207674119
"ribosome"	GO:0005840;GO:0044391	3	Acropora_011005	0.983634237813762
"ribosome"	GO:0005840;GO:0044391	3	Acropora_002625	-0.560056799291031
"ribosome"	GO:0005840;GO:0044391	3	Acropora_022754	-0.345354617390935
"ribosome"	GO:0005840;GO:0044391	3	Acropora_000309	0.232864763675978
"ribosome"	GO:0005840;GO:0044391	3	Acropora_005694	-0.277479371242278
"ribosome"	GO:0005840;GO:0044391	3	Acropora_009236	-0.567391503278061
"ribosome"	GO:0005840;GO:0044391	3	Acropora_002146	0.394016410017521
"ribosome"	GO:0005840;GO:0044391	3	Acropora_015569	-0.129155447973639
"ribosome"	GO:0005840;GO:0044391	3	Acropora_006632	-1.25810881613356
"ribosome"	GO:0005840;GO:0044391	3	Acropora_009765	-0.368200465827288
"ribosome"	GO:0005840;GO:0044391	3	Acropora_023130	-0.440073487146583
"ribosome"	GO:0005840;GO:0044391	3	Acropora_018272	-0.508593816436573
"ribosome"	GO:0005840;GO:0044391	3	Acropora_021889	-0.336632257602645
"ribosome"	GO:0005840;GO:0044391	3	Acropora_028228	0.0175528667487727
"ribosome"	GO:0005840;GO:0044391	3	Acropora_026415	-0.886081919943647
"ribosome"	GO:0005840;GO:0044391	3	Acropora_014216	0.253036663746928
"ribosome"	GO:0005840;GO:0044391	3	Acropora_023788	-0.824796537197559
"ribosome"	GO:0005840;GO:0044391	3	Acropora_015828	1.47222596467329
"ribosome"	GO:0005840;GO:0044391	3	Acropora_028151	3.17720652279495
"ribosome"	GO:0005840;GO:0044391	3	Acropora_015405	-3.07898794735583
"ribosome"	GO:0005840;GO:0044391	3	Acropora_018750	-0.0511304969448962
"ribosome"	GO:0005840;GO:0044391	3	Acropora_006038	-0.580562384196252
"ribosome"	GO:0005840;GO:0044391	3	Acropora_34197	0.136190890822529
"ribosome"	GO:0005840;GO:0044391	3	Acropora_026370	1.68402403242561
"ribosome"	GO:0005840;GO:0044391	3	Acropora_010882	4.88896450259246
"ribosome"	GO:0005840;GO:0044391	3	Acropora_019838	-0.272613955466497
"ribosome"	GO:0005840;GO:0044391	3	Acropora_000498	-0.331845440246891
"ribosome"	GO:0005840;GO:0044391	3	Acropora_005395	-0.762561889586987
"ribosome"	GO:0005840;GO:0044391	3	Acropora_013728	0.939380282592224
"ribosome"	GO:0005840;GO:0044391	3	Acropora_013910	-1.89534326701965
"ribosome"	GO:0005840;GO:0044391	3	Acropora_018391	0.863180649597186
"ribosome"	GO:0005840;GO:0044391	3	Acropora_007792	-0.173872117374565
"ribosome"	GO:0005840;GO:0044391	3	Acropora_022436	0.0227957601089663
"ribosome"	GO:0005840;GO:0044391	3	Acropora_000245	0.13689668337799
"ribosome"	GO:0005840;GO:0044391	3	Acropora_031296	-1.03492040218614
"ribosome"	GO:0005840;GO:0044391	3	Acropora_026388	2.0425937020908
"ribosome"	GO:0005840;GO:0044391	3	Acropora_014568	0.0192695798756991
"ribosome"	GO:0005840;GO:0044391	3	Acropora_024151	-0.528291165196418
"ribosome"	GO:0005840;GO:0044391	3	Acropora_024080	0.0598930280703584
"ribosome"	GO:0005840;GO:0044391	3	Acropora_021741	-0.487432750693018
"ribosome"	GO:0005840;GO:0044391	3	Acropora_014805	-0.532715112795823
"ribosome"	GO:0005840;GO:0044391	3	Acropora_015520	1.55198484702944
"ribosome"	GO:0005840;GO:0044391	3	Acropora_027374	-0.553805941732165
"ribosome"	GO:0005840;GO:0044391	3	Acropora_013115	-0.490811532848022
"ribosome"	GO:0005840;GO:0044391	3	Acropora_020067	1.46891552110256
"ribosome"	GO:0005840;GO:0044391	3	Acropora_015713	3.1938510849248
"ribosome"	GO:0005840;GO:0044391	3	Acropora_015907	-3.76625969849522
