"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
85 0.868800443744553 4 10 "GO:0000109" "nucleotide-excision repair complex" 0.992813724871028
41 0.871678551810024 5 41 "GO:0000118" "histone deacetylase complex" 0.992813724871028
-123 0.500881847145463 5 79 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.832303634653246
-671 0.151632285810097 2 12 "GO:0000124" "SAGA complex" 0.535119075389374
-242 0.692937042290829 2 7 "GO:0000125" "PCAF complex" 0.904613975709292
151 0.746984326471652 2 12 "GO:0000137" "Golgi cis cisterna" 0.928867642880641
-391 0.334599741966262 3 16 "GO:0000138" "Golgi trans cisterna" 0.73277636468589
-61 0.515259484630228 4 311 "GO:0000139" "Golgi membrane" 0.842144534019297
-87 0.86510709378878 4 10 "GO:0000145" "exocyst" 0.992813724871028
-133 0.239500963262244 3 213 "GO:0000151" "ubiquitin ligase complex" 0.65268346251633
232 0.457103875721464 2 27 "GO:0000152" "nuclear ubiquitin ligase complex" 0.815490482507776
-359 0.462256318058593 4 11 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.821280970042692
-32 0.950169832894449 2 10 "GO:0000159" "protein phosphatase type 2A complex" 0.997810074504665
871 0.106589090122122 2 9 "GO:0000164" "protein phosphatase type 1 complex" 0.460271070981891
-335 0.439706571002466 2 14 "GO:0000176;GO:0000178;GO:1905354" "exosome (RNase complex)" 0.791222573903684
-311 0.564120498310972 2 9 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.859181520473625
711 0.282395335753771 4 6 "GO:0000221;GO:0033180" "vacuolar proton-transporting V-type ATPase, V1 domain" 0.681595907411261
85 0.350889856205722 4 336 "GO:0000228;GO:0044454" "nuclear chromosome" 0.738715486748888
-71 0.894948423848239 6 9 "GO:0000235" "astral microtubule" 0.992813724871028
-261 0.547155815529794 5 14 "GO:0000242" "pericentriolar material" 0.859181520473625
-876 0.152508764491857 2 7 "GO:0000243" "commitment complex" 0.535119075389374
-1259 0.0568878227781421 5 6 "GO:0000275;GO:0045261" "mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)" 0.354383158290066
