GO_slim_term,Count,Percent,GO_slim_term_description,module,Ontology,ChildTerm,GO_child_term_description,Annotated,Significant,Expected,weightFisher,Class,GeneList
GO:0000278,1,3.8461538461538463,mitotic cell cycle,black,BP,GO:1900087,positive regulation of G1/S transition o...,30,7,2.15,0.00446,Biological_Process,"Acropora_003726,Acropora_005797,Acropora_008024,Acropora_021894,Acropora_023979,Acropora_024435,Acropora_031399"
GO:0003013,1,3.8461538461538463,circulatory system process,black,BP,GO:0008217,regulation of blood pressure,68,9,4.88,0.00161,Biological_Process,"Acropora_002193,Acropora_002513,Acropora_003300,Acropora_006682,Acropora_008172,Acropora_018599,Acropora_025921,Acropora_029360,Acropora_029364"
GO:0003014,1,3.8461538461538463,renal system process,black,BP,GO:0003091,renal water homeostasis,12,5,0.86,9.6e-4,Biological_Process,"Acropora_003034,Acropora_014104,Acropora_019364,Acropora_022893,Acropora_030965"
GO:0006281,2,7.6923076923076925,DNA repair,black,BP,GO:0006283,transcription-coupled nucleotide-excisio...,61,13,4.37,3e-4,Biological_Process,"Acropora_000023,Acropora_000762,Acropora_003315,Acropora_013983,Acropora_016327,Acropora_019793,Acropora_019891,Acropora_021894,Acropora_023768,Acropora_026563,Acropora_029550,Acropora_031379,Acropora_34449"
GO:0006281,2,7.6923076923076925,DNA repair,black,BP,GO:0036297,interstrand cross-link repair,32,7,2.29,0.00651,Biological_Process,"Acropora_003268,Acropora_015499,Acropora_015705,Acropora_017920,Acropora_019891,Acropora_022988,Acropora_031379"
GO:0006351,1,3.8461538461538463,DNA-templated transcription,black,BP,GO:0006368,transcription elongation by RNA polymera...,67,10,4.8,0.0056,Biological_Process,"Acropora_000023,Acropora_000762,Acropora_002283,Acropora_003315,Acropora_013446,Acropora_013983,Acropora_016327,Acropora_018720,Acropora_019793,Acropora_020546"
GO:0006629,2,7.6923076923076925,lipid metabolic process,black,BP,GO:0046339,diacylglycerol metabolic process,8,4,0.57,0.00145,Biological_Process,"Acropora_003681,Acropora_006592,Acropora_020491,Acropora_023854"
GO:0006629,2,7.6923076923076925,lipid metabolic process,black,BP,GO:0019372,lipoxygenase pathway,10,4,0.72,0.00387,Biological_Process,"Acropora_003435,Acropora_008172,Acropora_010832,Acropora_010844"
GO:0016071,1,3.8461538461538463,mRNA metabolic process,black,BP,GO:0006370,7-methylguanosine mRNA capping,28,8,2.01,5.7e-4,Biological_Process,"Acropora_000023,Acropora_000762,Acropora_003315,Acropora_013983,Acropora_016327,Acropora_019793,Acropora_020546,Acropora_027972"
GO:0022414,3,11.538461538461538,reproductive process,black,BP,GO:1900195,positive regulation of oocyte maturation,10,4,0.72,0.00387,Biological_Process,"Acropora_003034,Acropora_008172,Acropora_019364,Acropora_030965"
GO:0022414,3,11.538461538461538,reproductive process,black,BP,GO:0007619,courtship behavior,50,9,3.59,0.00412,Biological_Process,"Acropora_000570,Acropora_002296,Acropora_006840,Acropora_008024,Acropora_013944,Acropora_019746,Acropora_023979,Acropora_031399,Acropora_031957"
GO:0022414,3,11.538461538461538,reproductive process,black,BP,GO:0060282,positive regulation of oocyte developmen...,17,5,1.22,0.00557,Biological_Process,"Acropora_003034,Acropora_008172,Acropora_015174,Acropora_019364,Acropora_030965"
GO:0023052,2,7.6923076923076925,signaling,black,BP,GO:0045880,positive regulation of smoothened signal...,34,8,2.44,0.00227,Biological_Process,"Acropora_007272,Acropora_007948,Acropora_008712,Acropora_018079,Acropora_019500,Acropora_020063,Acropora_027972,Acropora_028000"
GO:0023052,2,7.6923076923076925,signaling,black,BP,GO:0007214,gamma-aminobutyric acid signaling pathwa...,19,5,1.36,0.0093,Biological_Process,"Acropora_010754,Acropora_013159,Acropora_013597,Acropora_021922,Acropora_029516"
GO:0030154,3,11.538461538461538,cell differentiation,black,BP,GO:1900195,positive regulation of oocyte maturation,10,4,0.72,0.00387,Biological_Process,"Acropora_003034,Acropora_008172,Acropora_019364,Acropora_030965"
GO:0030154,3,11.538461538461538,cell differentiation,black,BP,GO:0060282,positive regulation of oocyte developmen...,17,5,1.22,0.00557,Biological_Process,"Acropora_003034,Acropora_008172,Acropora_015174,Acropora_019364,Acropora_030965"
GO:0030154,3,11.538461538461538,cell differentiation,black,BP,GO:0003198,epithelial to mesenchymal transition inv...,6,3,0.43,0.00622,Biological_Process,"Acropora_005797,Acropora_007206,Acropora_022755"
GO:0048856,7,26.923076923076923,anatomical structure development,black,BP,GO:0060539,diaphragm development,5,3,0.36,0.00328,Biological_Process,"Acropora_018079,Acropora_020063,Acropora_022312"
GO:0048856,7,26.923076923076923,anatomical structure development,black,BP,GO:0035912,dorsal aorta morphogenesis,5,3,0.36,0.00328,Biological_Process,"Acropora_005797,Acropora_005865,Acropora_025921"
GO:0048856,7,26.923076923076923,anatomical structure development,black,BP,GO:1900195,positive regulation of oocyte maturation,10,4,0.72,0.00387,Biological_Process,"Acropora_003034,Acropora_008172,Acropora_019364,Acropora_030965"
GO:0048856,7,26.923076923076923,anatomical structure development,black,BP,GO:0060538,skeletal muscle organ development,133,13,9.54,0.0051,Biological_Process,"Acropora_000817,Acropora_002100,Acropora_003435,Acropora_007206,Acropora_007311,Acropora_011014,Acropora_011232,Acropora_018079,Acropora_020063,Acropora_022312,Acropora_024108,Acropora_029823,Acropora_031238"
GO:0048856,7,26.923076923076923,anatomical structure development,black,BP,GO:0060282,positive regulation of oocyte developmen...,17,5,1.22,0.00557,Biological_Process,"Acropora_003034,Acropora_008172,Acropora_015174,Acropora_019364,Acropora_030965"
GO:0048856,7,26.923076923076923,anatomical structure development,black,BP,GO:0003198,epithelial to mesenchymal transition inv...,6,3,0.43,0.00622,Biological_Process,"Acropora_005797,Acropora_007206,Acropora_022755"
GO:0048856,7,26.923076923076923,anatomical structure development,black,BP,GO:0048382,mesendoderm development,6,3,0.43,0.00622,Biological_Process,"Acropora_005865,Acropora_007206,Acropora_018599"
GO:0055086,2,7.6923076923076925,nucleobase-containing small molecule metabolic process,black,BP,GO:0034032,purine nucleoside bisphosphate metabolic...,73,12,5.23,0.00702,Biological_Process,"Acropora_002193,Acropora_003681,Acropora_006592,Acropora_012681,Acropora_013481,Acropora_015202,Acropora_017656,Acropora_020450,Acropora_029360,Acropora_029364,Acropora_029567,Acropora_032604"
GO:0055086,2,7.6923076923076925,nucleobase-containing small molecule metabolic process,black,BP,GO:0033875,ribonucleoside bisphosphate metabolic pr...,73,12,5.23,0.00702,Biological_Process,"Acropora_002193,Acropora_003681,Acropora_006592,Acropora_012681,Acropora_013481,Acropora_015202,Acropora_017656,Acropora_020450,Acropora_029360,Acropora_029364,Acropora_029567,Acropora_032604"
GO:0003824,3,33.333333333333336,catalytic activity,black,MF,GO:0008238,exopeptidase activity,51,9,3.55,0.0034,Molecular_Function,"Acropora_004017,Acropora_004371,Acropora_006682,Acropora_020182,Acropora_022087,Acropora_022812,Acropora_022814,Acropora_024003,Acropora_032453"
GO:0003824,3,33.333333333333336,catalytic activity,black,MF,GO:0004190,aspartic-type endopeptidase activity,11,4,0.77,0.0052,Molecular_Function,"Acropora_013801,Acropora_013981,Acropora_019928,Acropora_022087"
GO:0003824,3,33.333333333333336,catalytic activity,black,MF,GO:0070568,guanylyltransferase activity,7,3,0.49,0.0095,Molecular_Function,"Acropora_022898,Acropora_027972,Acropora_028265"
GO:0005215,1,11.11111111111111,transporter activity,black,MF,GO:0005251,delayed rectifier potassium channel acti...,9,4,0.63,0.0022,Molecular_Function,"Acropora_008024,Acropora_013944,Acropora_023979,Acropora_031399"
GO:0016740,1,11.11111111111111,transferase activity,black,MF,GO:0070568,guanylyltransferase activity,7,3,0.49,0.0095,Molecular_Function,"Acropora_022898,Acropora_027972,Acropora_028265"
GO:0016787,2,22.22222222222222,hydrolase activity,black,MF,GO:0008238,exopeptidase activity,51,9,3.55,0.0034,Molecular_Function,"Acropora_004017,Acropora_004371,Acropora_006682,Acropora_020182,Acropora_022087,Acropora_022812,Acropora_022814,Acropora_024003,Acropora_032453"
GO:0016787,2,22.22222222222222,hydrolase activity,black,MF,GO:0004190,aspartic-type endopeptidase activity,11,4,0.77,0.0052,Molecular_Function,"Acropora_013801,Acropora_013981,Acropora_019928,Acropora_022087"
GO:0140096,2,22.22222222222222,"catalytic activity, acting on a protein",black,MF,GO:0008238,exopeptidase activity,51,9,3.55,0.0034,Molecular_Function,"Acropora_004017,Acropora_004371,Acropora_006682,Acropora_020182,Acropora_022087,Acropora_022812,Acropora_022814,Acropora_024003,Acropora_032453"
GO:0140096,2,22.22222222222222,"catalytic activity, acting on a protein",black,MF,GO:0004190,aspartic-type endopeptidase activity,11,4,0.77,0.0052,Molecular_Function,"Acropora_013801,Acropora_013981,Acropora_019928,Acropora_022087"
GO:0005634,2,22.22222222222222,nucleus,black,CC,GO:0016605,PML body,39,8,2.79,0.00557,Cellular_Component,"Acropora_007277,Acropora_015323,Acropora_015705,Acropora_018172,Acropora_019792,Acropora_019885,Acropora_019891,Acropora_031499"
GO:0005634,2,22.22222222222222,nucleus,black,CC,GO:0005665,"RNA polymerase II, core complex",12,4,0.86,0.00811,Cellular_Component,"Acropora_000762,Acropora_003315,Acropora_013983,Acropora_016327"
GO:0005654,2,22.22222222222222,nucleoplasm,black,CC,GO:0016605,PML body,39,8,2.79,0.00557,Cellular_Component,"Acropora_007277,Acropora_015323,Acropora_015705,Acropora_018172,Acropora_019792,Acropora_019885,Acropora_019891,Acropora_031499"
GO:0005654,2,22.22222222222222,nucleoplasm,black,CC,GO:0005665,"RNA polymerase II, core complex",12,4,0.86,0.00811,Cellular_Component,"Acropora_000762,Acropora_003315,Acropora_013983,Acropora_016327"
GO:0005886,1,11.11111111111111,plasma membrane,black,CC,GO:0008076,voltage-gated potassium channel complex,22,6,1.58,0.00364,Cellular_Component,"Acropora_000101,Acropora_006246,Acropora_008024,Acropora_013944,Acropora_023979,Acropora_031399"
GO:0005929,1,11.11111111111111,cilium,black,CC,GO:0097546,ciliary base,32,8,2.29,0.00148,Cellular_Component,"Acropora_002838,Acropora_004046,Acropora_017060,Acropora_017746,Acropora_019364,Acropora_022893,Acropora_030965,Acropora_031333"
GO:0043226,3,33.333333333333336,organelle,black,CC,GO:0097546,ciliary base,32,8,2.29,0.00148,Cellular_Component,"Acropora_002838,Acropora_004046,Acropora_017060,Acropora_017746,Acropora_019364,Acropora_022893,Acropora_030965,Acropora_031333"
GO:0043226,3,33.333333333333336,organelle,black,CC,GO:0016605,PML body,39,8,2.79,0.00557,Cellular_Component,"Acropora_007277,Acropora_015323,Acropora_015705,Acropora_018172,Acropora_019792,Acropora_019885,Acropora_019891,Acropora_031499"
GO:0043226,3,33.333333333333336,organelle,black,CC,GO:0005665,"RNA polymerase II, core complex",12,4,0.86,0.00811,Cellular_Component,"Acropora_000762,Acropora_003315,Acropora_013983,Acropora_016327"
GO:0002376,2,5,immune system process,brown,BP,GO:0045088,regulation of innate immune response,172,73,70.29,0.0019,Biological_Process,"Acropora_000308,Acropora_000449,Acropora_000786,Acropora_001724,Acropora_001755,Acropora_001956,Acropora_002212,Acropora_002224,Acropora_002791,Acropora_003287,Acropora_003305,Acropora_003306,Acropora_003534,Acropora_003577,Acropora_003736,Acropora_003847,Acropora_004705,Acropora_005400,Acropora_005526,Acropora_006007,Acropora_006108,Acropora_006147,Acropora_006650,Acropora_007270,Acropora_008133,Acropora_008145,Acropora_008253,Acropora_008948,Acropora_009201,Acropora_010637,Acropora_010926,Acropora_011682,Acropora_011989,Acropora_013372,Acropora_013933,Acropora_014569,Acropora_015256,Acropora_015725,Acropora_017221,Acropora_017412,Acropora_017795,Acropora_017868,Acropora_018028,Acropora_018077,Acropora_019201,Acropora_019608,Acropora_019951,Acropora_021734,Acropora_021803,Acropora_022031,Acropora_022272,Acropora_023330,Acropora_023826,Acropora_024101,Acropora_024363,Acropora_024385,Acropora_026105,Acropora_026553,Acropora_028049,Acropora_028194,Acropora_029829,Acropora_030199,Acropora_030977,Acropora_031298,Acropora_031396,Acropora_031486,Acropora_031489,Acropora_031925,Acropora_032853,Acropora_032856,Acropora_033042,Acropora_033092,Acropora_033406"
GO:0002376,2,5,immune system process,brown,BP,GO:0002363,alpha-beta T cell lineage commitment,6,6,2.45,0.00464,Biological_Process,"Acropora_003305,Acropora_003306,Acropora_003534,Acropora_007999,Acropora_029404,Acropora_029694"
