name	term	lev	seq	value
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_032450	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_019668	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_013307	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_031449	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_031595	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_008901	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_017898	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_013135	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_012754	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_029732	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_000509	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_020540	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_026310	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_017922	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_001602	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_031596	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_026751	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_017728	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_026216	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_010237	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_015250	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_019833	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_029976	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_031824	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_020594	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_001129	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_013079	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_000515	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_020314	0
"smooth endoplasmic reticulum"	GO:0005790	4	Acropora_013038	0
