"","pval","term","direction","color"
"26/69 lysosomal lumen",0.0199251323097307,"GO:0043202",0,"skyblue2"
"10/51 small ribosomal subunit",0.0102894249464159,"GO:0015935",0,"skyblue2"
"2/32 cytosolic small ribosomal subunit",1.83198767178137e-05,"GO:0022627",0,"dodgerblue2"
"5/22 rough endoplasmic reticulum membrane",0.00916283962820729,"GO:0030867",0,"dodgerblue2"
"1/19 polysomal ribosome",0.0179423833309876,"GO:0042788",0,"skyblue2"
"3/49 cytosolic large ribosomal subunit",1.83198767178137e-05,"GO:0022625",0,"dodgerblue2"
"33/146 ribosome",3.36011321671184e-06,"GO:0005840;GO:0044391",0,"dodgerblue2"
"18/80 large ribosomal subunit",7.92633503774127e-05,"GO:0015934",0,"dodgerblue2"
"1/13 cytoplasmic side of rough endoplasmic reticulum membrane",0.0268870078797665,"GO:0098556",0,"skyblue2"
"7/86 cytosolic ribosome",1.28197593683744e-09,"GO:0022626",0,"dodgerblue2"
"35/163 cytosolic part",0.000340763454553482,"GO:0044445",0,"dodgerblue2"
