"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.550485037567595 4 309 "GO:0000139" "Golgi membrane" 1
0 0.143234978829946 3 197 "GO:0000151" "ubiquitin ligase complex" 1
0 0.0605684274716547 2 407 "GO:0000323;GO:0005773;GO:0005764" "vacuole" 1
0 0.00931149101780176 4 258 "GO:0005635" "nuclear envelope" 1
0 0.203066043825067 2 173 "GO:0005667" "transcription factor complex" 1
0 0.65607310782505 2 611 "GO:0005694;GO:0044427" "chromosome" 1
0 0.0251260413077873 3 594 "GO:0005730" "nucleolus" 1
0 0.848353510535029 4 376 "GO:0005740;GO:0031966" "mitochondrial envelope" 1
0 0.586687819130144 3 267 "GO:0005759" "mitochondrial matrix" 1
0 0.115854336384402 2 503 "GO:0005768" "endosome" 1
0 0.0101503299742945 2 106 "GO:0005775" "vacuolar lumen" 1
0 0.246171273755043 2 421 "GO:0005813;GO:0005815" "microtubule organizing center" 1
0 0.00630503826432796 2 505 "GO:0005887;GO:0031226" "intrinsic component of plasma membrane" 1
0 0.163333226694873 2 187 "GO:0005911" "cell-cell junction" 1
0 0.0758411688855641 2 388 "GO:0005929;GO:0044441" "cilium" 1
0 0.539615928961823 3 215 "GO:0005938" "cell cortex" 1
0 0.0562012485449455 2 89 "GO:0009897" "external side of plasma membrane" 1
0 0.049778760802151 2 260 "GO:0009986" "cell surface" 1
0 0.296615616507077 2 326 "GO:0012506;GO:0030659" "vesicle membrane" 1
0 0.115922069438135 2 193 "GO:0016324" "apical plasma membrane" 1
0 0.38649316335278 2 403 "GO:0016604" "nuclear body" 1
0 0.401033686944579 2 264 "GO:0019866;GO:0005743" "organelle inner membrane" 1
0 0.287658287824949 2 184 "GO:0019898" "extrinsic component of membrane" 1
0 0.436087596994628 1 304 "GO:0030054" "cell junction" 1
0 0.420777368423757 3 394 "GO:0030424" "axon" 1
0 0.361947551264555 2 369 "GO:0030425;GO:0097447" "dendritic tree" 1
0 0.130328010164731 5 129 "GO:0030667" "secretory granule membrane" 1
0 0.0342520560162922 4 114 "GO:0031514" "motile cilium" 1
0 0.234931991435733 2 628 "GO:0031967;GO:0031975" "organelle envelope" 1
0 0.037974713339289 2 188 "GO:0031983;GO:0034774;GO:0060205" "vesicle lumen" 1
0 0.125665414811785 2 239 "GO:0033267;GO:0150034" "axon part" 1
0 0.122962457417866 3 142 "GO:0036464;GO:0035770" "ribonucleoprotein granule" 1
0 0.378114826111059 2 531 "GO:0036477" "somatodendritic compartment" 1
0 0.293796677324201 3 442 "GO:0043025;GO:0044297" "cell body" 1
0 0.0334793116451437 2 75 "GO:0043195" "terminal bouton" 1
0 0.0115260001270938 2 113 "GO:0043679;GO:0044306" "neuron projection terminus" 1
0 0.116349116962219 1 466 "GO:0044421;GO:0005615" "extracellular region part" 1
0 0.898258259502925 2 539 "GO:0044429" "mitochondrial part" 1
0 0.673883812707762 3 438 "GO:0044431;GO:0098791" "Golgi apparatus part" 1
0 0.00221710366887668 3 640 "GO:0044432;GO:0005789;GO:0042175;GO:0098827" "endoplasmic reticulum part" 1
0 0.0386203061624405 2 261 "GO:0044437" "vacuolar part" 1
0 0.624905691744688 4 638 "GO:0044451" "nucleoplasm part" 1
0 0.188505097393071 3 175 "GO:0045121;GO:0098857;GO:0098589" "membrane region" 1
0 0.202213834119866 2 284 "GO:0045177" "apical part of cell" 1
0 0.0866390043106173 1 485 "GO:0045202;GO:0044456" "synapse" 1
0 0.390172703522275 3 423 "GO:0048471" "perinuclear region of cytoplasm" 1
0 0.0234887568227805 2 106 "GO:0097223" "sperm part" 1
0 0.466673828515504 2 232 "GO:0098552" "side of membrane" 1
0 0.367726540075492 2 517 "GO:0098590" "plasma membrane region" 1
0 0.103924978476635 2 258 "GO:0098793" "presynapse" 1
0 0.0435170564021702 2 214 "GO:0098794" "postsynapse" 1
0 0.088368612464613 2 487 "GO:0098796" "membrane protein complex" 1
0 0.0212459714103876 2 178 "GO:0098797" "plasma membrane protein complex" 1
0 0.0755266917013106 2 491 "GO:0099503;GO:0030141" "secretory vesicle" 1
0 0.0256777069880183 2 305 "GO:0099512;GO:0099081;GO:0099080" "supramolecular complex" 1
0 0.628506378579905 2 333 "GO:0099568" "cytoplasmic region" 1
0 0.518852036146762 2 525 "GO:1990234" "transferase complex" 1
0 0.636001613021905 2 579 "GO:1990904" "ribonucleoprotein complex" 1
0 1 4 10 "GO:0000109" "nucleotide-excision repair complex" 1
0 1 5 39 "GO:0000118" "histone deacetylase complex" 1
0 1 5 79 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 1
0 1 3 12 "GO:0000124" "SAGA complex" 1
0 1 7 7 "GO:0000125" "PCAF complex" 1
0 1 4 12 "GO:0000137" "Golgi cis cisterna" 1
0 1 6 14 "GO:0000138" "Golgi trans cisterna" 1
0 1 2 9 "GO:0000145" "exocyst" 1
0 0.446788318745965 2 24 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 1 4 10 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 1
0 1 3 9 "GO:0000159" "protein phosphatase type 2A complex" 1
0 1 2 8 "GO:0000164" "protein phosphatase type 1 complex" 1
