"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-394 0.513088205791755 5 8 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.928431797155172
-704 0.0880788025879706 2 17 "GO:0000030" "mannosyltransferase activity" 0.62355125805656
-527 0.0713391952286116 2 34 "GO:0000049" "tRNA binding" 0.554802621445232
-534 0.258435663423767 2 13 "GO:0000062" "fatty-acyl-CoA binding" 0.847447006748487
-155 0.773751034109796 5 10 "GO:0000099;GO:0015184" "sulfur amino acid transmembrane transporter activity" 0.962666731914367
322 0.386643651882509 2 21 "GO:0000146;GO:0030898" "microfilament motor activity" 0.894636501866671
230 0.240921619316667 3 76 "GO:0000149" "SNARE binding" 0.84035229956731
-980 0.103399905573106 2 8 "GO:0000150" "recombinase activity" 0.650202935633237
151 0.634196185052282 4 29 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity, producing 5'-phosphomonoesters" 0.930490749239208
-787 0.22098862921578 2 7 "GO:0000182" "rDNA binding" 0.826002953257583
-418 0.229375161873328 5 24 "GO:0000217" "DNA secondary structure binding" 0.838390895467835
-747 0.326005854525473 3 5 "GO:0000268" "peroxisome targeting sequence binding" 0.887638941872132
-42 0.951827620008717 3 6 "GO:0000285" "1-phosphatidylinositol-3-phosphate 5-kinase activity" 0.99635152785775
-151 0.366052564773201 2 106 "GO:0000287" "magnesium ion binding" 0.888742939361963
-344 0.620299995223489 3 6 "GO:0000295" "adenine nucleotide transmembrane transporter activity" 0.928621203754035
390 0.409048325758636 2 13 "GO:0000339" "RNA cap binding" 0.905326418708037
406 0.474688802594252 2 9 "GO:0000340" "RNA 7-methylguanosine cap binding" 0.917648782382055
-756 0.0756362315886768 2 16 "GO:0000400" "four-way junction DNA binding" 0.568225628962991
-525 0.414367334592327 2 7 "GO:0000403" "Y-form DNA binding" 0.909566079423404
629 0.408560493558951 6 5 "GO:0000405" "bubble DNA binding" 0.905326418708037
41 0.949636330269529 2 7 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 0.99635152785775
342 0.00109692373814722 3 276 "GO:0000976;GO:0000977;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.208719615687812
405 0.00198844870180934 2 174 "GO:0000978;GO:0000987" "proximal promoter sequence-specific DNA binding" 0.208719615687812
849 0.0619697504040524 2 14 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.533917032095519
637 0.0143156867363339 2 43 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.318924421392232
271 0.00138056397230867 3 435 "GO:0000981;GO:0003700" "DNA-binding transcription factor activity" 0.208719615687812
317 0.234833571911965 -1 41 "GO:0000988;GO:0000989;GO:0001076" "obsolete transcription factor activity, protein binding" 0.84035229956731
-906 0.132163148799792 2 8 "GO:0000992;GO:0001016;GO:0001006;GO:0001032" "RNA polymerase III regulatory region DNA binding" 0.688373776178071
68 0.861187403436818 5 19 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.979105161951845
266 0.701357115883272 4 6 "GO:0001013;GO:0001163;GO:0001164" "RNA polymerase I regulatory region sequence-specific DNA binding" 0.951392796508023
926 0.0055777253472253 2 26 "GO:0001046" "core promoter sequence-specific DNA binding" 0.276952527499567
651 0.0202944751958387 3 37 "GO:0001047" "core promoter binding" 0.34991603200567
186 0.317023214272427 2 85 "GO:0001085" "RNA polymerase II transcription factor binding" 0.882546395982355
-138 0.7693233778684 3 13 "GO:0001091" "RNA polymerase II general transcription initiation factor binding" 0.962666731914367
-100 0.868213725925044 4 8 "GO:0001094" "TFIID-class transcription factor complex binding" 0.979105161951845
-7 0.981235450629871 3 30 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.996928511396756
595 0.109729619484876 2 21 "GO:0001102" "RNA polymerase II activating transcription factor binding" 0.651112259394293
244 0.521331628164629 2 20 "GO:0001103" "RNA polymerase II repressing transcription factor binding" 0.928431797155172
-188 0.805268604963277 -1 5 "GO:0001129;GO:0001132" "obsolete RNA polymerase II transcription factor activity, TBP-class protein binding, involved in preinitiation complex assembly" 0.967227122141284
98 0.887394753682645 2 6 "GO:0001134;GO:0001135" "transcription regulator recruiting activity" 0.989349310631646
617 0.00599801971037596 2 58 "GO:0001158;GO:0035326" "enhancer binding" 0.276952527499567
-757 0.140227908761512 3 11 "GO:0001161;GO:0044213;GO:0001162" "intronic transcription regulatory region sequence-specific DNA binding" 0.697614650291208
1695 0.0146818003586912 -1 6 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.318924421392232
570 0.289403911486989 -1 10 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.864865597994062
920 0.0113065507099737 2 22 "GO:0001221" "transcription cofactor binding" 0.318924421392232
496 0.333856305382676 2 11 "GO:0001222" "transcription corepressor binding" 0.888742939361963
1300 0.0156996190961745 5 10 "GO:0001223" "transcription coactivator binding" 0.318924421392232
153 0.775604123738067 2 10 "GO:0001224" "RNA polymerase II transcription cofactor binding" 0.962666731914367
-240 0.708669874553485 2 7 "GO:0001226" "RNA polymerase II transcription corepressor binding" 0.951718713439291
530 0.00410604443453412 2 86 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.243853416695387
