"","module","gene","annot"
"1","brown2","Acropora_033778","Cupin superfamily (DUF985)"
"2","coral1","Acropora_019746","sphingolipid transporter activity"
"3","darkgreen","Acropora_031775",NA
"4","darkseagreen2","Acropora_025644",NA
"5","green4","Acropora_34599",NA
"6","lightcyan1","Acropora_023684",NA
"7","magenta3","Acropora_022859",NA
"8","maroon","Acropora_007384","arylesterase activity"
"9","red","Acropora_005685",NA
"10","royalblue3","Acropora_005614",NA
"11","yellow2","Acropora_027884",NA
