gene,Fish_kME
Acropora_000001,0
Acropora_000002,0.910122502331396
Acropora_000006,0
Acropora_000007,0
Acropora_000009,0
Acropora_000012,0.512588451986601
Acropora_000013,0.405721477673131
Acropora_000014,0
Acropora_000016,0
Acropora_000019,0.180888843798406
Acropora_000020,0.1022766315972
Acropora_000021,0
Acropora_000023,0
Acropora_000024,0.54229852032731
Acropora_000026,0
Acropora_000027,0
Acropora_000028,0.960894819058205
Acropora_000029,0.816199084930612
Acropora_000030,0
Acropora_000031,0
Acropora_000032,0
Acropora_000033,0.85516444884707
Acropora_000034,0.801652496008224
Acropora_000036,0
Acropora_000037,0.570949962208677
Acropora_000039,0
Acropora_000040,0.777785575452357
Acropora_000041,0
Acropora_000047,0.44408139349364
Acropora_000048,0.692828001270479
Acropora_000049,0.755707460538797
Acropora_000050,0
Acropora_000051,0.936905378875485
Acropora_000052,0.602923317898551
Acropora_000053,0
Acropora_000054,0
Acropora_000055,0
Acropora_000056,0.769340909270306
Acropora_000057,0
Acropora_000059,0
Acropora_000060,0.25891238976761
Acropora_000062,0.883233031080547
Acropora_000064,0.421861790781722
Acropora_000067,0.47613818262532
Acropora_000068,0
Acropora_000069,0
Acropora_000070,0
Acropora_000072,0.6462787499311
Acropora_000073,0.302425627141816
Acropora_000074,0
Acropora_000076,0.548540615011284
Acropora_000077,0
Acropora_000079,0
Acropora_000081,0
Acropora_000082,0
Acropora_000083,0
Acropora_000084,0.378740095047972
Acropora_000085,0
Acropora_000086,0
Acropora_000087,0.826632364038276
Acropora_000088,0
Acropora_000092,0
Acropora_000094,0
Acropora_000095,0
Acropora_000096,0.6706424711079
Acropora_000099,0
Acropora_000100,0
Acropora_000101,0
Acropora_000102,0
Acropora_000103,0
Acropora_000104,0
Acropora_000105,0
Acropora_000106,0
Acropora_000109,0
Acropora_000110,0
Acropora_000112,0
Acropora_000113,0
Acropora_000114,0.608169387892934
Acropora_000117,0.854082000600921
Acropora_000118,0
Acropora_000119,0.666418751201725
Acropora_000120,0
Acropora_000121,0
Acropora_000122,0.772449940774173
Acropora_000123,0.837503178523392
Acropora_000125,0.369558777448222
Acropora_000132,0
Acropora_000133,0
Acropora_000135,0
Acropora_000137,0.768845891286293
Acropora_000138,0.590486115653922
Acropora_000139,0
Acropora_000140,0.760681359732116
Acropora_000141,0
Acropora_000143,0.0326170342066061
Acropora_000146,0
Acropora_000147,0
Acropora_000148,0
Acropora_000150,0
Acropora_000151,0
Acropora_000152,0.799325027596492
Acropora_000153,0
Acropora_000154,0.894928063646365
Acropora_000155,0.268569341867852
Acropora_000156,0
Acropora_000158,0.87585974966896
Acropora_000159,0.658082567306281
Acropora_000160,0.771932546894435
Acropora_000161,0.872706184318523
Acropora_000162,0
Acropora_000165,0.501227817631722
Acropora_000168,0
Acropora_000169,0
Acropora_000171,0
Acropora_000173,0.482298608291213
Acropora_000178,0
Acropora_000180,0
Acropora_000182,0.792759643033175
Acropora_000183,0.859143114895035
Acropora_000184,0
Acropora_000185,0.547575004425892
Acropora_000189,0
Acropora_000190,0
Acropora_000191,0.266242978518424
Acropora_000192,0
Acropora_000194,0
Acropora_000195,0
Acropora_000196,0.901220600537551
Acropora_000198,0.613669195567484
Acropora_000199,0.501953776765928
Acropora_000201,0
Acropora_000203,0
Acropora_000204,0
Acropora_000205,0
Acropora_000206,0
Acropora_000207,0
Acropora_000208,0
Acropora_000209,0
Acropora_000211,0.459040069264512
Acropora_000212,0.414873812855645
Acropora_000213,0
Acropora_000215,0
Acropora_000216,0.503672519989381
Acropora_000217,0.388566429425659
Acropora_000218,0
Acropora_000219,0.62017880934217
Acropora_000221,0.106985186971997
Acropora_000223,0.521495306146943
Acropora_000224,0
Acropora_000225,0.44364379716291
Acropora_000226,0.78073825696931
Acropora_000227,0
Acropora_000228,-0.160596484905768
Acropora_000231,0.581902176084787
Acropora_000233,0
Acropora_000234,0
Acropora_000236,0.846547689767324
Acropora_000237,0.919721548913389
Acropora_000238,0.573367917047737
Acropora_000239,0.921356322282111
Acropora_000241,0.499116264047108
Acropora_000242,0
Acropora_000243,0
Acropora_000244,0
Acropora_000245,0.367277734090681
Acropora_000246,0
Acropora_000247,0
Acropora_000248,0
Acropora_000249,0.755914975503973
Acropora_000250,0
Acropora_000251,0
Acropora_000252,0
Acropora_000253,0.86702388683842
Acropora_000254,0
Acropora_000257,0.742572689518118
Acropora_000258,0
Acropora_000259,0.397257954094543
Acropora_000261,0.793427182021596
Acropora_000262,0
Acropora_000263,0.203364559670307
Acropora_000264,0
Acropora_000270,0.437394446022268
Acropora_000272,0
Acropora_000274,0
Acropora_000279,0.108331888869031
Acropora_000282,0
Acropora_000283,0.644316312830985
Acropora_000285,0.789171167263204
Acropora_000286,0.706873279987556
Acropora_000287,0.653256560643726
Acropora_000289,0.624509515547594
Acropora_000291,0
Acropora_000293,0
Acropora_000296,0
Acropora_000298,0.785828022291713
Acropora_000299,0
Acropora_000301,0.61226674625847
Acropora_000302,0
Acropora_000304,0
Acropora_000305,0.836362438580062
Acropora_000306,0
Acropora_000307,0
Acropora_000308,0.859986872421714
Acropora_000309,0
Acropora_000310,0
Acropora_000311,0
Acropora_000313,0
Acropora_000315,0
Acropora_000317,0
Acropora_000319,0
Acropora_000321,0
Acropora_000323,0.936674079077893
Acropora_000324,0
Acropora_000325,0
Acropora_000326,0.0995855856578891
Acropora_000327,0
Acropora_000328,0
Acropora_000330,0
Acropora_000331,0
Acropora_000332,0
Acropora_000333,0.113469693463605
Acropora_000334,0
Acropora_000335,0.80258553324543
Acropora_000336,0
Acropora_000337,0.802021168196045
Acropora_000338,0.450776589301147
Acropora_000339,0.258888692133125
Acropora_000342,0.564304207621718
Acropora_000347,0
Acropora_000349,0.660490884125412
Acropora_000350,0
Acropora_000352,0
Acropora_000353,0
Acropora_000354,0.620154210288339
Acropora_000355,0.442895587804715
Acropora_000356,0.288844034957755
Acropora_000357,0.714186920983919
Acropora_000358,0
Acropora_000359,0.628202265350452
Acropora_000360,0
Acropora_000361,0
Acropora_000362,0
Acropora_000363,0.865973234382728
Acropora_000364,0.86262830050415
Acropora_000366,0.943581686420546
Acropora_000368,0
Acropora_000370,0
Acropora_000371,0.506150536951027
Acropora_000372,0
Acropora_000373,0.663425157131357
Acropora_000374,0
Acropora_000375,0.850919849029774
Acropora_000376,0.168877102575664
Acropora_000378,0
Acropora_000379,0
Acropora_000381,0.823329508786914
Acropora_000382,0.404536902278081
Acropora_000385,0
Acropora_000386,0
Acropora_000387,0
Acropora_000388,0
Acropora_000389,0
Acropora_000390,0.651240257448873
Acropora_000392,0.58227274181772
Acropora_000393,0.676568746985265
Acropora_000394,0
Acropora_000395,0.47907165703042
Acropora_000396,0.722737524080374
Acropora_000398,0.712651833448932
Acropora_000401,0
Acropora_000402,0.638296024571221
Acropora_000403,0.779912898910557
Acropora_000407,0.302722192013227
Acropora_000409,0
Acropora_000411,0.111484300344992
Acropora_000413,0.375248669311806
Acropora_000415,0
Acropora_000417,0.517116177943373
Acropora_000418,0
Acropora_000420,0.838958177744465
Acropora_000421,0.656026273330749
Acropora_000422,0.417072634338161
Acropora_000424,0
Acropora_000425,0
Acropora_000427,0
Acropora_000429,0
Acropora_000430,0
Acropora_000433,0
Acropora_000435,0
Acropora_000436,0
Acropora_000437,0
Acropora_000441,0.721940023849561
Acropora_000442,0
Acropora_000443,0.902068882732565
Acropora_000444,0
Acropora_000445,0
Acropora_000446,0
Acropora_000447,0
Acropora_000448,0
Acropora_000449,0.8554552148206
Acropora_000452,0.795654011678364
Acropora_000453,0.321303832157716
Acropora_000454,0.888638887370137
Acropora_000455,0
Acropora_000457,0.64798808879439
Acropora_000460,0
Acropora_000464,0.534539422610974
Acropora_000465,0
Acropora_000466,0
Acropora_000469,0.613879065229165
Acropora_000470,0
Acropora_000471,-0.0942478141841472
Acropora_000475,0.700010609739631
Acropora_000476,0.69378984038184
Acropora_000477,0.595914622602474
Acropora_000479,0.388905805847464
Acropora_000480,0
Acropora_000481,0
Acropora_000482,0
Acropora_000483,0.522550300306849
Acropora_000485,0
Acropora_000486,0.832735676645298
Acropora_000487,0.754139173506088
Acropora_000488,0
Acropora_000490,0
Acropora_000492,0.574075052704012
Acropora_000494,0
Acropora_000496,0
Acropora_000497,0.875483695196059
Acropora_000498,0
Acropora_000499,0.693280710678761
Acropora_000500,0.484132291666807
Acropora_000501,0.866354623120068
Acropora_000502,0
Acropora_000503,0.527210595408907
Acropora_000506,0
Acropora_000507,0
Acropora_000508,0.953022354083213
Acropora_000509,0
Acropora_000510,0.641835940685911
Acropora_000511,0.641386154317258
Acropora_000512,0.368462959565975
Acropora_000513,0
Acropora_000514,0.213722972621772
Acropora_000515,0.502079064211511
Acropora_000516,0
Acropora_000518,0
Acropora_000519,0.279391165428204
Acropora_000520,0
Acropora_000521,0
Acropora_000524,0.385358644278315
Acropora_000525,0
Acropora_000526,0
Acropora_000528,0
Acropora_000531,0
Acropora_000533,0
Acropora_000534,0.587141682367136
Acropora_000535,0.575707808603003
Acropora_000536,0.472863357008842
Acropora_000537,0.515184259252456
Acropora_000538,0.683592181575115
Acropora_000539,0
Acropora_000541,0
Acropora_000542,0
Acropora_000543,0.715753988459508
Acropora_000544,0
Acropora_000546,0
Acropora_000550,0
Acropora_000552,0
Acropora_000556,0
Acropora_000561,0
Acropora_000564,0.876338584889308
Acropora_000566,0.497785895350621
Acropora_000569,0.533397913847096
Acropora_000570,0
Acropora_000572,0.372679699393214
Acropora_000573,0.221073407820992
Acropora_000574,0.716074178997904
Acropora_000575,0
Acropora_000576,0.586522774574923
Acropora_000577,0.697586838032016
Acropora_000579,0
Acropora_000580,0.893436999884412
Acropora_000581,0.657477785840541
Acropora_000582,0
Acropora_000584,0.569352239242083
Acropora_000586,0
Acropora_000587,0.569354800883419
Acropora_000588,0
Acropora_000590,0.894791352550401
Acropora_000592,0.350274932063863
Acropora_000594,0.758603830936877
Acropora_000596,0.881654876522237
Acropora_000598,0
Acropora_000601,0
Acropora_000602,0
Acropora_000603,0
Acropora_000604,0
Acropora_000605,0.537171729607212
Acropora_000607,0
Acropora_000608,0.802542453260254
Acropora_000609,0.584035140732585
Acropora_000610,0.832897587603842
Acropora_000611,0
Acropora_000612,0
Acropora_000613,0.726282415143847
Acropora_000614,0.730588972460406
Acropora_000615,0
Acropora_000616,0.922197999479828
Acropora_000617,0.449233603680005
Acropora_000619,0
Acropora_000624,0
Acropora_000625,0.848108400772651
Acropora_000626,0.911042247951331
Acropora_000627,0
Acropora_000628,0.873176548000298
Acropora_000629,0
Acropora_000631,0
Acropora_000632,0
Acropora_000633,0.902375324913909
Acropora_000639,0
Acropora_000640,0
Acropora_000641,0
Acropora_000644,0.599258467894122
Acropora_000646,0
Acropora_000647,0.0978812125906325
Acropora_000648,0.818142811822795
Acropora_000649,0.848250107342063
Acropora_000650,0
Acropora_000651,0
Acropora_000656,0
Acropora_000658,0.875405737594216
Acropora_000664,0
Acropora_000667,0.415698605271654
Acropora_000669,0
Acropora_000670,0
Acropora_000671,0
Acropora_000672,0
Acropora_000673,0
Acropora_000674,0
Acropora_000675,0
Acropora_000677,0
Acropora_000678,0
Acropora_000679,0.923815128931907
Acropora_000680,0.822869247946285
Acropora_000681,0.0331889366981093
Acropora_000683,0
Acropora_000684,0
Acropora_000685,0
Acropora_000688,0.880978424277399
Acropora_000689,0
Acropora_000690,0
Acropora_000692,0
Acropora_000693,0
Acropora_000694,0.634839148352285
Acropora_000695,0
Acropora_000696,0
Acropora_000698,0.180097708938237
Acropora_000700,0
Acropora_000703,0.951981571716071
Acropora_000705,0
Acropora_000706,0.503480756369211
Acropora_000708,0.636764875683602
Acropora_000710,0
Acropora_000711,0
Acropora_000712,0.908186231980228
Acropora_000713,0
Acropora_000715,0
Acropora_000716,0.435336856197225
Acropora_000717,0.94229105953383
Acropora_000719,0
Acropora_000720,0.399555699049217
Acropora_000721,0
