"","Max","Min","Seasonal","Daily","30.5°C","DHW","CCC","Nursery"
"1",31.8173,20.197675,11.619625,0.689339519002375,50,5.97737633928572,1,0
"2",31.8173,20.197675,11.619625,0.689339519002375,50,5.97737633928572,1,0
"3",31.8173,20.197675,11.619625,0.689339519002375,50,5.97737633928572,1,0
"4",31.8173,20.197675,11.619625,0.689339519002375,50,5.97737633928572,1,0
"6",31.472,21.569,9.903,0.71405223880597,41,3.62266666666666,0,1
"7",31.472,21.569,9.903,0.71405223880597,41,3.62266666666666,0,1
"8",31.472,21.569,9.903,0.71405223880597,41,3.62266666666666,0,1
"9",31.472,21.569,9.903,0.71405223880597,41,3.62266666666666,0,1
"10",31.472,21.569,9.903,0.71405223880597,41,3.62266666666666,0,1
"11",31.472,21.569,9.903,0.71405223880597,41,3.62266666666666,0,1
"12",31.472,21.569,9.903,0.71405223880597,41,3.62266666666666,0,1
