"","Acer_1089","Acer_1090","Acer_1091","Acer_1092","Acer_1097","Acer_1098","Acer_1099","Acer_1100","Acer_2263","Acer_2265","Acer_2266","Acer_2267","Acer_2268","Acer_2382","Acer_2384"
"Symbiodinium0",0,0,13,0,50,0,0,0,0,26,50,0,0,0,0
"Symbiodinium10001",60,56,214,107,21,57,152,0,109,25,271,39,148,71,112
"Symbiodinium10004",14,22,15,14,0,91,153,0,4,2,6,0,0,20,110
"Symbiodinium10005",0,0,2,11,0,0,0,0,0,1,28,0,9,7,0
"Symbiodinium10006",10,0,74,8,291,0,0,0,40,1,108,50,8,4,0
"Symbiodinium10007",25,9,38,19,716,1,28,0,30,29,14,0,0,30,0
"Symbiodinium10008",13,0,0,39,0,0,0,0,0,0,0,0,0,0,0
"Symbiodinium10011",0,0,0,0,0,0,0,0,10,16,0,0,0,0,69
"Symbiodinium10015",0,0,0,0,0,0,0,0,10,0,28,0,0,2,56
"Symbiodinium10020",39,32,71,4,84,0,1,0,30,1,35,48,51,66,156
"Symbiodinium10026",17,0,5,3,0,0,0,0,58,53,25,28,34,24,0
"Symbiodinium10029",676,506,1760,716,374,22,935,0,872,965,835,1035,834,405,1325
"Symbiodinium10030",22,0,54,43,0,0,17,0,23,90,103,42,28,29,36
"Symbiodinium10031",0,11,31,0,107,0,18,0,0,61,0,0,16,0,0
"Symbiodinium10032",1227,423,1270,687,540,64,535,0,1339,882,2256,1907,1288,826,1759
"Symbiodinium10037",0,38,45,0,51,0,0,0,39,20,0,17,1,2,17
"Symbiodinium10039",9,0,23,0,0,0,0,0,18,0,0,0,1,18,0
"Symbiodinium10040",0,0,14,12,0,0,0,0,0,0,0,0,0,0,0
"Symbiodinium10044",0,0,26,19,0,0,0,0,7,0,0,0,0,0,0
"Symbiodinium10049",9,0,27,13,0,0,0,0,0,42,0,0,40,15,0
"Symbiodinium10050",64,94,216,142,94,168,102,0,154,170,248,201,85,185,297
"Symbiodinium10052",0,0,0,24,0,0,0,0,18,60,24,0,0,7,0
"Symbiodinium10064",8,0,30,0,2,0,0,0,29,17,29,0,0,21,5
"Symbiodinium10066",18,13,49,23,18,0,48,0,61,50,93,43,3,38,21
"Symbiodinium10068",0,0,0,0,0,0,0,0,0,0,45,0,0,0,24
"Symbiodinium10074",344,151,525,231,386,194,304,0,683,245,557,602,257,304,582
"Symbiodinium10075",23,1,50,3,0,0,0,0,1,83,0,33,0,6,1
"Symbiodinium10087",36,52,42,4,42,0,0,0,39,52,28,53,58,12,65
"Symbiodinium10090",218,36,311,120,1,0,2,0,307,192,293,197,154,144,195
"Symbiodinium10092",0,17,0,0,0,0,0,0,0,69,0,32,0,6,9
"Symbiodinium10093",75,4,29,0,0,0,0,0,8,0,15,69,0,36,73
"Symbiodinium10095",4,48,288,54,197,361,72,0,152,68,9,54,1,58,191
"Symbiodinium10101",48,100,250,84,72,59,131,0,86,78,14,129,40,99,110
"Symbiodinium10106",26,0,29,0,0,0,0,0,0,0,0,0,0,0,0
"Symbiodinium10107",37,28,20,17,62,81,84,0,12,89,26,9,11,28,0
"Symbiodinium10115",251,295,881,420,1087,286,1104,0,383,353,518,592,370,256,1274
"Symbiodinium10118",4,7,16,22,0,0,0,0,20,0,0,0,0,1,10
"Symbiodinium10120",257,199,758,365,507,258,433,0,454,374,552,633,262,208,479
"Symbiodinium10124",0,12,23,0,0,0,0,0,0,0,36,38,0,0,0
"Symbiodinium10127",7,16,33,0,0,0,0,0,0,0,0,28,0,0,0
"Symbiodinium10129",237,191,289,163,257,28,331,0,396,203,324,207,306,333,362
"Symbiodinium10132",12,0,0,0,0,0,0,0,17,5,0,0,0,0,0
"Symbiodinium10134",0,8,37,10,0,0,34,0,11,93,0,14,0,8,53
"Symbiodinium10135",2,0,55,36,1,0,0,0,32,77,6,68,0,8,0
"Symbiodinium10136",31,1,4,32,0,0,0,0,12,0,0,3,74,7,0
"Symbiodinium10139",120,17,160,47,146,9,67,0,159,196,75,260,94,177,315
"Symbiodinium10140",0,0,6,43,45,0,0,0,30,102,3,24,0,6,14
"Symbiodinium10141",0,0,0,0,0,0,0,0,0,0,79,0,0,0,29
"Symbiodinium10142",0,0,40,2,0,0,16,0,0,0,0,0,0,5,0
"Symbiodinium10143",10,19,77,16,0,0,0,0,11,0,9,17,23,14,54
"Symbiodinium10145",0,54,110,65,0,265,69,0,7,49,5,18,39,2,56
"Symbiodinium10153",0,0,23,11,53,0,0,0,13,0,0,0,0,0,0
"Symbiodinium10154",20,14,29,33,0,0,0,0,29,0,6,37,5,6,16
"Symbiodinium10158",10,2,31,48,115,0,3,0,1,65,0,23,31,43,0
"Symbiodinium10159",22,8,13,16,0,0,11,0,25,29,70,22,17,35,53
"Symbiodinium10160",24,49,37,38,11,0,0,0,27,75,12,85,0,34,1
"Symbiodinium10168",0,0,36,14,0,0,0,0,0,0,0,0,0,0,0
"Symbiodinium10170",0,0,0,0,0,0,0,0,0,0,14,0,0,0,51
"Symbiodinium10171",0,12,58,0,141,0,0,0,6,0,1,0,0,10,0
"Symbiodinium10179",0,0,14,0,0,0,0,0,34,0,12,0,0,0,0
"Symbiodinium10181",10,0,103,35,1,0,0,0,34,41,147,61,0,13,51
"Symbiodinium10186",68,15,84,12,0,0,0,0,9,21,56,33,0,8,66
"Symbiodinium10190",6,12,33,27,164,105,48,0,13,8,47,12,35,16,290
"Symbiodinium10192",10,0,16,0,0,0,0,0,16,0,18,0,0,6,0
"Symbiodinium10196",355,179,576,508,433,48,649,0,800,593,918,736,764,580,1525
"Symbiodinium10197",8,14,23,0,44,0,0,0,49,0,60,0,19,40,29
"Symbiodinium10199",58,16,21,68,112,0,28,0,8,81,3,23,57,20,111
"Symbiodinium10202",11,0,53,48,0,0,0,0,23,50,0,74,65,43,32
"Symbiodinium10203",162,130,390,114,156,6,52,0,153,123,334,116,84,107,107
"Symbiodinium10206",0,0,41,32,0,0,0,0,41,0,12,0,0,2,0
"Symbiodinium10208",1,16,2,0,0,0,0,0,7,0,0,0,8,4,35
"Symbiodinium10210",81,5,6,8,0,0,0,0,30,0,0,40,0,17,2
"Symbiodinium10211",23,5,163,10,0,0,9,0,0,0,2,3,43,15,10
"Symbiodinium10212",0,0,0,40,238,0,0,0,0,0,0,0,0,0,26
"Symbiodinium10222",32,5,125,55,92,0,16,0,80,215,181,47,76,44,51
"Symbiodinium10223",5,12,11,2,0,0,0,0,0,0,0,0,55,0,0
"Symbiodinium10227",728,888,3676,1963,1008,38,3620,0,797,1703,1411,1923,1308,563,3546
"Symbiodinium10230",905,615,2003,998,3415,1075,2973,0,1110,1624,1115,1904,1311,979,3418
