"","ID_1087","ID_1089","ID_1090","ID_1091","ID_1092","ID_1097","ID_1098","ID_1099","ID_2263","ID_2265","ID_2266","ID_2267","ID_2268","ID_2382","ID_2383","ID_2384"
"Acerv_evm.model.Segkk2_pilon.3",6,142,1784,2533,1426,443,564,1530,333,190,1157,353,22,36,0,522
"Acerv_evm.model.Segkk16_pilon.4",572,4408,4967,4752,3401,4456,1473,5880,4371,3708,5196,3402,4797,2090,450,4810
"Acerv_evm.model.Segkk16_pilon.1",10,13,163,202,108,103,20,71,23,21,294,90,0,6,0,92
"Acerv_evm.model.Segkk16_pilon.23",0,95,689,551,823,288,239,574,83,65,702,155,196,34,0,252
"Acerv_evm.model.Segkk16_pilon.24",6,342,3696,4586,2991,1304,517,2075,691,410,2243,664,75,109,0,1379
"Acerv_evm.model.Segkk29_pilon.13",3,225,775,993,776,437,428,1051,263,409,680,321,156,72,0,180
"Acerv_evm.model.Segkk29_pilon.7",0,10560,7109,5705,5295,250,148,1704,9961,7531,11577,14055,11999,5962,3,5794
"Acerv_evm.model.Segkk37_pilon.8",6,70,45,179,46,36,441,0,82,48,146,65,27,15,0,328
"Acerv_evm.model.Segkk38_pilon.10",2,25,335,686,374,64,206,518,47,75,380,142,20,31,0,88
"Acerv_evm.model.Segkk48_pilon.3",0,788,12606,13234,5966,2808,3458,8889,1151,1462,6228,2206,309,112,1,2935
"Acerv_evm.model.Segkk48_pilon.5",9,131,1682,2035,888,688,659,1798,233,204,893,328,21,19,0,529
"Acerv_evm.model.Segkk48_pilon.9",31,248,1474,1305,686,735,1289,1291,161,331,537,158,76,48,0,434
"Acerv_evm.model.Segkk48_pilon.11",39,5250,44880,56588,30590,9155,10681,37885,5786,6152,23686,11044,1723,540,0,8770
"Acerv_evm.model.Segkk48_pilon.10",0,350,1310,1738,645,371,566,716,385,278,627,227,121,67,0,363
"Acerv_evm.model.Segkk49_pilon.7",0,71,314,263,196,8,13,148,43,200,416,387,124,28,0,138
"Acerv_evm.model.Segkk51_pilon.18",0,58,498,698,522,63,49,328,89,213,205,63,103,36,0,204
"Acerv_evm.model.Segkk51_pilon.5",0,207,613,1057,537,38,145,525,278,619,1113,251,103,165,0,463
"Acerv_evm.model.Segkk51_pilon.4",0,963,3459,1691,2397,271,290,1556,730,1248,1712,717,395,133,0,435
"Acerv_evm.model.Segkk54_pilon.1",2,120,957,1733,532,418,214,944,154,100,259,132,13,16,0,333
"Acerv_evm.model.Segkk60_pilon.12",3,128,641,1093,640,344,240,650,70,233,725,184,83,19,0,352
"Acerv_evm.model.Segkk68_pilon.41",1,55,388,422,322,53,72,155,71,59,240,89,15,19,0,142
"Acerv_evm.model.Segkk68_pilon.59",4,192,1094,1067,828,275,765,1072,112,125,462,200,39,33,0,215
"Acerv_evm.model.Segkk72_pilon.3",0,74,420,535,485,233,32,176,112,418,368,107,56,11,0,202
"Acerv_evm.model.Segkk73_pilon.12",0,69,1201,1456,558,158,338,890,39,160,283,123,6,39,0,260
"Acerv_evm.model.Segkk74_pilon.3",0,94,758,727,623,78,320,302,118,198,571,242,197,48,0,243
"Acerv_evm.model.Segkk79_pilon.1",6,113,236,318,303,501,233,275,186,144,169,12,137,14,0,92
"Acerv_evm.model.Segkk82_pilon.1",0,60,302,171,294,22,141,83,226,20,478,100,10,29,0,101
"Acerv_evm.model.Segkk88_pilon.1",8,382,1464,465,266,134,6,105,229,193,476,165,351,89,0,83
"Acerv_evm.model.Segkk93_pilon.2",26,456,3381,6462,4304,4448,5740,5422,1082,615,3296,1171,93,151,0,3022
"Acerv_evm.model.Segkk93_pilon.18",2,148,762,691,562,472,581,590,197,120,562,105,65,61,0,250
"Acerv_evm.model.Segkk98_pilon.8",0,80,395,354,250,12,40,247,31,33,90,42,100,20,0,47
"Acerv_evm.model.Segkk119_pilon.16",5,326,574,1454,826,275,52,436,782,393,830,293,122,82,0,917
"Acerv_evm.model.Segkk123_pilon.8",13,27,207,163,118,15,454,383,48,141,362,51,36,1,0,231
"Acerv_evm.model.Segkk123_pilon.11",1,3876,2760,1346,1572,11,68,402,2267,2598,2762,3136,3854,941,1,574
"Acerv_evm.model.Segkk125_pilon.2",0,21,227,416,173,10,135,233,64,6,215,70,76,13,0,45
"Acerv_evm.model.Segkk126_pilon.4",0,14,563,199,251,25,127,185,21,63,77,31,21,18,0,21
"Acerv_evm.model.Segkk126_pilon.21",11,377,2003,2477,1557,99,404,1079,383,515,1353,623,281,142,1,739
"Acerv_evm.model.Segkk128_pilon.4",0,361,971,1248,759,258,303,522,387,176,841,222,260,90,0,338
"Acerv_evm.model.Segkk128_pilon.1",0,1114,766,1503,983,166,303,283,783,763,1530,1160,622,212,0,445
"Acerv_evm.model.Segkk150_pilon.25",0,69,530,530,309,40,66,372,54,107,232,114,52,32,0,156
"Acerv_evm.model.Segkk153_pilon.1",0,85,238,467,258,43,31,281,25,155,165,122,67,30,0,99
"Acerv_evm.model.Segkk166_pilon.2",2,516,1189,691,369,154,207,515,341,185,841,543,124,73,0,443
"Acerv_evm.model.Segkk190_pilon.8",0,186,548,332,418,121,27,266,183,150,361,186,162,50,0,208
"Acerv_evm.model.Segkk190_pilon.9",0,7360,6084,4359,3470,20,7,778,4377,5205,6169,5805,9619,2817,0,1666
"Acerv_evm.model.Segkk190_pilon.16",0,126,402,677,423,155,96,371,60,234,447,296,56,7,0,168
"Acerv_evm.model.Segkk228_pilon.5",0,120,791,1221,848,165,278,961,70,76,911,271,70,9,0,561
"Acerv_evm.model.Segkk229_pilon.1",0,9,97,315,127,19,27,335,87,62,44,69,35,14,0,67
"Acerv_evm.model.Segkk229_pilon.14",1,64,960,1250,473,246,480,931,71,155,630,139,25,26,0,223
"Acerv_evm.model.Segkk232_pilon.2",0,673,779,884,561,472,133,270,224,289,1349,681,457,79,6,213
"Acerv_evm.model.Segkk233_pilon.9",1,10746,4256,4908,4589,246,5,4484,7492,7675,8046,14731,10111,4435,7,11278
"Acerv_evm.model.Segkk235_pilon.5",0,176,983,745,282,42,812,415,147,35,1540,598,333,15,0,46
"Acerv_evm.model.Segkk236_pilon.25",0,72,348,522,423,51,66,218,128,223,569,181,22,62,0,336
"Acerv_evm.model.Segkk236_pilon.35",0,48,342,447,268,23,13,249,105,111,333,66,124,20,0,104
"Acerv_evm.model.Segkk243_pilon.11",0,109,478,513,293,6,127,265,141,13,345,175,82,30,0,160
"Acerv_evm.model.Segkk249_pilon.14",0,227,276,231,151,33,115,39,160,209,224,88,245,33,0,22
"Acerv_evm.model.Segkk249_pilon.13",0,133,1153,1237,564,194,572,587,165,321,845,308,156,9,0,280
"Acerv_evm.model.Segkk251_pilon.6",0,157,271,403,450,66,16,424,133,79,308,203,144,25,0,346
"Acerv_evm.model.Segkk251_pilon.4",25,323,897,1165,696,1577,1433,1485,308,227,1385,859,158,59,0,1048
"Acerv_evm.model.Segkk251_pilon.2",67,12706,7993,6337,6414,3411,898,6872,13311,9132,13863,18222,16449,7329,435,13234
"Acerv_evm.model.Segkk251_pilon.3",0,500,573,484,357,102,106,644,296,282,622,706,565,105,0,629
"Acerv_evm.model.Segkk253_pilon.5",0,29,113,183,147,160,54,92,81,77,239,161,18,33,1,72
"Acerv_evm.model.Segkk255_pilon.8",3,1410,1081,557,451,302,15,693,575,675,1101,1669,1411,312,0,851
"Acerv_evm.model.Segkk257_pilon.7",5,192,483,432,308,141,361,119,146,342,348,146,182,38,0,92
"Acerv_evm.model.Segkk257_pilon.3",4,417,684,926,446,230,584,426,349,233,812,560,140,150,0,378
"Acerv_evm.model.Segkk257_pilon.11",0,361,1092,747,552,334,337,362,263,352,707,410,623,66,0,261
"Acerv_evm.model.Segkk262_pilon.12",0,447,1659,1555,1155,99,49,353,551,450,997,349,333,170,0,199
"Acerv_evm.model.Segkk265_pilon.1",0,69,182,306,148,57,14,262,175,81,255,118,155,7,0,198
"Acerv_evm.model.Segkk280_pilon.10",56,51092,67285,43186,9860,8654,4544,22071,5717,6783,6161,2747,1259,1191,44,3655
"Acerv_evm.model.Segkk286_pilon.9",0,142,117,434,375,269,81,272,104,34,74,67,96,13,0,174
"Acerv_evm.model.Segkk286_pilon.6",0,163,712,778,440,546,400,751,158,201,610,202,103,15,0,107
"Acerv_evm.model.Segkk286_pilon.10",0,7576,4719,4391,3628,496,66,4139,5379,4490,8243,9498,7394,2857,5,5733
"Acerv_evm.model.Segkk295_pilon.5",0,296,927,802,460,1604,568,1065,110,207,529,227,117,34,0,277
"Acerv_evm.model.Segkk296_pilon.6",1,238,688,1099,732,87,35,587,144,157,604,278,345,47,0,162
"Acerv_evm.model.Segkk296_pilon.21",2,129,355,1139,531,236,586,776,154,116,677,475,114,38,0,678
"Acerv_evm.model.Segkk301_pilon.5",0,208,2868,4054,2546,681,1146,2270,595,860,2186,835,290,134,0,1605
"Acerv_evm.model.Segkk301_pilon.2",3,114,764,779,567,660,304,641,241,223,621,295,138,19,0,368
"Acerv_evm.model.Segkk301_pilon.6",0,533,657,954,800,233,236,882,298,205,534,97,89,32,0,120
"Acerv_evm.model.Segkk302_pilon.6",0,122,116,275,193,117,81,44,105,179,340,89,65,68,0,76
"Acerv_evm.model.Segkk302_pilon.5",0,588,636,335,401,11,69,239,429,680,622,340,708,145,0,63
"Acerv_evm.model.Segkk306_pilon.20",1,7021,5519,4375,3680,313,148,3179,5857,5057,8159,7354,6676,2521,9,5716
"Acerv_evm.model.Segkk307_pilon.10",42,961,4101,4143,2470,1917,2278,1936,1155,1019,3483,902,655,217,2,1198
"Acerv_evm.model.Segkk310_pilon.8",0,495,3129,2312,2030,643,1390,1354,429,419,1699,747,323,123,0,536
"Acerv_evm.model.Segkk311_pilon.3",1,72,169,279,275,49,474,338,138,75,191,22,49,18,0,107
"Acerv_evm.model.Segkk311_pilon.1",0,79,246,137,84,99,459,142,77,115,182,29,71,10,0,62
"Acerv_evm.model.Segkk321_pilon.2",4,380,1509,1928,1318,619,769,1239,350,521,1566,627,128,101,0,748
"Acerv_evm.model.Segkk327_pilon.19",51,1704,5642,4199,2961,4019,3446,3669,1771,1097,3109,887,1146,482,46,1084
"Acerv_evm.model.Segkk333_pilon.13",0,27,309,281,398,81,115,319,106,216,251,97,75,6,0,194
"Acerv_evm.model.Segkk335_pilon.1",0,820,1042,732,670,69,10,175,604,309,915,575,896,372,0,348
"Acerv_evm.model.Segkk338_pilon.9",0,838,504,365,272,19,402,85,196,617,367,71,498,213,0,56
"Acerv_evm.model.Segkk342_pilon.7",15,214,916,1010,614,233,318,531,155,166,502,272,172,32,0,264
"Acerv_evm.model.Segkk343_pilon.2",6,102,214,367,163,54,30,103,8,133,479,147,106,16,0,231
"Acerv_evm.model.Segkk347_pilon.3",1,655,2536,2355,1134,1063,1608,1232,187,338,562,168,322,68,0,600
"Acerv_evm.model.Segkk348_pilon.4",1,711,419,441,503,119,6,465,460,337,1370,1152,798,329,1,700
"Acerv_evm.model.Segkk354_pilon.4",2,752,547,433,373,185,77,459,345,300,350,584,434,170,10,170
"Acerv_evm.model.Segkk355_pilon.7",0,91,1030,1150,766,261,1340,1003,165,362,431,220,69,9,0,301
"Acerv_evm.model.Segkk361_pilon.1",0,307,310,295,248,247,477,164,133,225,307,281,371,88,0,48
"Acerv_evm.model.Segkk368_pilon.2",39,4953,3870,2689,2279,285,124,1404,5146,5077,5499,5208,7498,3443,28,2984
"Acerv_evm.model.Segkk375_pilon.9",10,90,894,1218,829,305,94,896,65,363,713,378,77,42,0,548
"Acerv_evm.model.Segkk383_pilon.5",27,113,181,162,200,66,58,113,102,151,271,14,26,91,0,114
"Acerv_evm.model.Segkk386_pilon.2",2,132,1839,2924,2165,831,268,1910,601,319,1252,220,98,123,0,840
"Acerv_evm.model.Segkk389_pilon.67",12,365,882,1022,745,742,581,603,457,382,1256,447,532,129,0,509
"Acerv_evm.model.Segkk389_pilon.69",0,353,690,1093,662,79,39,270,227,484,701,443,245,139,0,193
"Acerv_evm.model.Segkk389_pilon.1",0,56,653,328,437,101,6,142,119,223,267,62,49,6,0,184
"Acerv_evm.model.Segkk390_pilon.3",134,1002,1658,2103,1643,5614,4024,3037,853,1168,1740,873,672,185,63,931
