Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
1087_trimmed	4.52	306434.0
1089_trimmed	72.83	13411119.0
1090_trimmed	66.5	12978046.0
1091_trimmed	43.82	10581195.0
1092_trimmed	47.87	8774448.0
1096_trimmed	51.62	8414645.0
1097_trimmed	17.97	2312080.0
1098_trimmed	25.75	2059354.0
1099_trimmed	36.19	5983582.0
2263_trimmed	57.93	9797605.0
2265_trimmed	55.52	9776876.0
2266_trimmed	55.31	12197846.0
2267_trimmed	58.6	13258362.0
2268_trimmed	66.39	11981142.0
2382_trimmed	58.14	5585120.0
2383_trimmed	9.37	302611.0
2384_trimmed	29.75	5641007.0
