"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Location_Compare","ID_1087","ID_1089","ID_1090","ID_1091","ID_1092","ID_1097","ID_1098","ID_1099","ID_2263","ID_2265","ID_2266","ID_2267","ID_2268","ID_2382","ID_2383","ID_2384"
"Acerv_evm.model.Segkk2_pilon.3",359.354773696463,-1.89868295764156,0.622566936813101,-3.04976516639456,0.00229020362331441,0.0119631733572289,"NurseryvsCCC",6,142,1784,2533,1426,443,564,1530,333,190,1157,353,22,36,0,522
"Acerv_evm.model.Segkk16_pilon.23",148.59132968178,-1.54426457281272,0.541091983433956,-2.85397791889704,0.00431755321545866,0.0175826673708481,"NurseryvsCCC",0,95,689,551,823,288,239,574,83,65,702,155,196,34,0,252
"Acerv_evm.model.Segkk16_pilon.24",639.553265696887,-1.5258430951487,0.630142836909294,-2.42142416889576,0.0154598261850023,0.0447753330332575,"NurseryvsCCC",6,342,3696,4586,2991,1304,517,2075,691,410,2243,664,75,109,0,1379
"Acerv_evm.model.Segkk29_pilon.13",240.51465637444,-1.50253506425014,0.459712460396011,-3.2684236206167,0.00108148362939211,0.00727650398471431,"NurseryvsCCC",3,225,775,993,776,437,428,1051,263,409,680,321,156,72,0,180
"Acerv_evm.model.Segkk38_pilon.10",102.624218039095,-1.67893863575338,0.579851681413658,-2.89546221830414,0.00378600602012156,0.0163293444412809,"NurseryvsCCC",2,25,335,686,374,64,206,518,47,75,380,142,20,31,0,88
"Acerv_evm.model.Segkk48_pilon.3",1874.54472949464,-1.75559273629085,0.726285141553276,-2.41722243213765,0.0156394568413693,0.044922616170801,"NurseryvsCCC",0,788,12606,13234,5966,2808,3458,8889,1151,1462,6228,2206,309,112,1,2935
"Acerv_evm.model.Segkk48_pilon.5",373.076232603154,-2.29204919362401,0.646684961143333,-3.54430569959704,0.000393648531556355,0.00359710664114868,"NurseryvsCCC",9,131,1682,2035,888,688,659,1798,233,204,893,328,21,19,0,529
"Acerv_evm.model.Segkk48_pilon.9",511.462829480003,-2.92903733657535,0.62678471694507,-4.67311543722922,2.96664911492987e-06,0.000104934617265234,"NurseryvsCCC",31,248,1474,1305,686,735,1289,1291,161,331,537,158,76,48,0,434
"Acerv_evm.model.Segkk48_pilon.11",7461.2995395877,-1.82687352459037,0.625323712699559,-2.92148448473774,0.00348367626509688,0.0155696433797471,"NurseryvsCCC",39,5250,44880,56588,30590,9155,10681,37885,5786,6152,23686,11044,1723,540,0,8770
"Acerv_evm.model.Segkk48_pilon.10",252.697632042621,-1.48847420987133,0.517168452825082,-2.87812259572369,0.0040004963810432,0.0167577984749547,"NurseryvsCCC",0,350,1310,1738,645,371,566,716,385,278,627,227,121,67,0,363
"Acerv_evm.model.Segkk54_pilon.1",188.805241942606,-2.24404129723136,0.599274045897203,-3.74459950767882,0.000180681757174775,0.00211022656021105,"NurseryvsCCC",2,120,957,1733,532,418,214,944,154,100,259,132,13,16,0,333
"Acerv_evm.model.Segkk60_pilon.12",182.264735889029,-1.50175953247683,0.559408815925188,-2.68454748964426,0.00726280644732528,0.026759983279133,"NurseryvsCCC",3,128,641,1093,640,344,240,650,70,233,725,184,83,19,0,352
"Acerv_evm.model.Segkk68_pilon.59",251.02665585029,-2.52097117865106,0.534871143379491,-4.71323085916122,2.43819696288218e-06,9.73705754854238e-05,"NurseryvsCCC",4,192,1094,1067,828,275,765,1072,112,125,462,200,39,33,0,215
"Acerv_evm.model.Segkk73_pilon.12",167.939764762339,-2.02415347250691,0.671786037232083,-3.01309250315309,0.00258600079397049,0.0129766067211874,"NurseryvsCCC",0,69,1201,1456,558,158,338,890,39,160,283,123,6,39,0,260
"Acerv_evm.model.Segkk79_pilon.1",141.89379300041,-2.12373983882686,0.617581704602347,-3.43879979442446,0.000584299176492162,0.00485478107716306,"NurseryvsCCC",6,113,236,318,303,501,233,275,186,144,169,12,137,14,0,92
"Acerv_evm.model.Segkk93_pilon.2",1786.22975825861,-2.4531647557953,0.74221779080924,-3.30518182960908,0.000949148015798535,0.00671454424890621,"NurseryvsCCC",26,456,3381,6462,4304,4448,5740,5422,1082,615,3296,1171,93,151,0,3022
"Acerv_evm.model.Segkk93_pilon.18",206.726853345817,-1.95220537442445,0.551258069559817,-3.54136380440344,0.000398064305199813,0.00359710664114868,"NurseryvsCCC",2,148,762,691,562,472,581,590,197,120,562,105,65,61,0,250
"Acerv_evm.model.Segkk98_pilon.8",46.2337317717105,-1.37625792596624,0.477603328329022,-2.8815919913735,0.00395671717384592,0.0167181428710623,"NurseryvsCCC",0,80,395,354,250,12,40,247,31,33,90,42,100,20,0,47
"Acerv_evm.model.Segkk126_pilon.4",49.4594183073949,-1.94366826264384,0.560996901475419,-3.46466844564025,0.000530885551493317,0.00450161858047073,"NurseryvsCCC",0,14,563,199,251,25,127,185,21,63,77,31,21,18,0,21
"Acerv_evm.model.Segkk229_pilon.14",189.919496520415,-2.01701963264984,0.614779434832332,-3.28088338413588,0.00103482520141925,0.007071572152773,"NurseryvsCCC",1,64,960,1250,473,246,480,931,71,155,630,139,25,26,0,223
"Acerv_evm.model.Segkk233_pilon.9",2873.28463116659,1.78323963031775,0.744824259390712,2.39417501220556,0.0166577982748669,0.0464467438384803,"NurseryvsCCC",1,10746,4256,4908,4589,246,5,4484,7492,7675,8046,14731,10111,4435,7,11278
"Acerv_evm.model.Segkk235_pilon.5",208.393326152007,-1.57073532371609,0.48968730346814,-3.20762926175865,0.00133833902029209,0.00840919781062817,"NurseryvsCCC",0,176,983,745,282,42,812,415,147,35,1540,598,333,15,0,46
"Acerv_evm.model.Segkk251_pilon.4",609.580924432421,-2.09928428566932,0.640172156718818,-3.27924959502946,0.00104083534624629,0.007071572152773,"NurseryvsCCC",25,323,897,1165,696,1577,1433,1485,308,227,1385,859,158,59,0,1048
"Acerv_evm.model.Segkk251_pilon.2",6119.96536909334,1.48607104684385,0.35653399793028,4.16810474027908,3.07142801811222e-05,0.000644479302783547,"NurseryvsCCC",67,12706,7993,6337,6414,3411,898,6872,13311,9132,13863,18222,16449,7329,435,13234
"Acerv_evm.model.Segkk257_pilon.7",145.897101381606,-1.24106469737544,0.515093070152354,-2.40939894028928,0.0159788207396056,0.0454423405625937,"NurseryvsCCC",5,192,483,432,308,141,361,119,146,342,348,146,182,38,0,92
"Acerv_evm.model.Segkk280_pilon.10",6632.49664182725,-2.50689145056774,0.467646185463171,-5.36065839622928,8.2919185341799e-08,7.89645780408824e-06,"NurseryvsCCC",56,51092,67285,43186,9860,8654,4544,22071,5717,6783,6161,2747,1259,1191,44,3655
"Acerv_evm.model.Segkk286_pilon.9",76.8828739584092,-1.6027315160283,0.520037447016069,-3.08195405008743,0.00205646579413696,0.0113151317917402,"NurseryvsCCC",0,142,117,434,375,269,81,272,104,34,74,67,96,13,0,174
"Acerv_evm.model.Segkk286_pilon.6",181.909728611768,-2.09738034960713,0.553145728700058,-3.79173198089437,0.000149600316202493,0.00189493889256768,"NurseryvsCCC",0,163,712,778,440,546,400,751,158,201,610,202,103,15,0,107
"Acerv_evm.model.Segkk295_pilon.5",296.093133931348,-2.49730403849223,0.6153079710652,-4.0586245521393,4.93626030925975e-05,0.00083534757781334,"NurseryvsCCC",0,296,927,802,460,1604,568,1065,110,207,529,227,117,34,0,277
"Acerv_evm.model.Segkk301_pilon.2",212.199216758303,-1.50706683136273,0.549656504317606,-2.74183388993775,0.00610972302987532,0.0232019543281768,"NurseryvsCCC",3,114,764,779,567,660,304,641,241,223,621,295,138,19,0,368
"Acerv_evm.model.Segkk301_pilon.6",169.077173074179,-1.71262835201666,0.439851772280282,-3.89364886070151,9.87475588504148e-05,0.00138586893808933,"NurseryvsCCC",0,533,657,954,800,233,236,882,298,205,534,97,89,32,0,120
"Acerv_evm.model.Segkk307_pilon.10",1139.14816366679,-1.81219169003388,0.535810353675892,-3.38215131081633,0.000719205181585658,0.00570753855642977,"NurseryvsCCC",42,961,4101,4143,2470,1917,2278,1936,1155,1019,3483,902,655,217,2,1198
"Acerv_evm.model.Segkk310_pilon.8",517.181461338051,-1.60100254322107,0.532779861531368,-3.00499823439143,0.00265582391130863,0.0132017161140596,"NurseryvsCCC",0,495,3129,2312,2030,643,1390,1354,429,419,1699,747,323,123,0,536
"Acerv_evm.model.Segkk311_pilon.3",103.165558591344,-1.76116139674599,0.6292495491777,-2.79882822172454,0.0051288414299079,0.0201387264034801,"NurseryvsCCC",1,72,169,279,275,49,474,338,138,75,191,22,49,18,0,107
"Acerv_evm.model.Segkk311_pilon.1",86.2185635792813,-1.62865183948496,0.62991990334115,-2.58549036289606,0.00972405911577023,0.0328917628014304,"NurseryvsCCC",0,79,246,137,84,99,459,142,77,115,182,29,71,10,0,62
"Acerv_evm.model.Segkk321_pilon.2",404.154754153371,-1.27620536449737,0.534368201810864,-2.38825094789057,0.0169287779504511,0.0470962406801313,"NurseryvsCCC",4,380,1509,1928,1318,619,769,1239,350,521,1566,627,128,101,0,748
"Acerv_evm.model.Segkk327_pilon.19",1751.56194910846,-1.61005179441086,0.515069541378071,-3.12589206906539,0.00177266598200693,0.0101131819618644,"NurseryvsCCC",51,1704,5642,4199,2961,4019,3446,3669,1771,1097,3109,887,1146,482,46,1084
"Acerv_evm.model.Segkk342_pilon.7",244.703570246454,-1.97651743292236,0.498103323127856,-3.96808722437497,7.2451817563127e-05,0.0011073500017673,"NurseryvsCCC",15,214,916,1010,614,233,318,531,155,166,502,272,172,32,0,264
"Acerv_evm.model.Segkk347_pilon.3",493.042656229833,-2.45158005955792,0.579404986766417,-4.23120289875286,2.32444873751874e-05,0.0005533976032785,"NurseryvsCCC",1,655,2536,2355,1134,1063,1608,1232,187,338,562,168,322,68,0,600
"Acerv_evm.model.Segkk368_pilon.2",1883.09642737637,1.34589165383744,0.5239275454223,2.56885072296135,0.0102036401150684,0.0337756857284884,"NurseryvsCCC",39,4953,3870,2689,2279,285,124,1404,5146,5077,5499,5208,7498,3443,28,2984
"Acerv_evm.model.Segkk389_pilon.67",365.029971507008,-1.14952138127856,0.486815058410188,-2.36131023767546,0.0182104891354554,0.0497517567001774,"NurseryvsCCC",12,365,882,1022,745,742,581,603,457,382,1256,447,532,129,0,509
"Acerv_evm.model.Segkk390_pilon.3",2118.66751764139,-2.02750501049097,0.659600767309464,-3.07383664631143,0.00211325110461059,0.011520040419351,"NurseryvsCCC",134,1002,1658,2103,1643,5614,4024,3037,853,1168,1740,873,672,185,63,931
"Acerv_evm.model.Segkk404_pilon.10",265.6511231129,-1.67248853112295,0.529194797884218,-3.16044023450296,0.00157530919770597,0.00928705679085379,"NurseryvsCCC",11,275,772,753,533,624,387,534,219,144,902,146,66,62,1,463
"Acerv_evm.model.Segkk407_pilon.8",157.324877243069,-1.88353385598346,0.459425969384895,-4.09975487129132,4.13587970121453e-05,0.000752973392662293,"NurseryvsCCC",5,218,849,844,576,262,75,672,80,48,540,192,174,48,0,138
"Acerv_evm.model.Segkk416_pilon.2",47.6926457625941,-2.44651910280511,0.562400484650378,-4.35013690346659,1.36052563765342e-05,0.000362957834592711,"NurseryvsCCC",0,39,175,195,171,75,119,390,37,21,80,9,19,9,0,50
"Acerv_evm.model.Segkk423_pilon.2",678.614526225091,-1.9432259798185,0.559845155068925,-3.47100615629918,0.000518512111805356,0.00442702065113814,"NurseryvsCCC",7,760,2279,2816,1919,1590,1542,2372,847,481,1972,485,150,208,0,595
"Acerv_evm.model.Segkk426_pilon.1",224.571514184896,-1.91558863831116,0.642616252465233,-2.98092155460198,0.00287382398181271,0.0137366567161549,"NurseryvsCCC",19,79,466,461,377,625,26,543,128,13,383,163,93,45,0,374
"Acerv_evm.model.Segkk434_pilon.7",2519.37398598122,1.66899193872215,0.659569098768277,2.53042773204344,0.0113923550887759,0.03616342461514,"NurseryvsCCC",2,6479,6407,4897,5040,443,123,2390,9560,6822,9369,7549,8352,6365,1,4605
"Acerv_evm.model.Segkk435_pilon.39",611.762701023561,-1.45492115539989,0.587439583954422,-2.47671623625686,0.0132597276695039,0.0401182345472532,"NurseryvsCCC",0,548,3453,4271,2806,784,1094,1996,461,881,1823,854,299,72,0,898
"Acerv_evm.model.Segkk442_pilon.9",226.726776217078,-1.46322251088184,0.48234532498013,-3.03355798243118,0.00241688261571332,0.012460814921999,"NurseryvsCCC",2,292,1004,1037,652,616,350,362,338,321,888,337,217,49,0,138
"Acerv_evm.model.Segkk464_pilon.29",230.006726613435,-1.55026963517876,0.58550769374743,-2.64773572018594,0.00810328451401705,0.0287446023735046,"NurseryvsCCC",10,114,1140,1188,679,234,177,758,94,176,632,283,45,49,0,627
