	1087_trimmed	1088_trimmed	1089_trimmed	1090_trimmed	1091_trimmed	1092_trimmed	1096_trimmed	1097_trimmed	1098_trimmed	1099_trimmed	1100_trimmed	2263_trimmed	2264_trimmed	2265_trimmed	2266_trimmed	2267_trimmed	2268_trimmed	2382_trimmed	2383_trimmed	2384_trimmed	
Acropora_000001	0	0	83	64	26	20	21	0	0	5	0	57	0	56	100	71	5	32	0	69	
Acropora_000002	8	4	58	190	229	254	96	62	133	219	0	63	0	84	207	105	27	12	0	151	
Acropora_000003	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	
Acropora_000006	0	0	200	200	0	0	123	216	0	0	0	0	0	0	171	253	337	54	0	33	
Acropora_000007	2	0	275	1314	58	1	396	53	38	37	0	0	0	45	935	496	610	147	0	193	
Acropora_000008	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	
Acropora_000009	0	0	14	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_000011	0	1	0	0	1	0	1	0	0	0	0	1	0	0	8	0	0	0	0	0	
Acropora_000012	0	0	46	162	111	116	35	52	0	106	0	23	0	0	157	79	100	44	0	37	
Acropora_000013	0	0	300	381	767	184	212	135	47	399	0	264	0	252	556	682	508	95	0	564	
Acropora_000014	0	0	0	6	0	0	5	0	0	0	0	19	0	0	0	12	47	0	0	0	
Acropora_000015	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	
Acropora_000016	0	0	3	33	0	0	4	0	0	0	0	0	0	3	2	9	31	0	0	0	
Acropora_000017	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_000018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	3	0	0	0	0	
Acropora_000019	0	0	161	73	89	71	70	1	0	44	0	98	0	28	153	128	49	33	0	53	
Acropora_000020	0	0	3	1	68	35	3	0	0	0	0	18	0	46	73	15	29	4	0	0	
Acropora_000021	78	5	1511	1425	1195	1079	1073	459	181	1250	0	1461	0	1334	2495	2235	1950	804	159	1296	
Acropora_000023	0	0	163	323	340	239	131	41	0	226	0	132	0	247	268	59	153	50	0	54	
Acropora_000024	0	0	15	44	34	42	4	0	5	0	0	24	0	31	15	15	5	11	0	27	
Acropora_000025	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	8	0	0	0	
Acropora_000026	0	0	113	11	105	14	122	0	0	15	0	97	0	93	189	65	124	58	50	0	
Acropora_000027	0	0	52	35	0	52	25	0	0	23	0	0	0	0	0	17	30	3	0	0	
Acropora_000028	0	0	91	383	468	265	181	60	245	286	0	146	0	88	264	150	68	17	0	176	
Acropora_000029	0	0	85	513	515	390	180	104	5	449	0	19	0	142	235	94	186	16	0	266	
