"","ID_1087","ID_1089","ID_1090","ID_1091","ID_1092","ID_1097","ID_1098","ID_1099","ID_2263","ID_2265","ID_2266","ID_2267","ID_2268","ID_2382","ID_2383","ID_2384"
"MSTRG.37303",12,448,310,122,221,14,1,116,449,234,583,676,890,359,9,87
"MSTRG.38305",57,504,461,399,249,744,35,203,692,637,589,705,526,371,71,333
"MSTRG.28937",22,2048,719,733,566,222,48,348,1760,832,1612,2125,1478,855,12,937
"MSTRG.44252",1,373,321,612,347,18,24,253,373,117,521,612,450,179,0,60
"MSTRG.36063",8,2935,1139,624,1207,184,80,611,549,2090,1169,1741,1598,352,90,462
"MSTRG.32429",1,61,283,340,216,167,199,392,39,45,517,155,113,11,0,51
"MSTRG.32422",12,398,330,117,271,57,0,212,482,588,1576,1667,1048,150,0,267
"MSTRG.202",13,162,567,407,80,145,211,113,12,85,35,40,0,7,0,86
"MSTRG.203",4,1504,646,738,319,202,51,721,233,368,549,545,656,235,0,70
"MSTRG.34747",1,448,421,108,103,36,7,162,257,181,610,454,749,197,0,134
"MSTRG.23421",3,1382,1672,2225,1423,331,66,2008,930,1249,837,978,484,215,3,645
"MSTRG.26931",0,435,3557,3693,2820,422,171,1262,859,610,2308,460,426,105,0,584
"MSTRG.8739",12,987,1197,1017,643,37,25,238,1009,484,1516,1852,1546,189,0,121
"MSTRG.36422",6,167,295,241,61,20,7,54,107,189,251,205,175,44,12,0
"MSTRG.30118",13,1020,411,672,392,150,4,415,554,693,575,647,1176,297,35,259
"MSTRG.30112",18,939,692,343,442,97,65,319,626,425,776,839,689,364,3,332
"MSTRG.37902",3,1885,1161,1021,757,23,35,180,1351,1296,1894,2058,1550,858,79,444
"MSTRG.20691",25,835,789,351,484,0,25,111,947,975,1190,1249,1125,407,2,237
"MSTRG.22588",13,1607,2871,1659,1185,826,185,1493,1923,1644,3711,3602,2618,793,158,2176
"MSTRG.11582",9,8911,4127,2191,1322,63,39,655,531,922,786,951,723,373,0,122
"MSTRG.22584",6,1307,473,349,483,2,7,168,589,840,1170,1771,1182,281,0,276
"MSTRG.16583",1,924,990,1412,773,24,17,304,788,755,826,570,565,202,27,526
"MSTRG.11058",9,2483,1572,1200,795,0,69,297,925,1289,1457,1547,1853,570,0,436
"MSTRG.11051",15,370,860,559,625,0,206,333,408,428,1001,828,256,172,0,435
"MSTRG.11053",1,258,217,93,109,32,8,75,129,22,141,296,89,98,0,96
"MSTRG.23188",19,4963,5579,5434,2300,89,29,792,4978,8800,6053,8666,6063,2782,93,2076
"MSTRG.18550",10,552,116,169,181,105,5,33,394,158,898,689,337,277,6,359
"MSTRG.15774",149,11441,6195,3702,3816,1372,315,5379,12548,7238,12766,20782,18026,6136,483,8619
"MSTRG.10724",5,619,612,468,354,89,24,320,409,465,1067,346,373,214,0,251
"MSTRG.10726",2,2362,1414,1336,570,2,14,54,1286,1236,1493,1467,966,608,15,127
"MSTRG.36202",1,274,158,21,219,33,0,69,101,111,381,106,162,46,15,152
"MSTRG.41841",1,235,180,126,213,40,11,27,167,36,197,151,344,119,0,139
"MSTRG.12763",9,9516,3039,3482,2429,44,45,662,4242,3779,3600,4620,3338,1560,0,858
"MSTRG.40031",17,172,366,373,357,830,727,599,110,129,886,246,60,27,0,103
"MSTRG.2502",0,1220,691,638,870,17,0,111,1036,1272,852,1307,1901,526,37,122
"MSTRG.3678",1,614,378,443,370,166,2,156,304,238,370,619,584,145,29,177
"MSTRG.3675",20,194,259,233,78,76,0,185,284,576,545,670,688,74,0,164
"MSTRG.20813",8,1700,1376,669,905,148,7,889,1743,847,1142,1959,1796,825,1,818
"MSTRG.42764",19,429,369,155,315,42,4,253,414,80,471,361,132,80,0,184
"MSTRG.1742",30,4160,1886,1519,1114,21,0,270,1826,1987,3501,4810,3779,1114,17,623
"MSTRG.42183",0,675,631,233,464,225,6,57,493,677,600,691,963,424,3,117
"MSTRG.44255",0,294,318,403,297,10,0,206,502,815,354,639,242,140,21,25
"MSTRG.30934",9,3504,1449,1683,773,94,32,628,1609,1475,1830,2822,2248,769,22,602
"MSTRG.8925",75,1153,840,573,687,94,135,299,925,1179,852,875,607,444,125,460
"MSTRG.432",14,317,111,77,88,190,68,286,156,0,54,98,45,19,0,88
"MSTRG.37947",9,2327,963,1093,1082,29,22,229,1312,1986,1083,2086,1488,722,0,511
"MSTRG.14881",4,831,631,408,511,295,240,155,388,168,474,672,471,317,5,106
"MSTRG.31583",41,152,993,467,171,1819,4850,369,86,13,75,6,0,23,0,68
"MSTRG.25682",6,2387,989,1426,918,39,0,222,1342,1020,1985,2808,1998,710,0,208
"MSTRG.35695",9,5423,3197,2246,1622,140,13,552,1712,1963,1974,3987,4694,1361,1,510
"MSTRG.818",9,171,291,282,197,27,5,64,129,55,82,97,172,142,1,50
"MSTRG.24793",1,1663,2201,2144,2062,160,32,1372,1543,2445,2026,1357,1716,763,19,819
"MSTRG.26330",15,1480,1182,501,574,83,35,846,813,687,1203,2612,1693,492,19,620
"MSTRG.10913",2,1994,2642,1205,1296,67,11,290,1551,1328,2491,2824,1756,783,4,341
"MSTRG.10911",7,562,1438,1063,1674,176,277,749,573,486,846,708,296,170,24,318
"MSTRG.39420",13,2228,942,822,904,20,12,408,1351,1096,521,1882,1969,630,9,421
"MSTRG.41654",88,1667,1820,1399,779,32,7,149,1429,1293,1619,1567,1699,483,0,377
"MSTRG.41655",73,2711,1048,456,1130,400,422,765,2775,2402,1062,997,965,1356,105,855
"MSTRG.41652",16,1465,936,226,480,313,67,490,1038,1601,459,735,782,539,54,578
"MSTRG.41653",16,412,119,218,117,0,111,189,178,388,461,270,623,40,0,36
"MSTRG.43245",1,92,593,703,577,35,70,143,126,110,519,112,37,21,1,142
"MSTRG.45372",0,117,942,1575,1212,593,404,898,245,355,465,296,141,67,0,1016
"MSTRG.38489",0,257,890,677,342,8,10,171,261,269,463,198,109,46,0,171
"MSTRG.45379",8,1233,1142,749,742,61,40,223,811,1000,483,1280,1002,561,7,219
"MSTRG.43796",1,2025,2784,1039,727,72,2,428,2478,2131,3856,4294,3811,1407,10,1189
"MSTRG.19765",39,3997,1848,2721,1113,56,38,756,2105,2468,3363,4529,3479,1328,0,1294
"MSTRG.12517",88,5537,3064,3038,3159,885,368,1738,4881,3621,3713,4069,4046,1381,76,970
"MSTRG.34951",6,303,268,112,278,53,2,201,185,46,472,850,437,100,17,337
"MSTRG.42682",0,318,1847,2428,1558,361,2685,1742,548,396,2605,1123,196,121,0,872
"MSTRG.44972",37,2202,1596,707,561,107,232,85,354,543,2710,2032,1703,512,64,549
"MSTRG.45081",2,435,738,800,473,343,28,697,756,865,1163,1319,568,299,0,1238
"MSTRG.45080",2,2134,823,706,689,32,11,230,777,950,671,1388,1995,726,16,389
"MSTRG.42532",8,2064,532,352,1111,50,0,803,4787,6360,865,1456,2886,1582,16,393
"MSTRG.32075",0,2559,1732,1913,1456,17,15,213,1574,1389,2117,1424,2036,870,1,97
"MSTRG.8412",18,963,1839,1469,393,85,137,412,241,207,115,259,0,18,0,107
"MSTRG.4715",1,27,36,282,162,83,27,99,191,200,27,12,6,20,0,12
"MSTRG.41132",23,917,1135,1061,724,67,86,1506,1255,1329,2448,2011,1620,454,0,2185
"MSTRG.20796",0,82,1296,792,436,13,106,397,109,68,252,150,80,13,0,21
"MSTRG.983",20,7372,8390,3043,2690,66,147,484,4527,4261,11583,14414,11523,2417,6,487
"MSTRG.35700",0,3425,4580,4142,3217,1267,976,3524,1772,1775,3122,2380,1294,749,0,1831
"MSTRG.21776",4,1689,769,586,447,11,8,26,931,1129,974,1198,1627,470,0,370
"MSTRG.21779",2,539,553,324,219,82,4,136,332,589,325,307,746,117,11,65
"MSTRG.19764",3,8117,10093,5009,3421,27,124,468,10198,10230,13385,12870,10724,5155,0,544
"MSTRG.37636",15,3035,1731,1597,1202,224,267,593,1550,1803,2160,2406,2665,951,2,452
"MSTRG.36946",8,1030,607,340,466,30,1,99,790,1253,577,1018,991,354,1,59
"MSTRG.36947",50,2350,2666,2451,1200,150,12,557,2205,1473,2597,2697,2506,965,34,346
"MSTRG.36948",7,265,94,145,63,9,79,52,107,426,18,240,217,105,0,71
"MSTRG.28441",6,1260,507,653,492,15,5,150,978,312,1081,1097,1235,411,5,136
"MSTRG.38810",19,1299,797,960,338,91,1,146,892,619,667,939,590,402,1,257
"MSTRG.38812",5,568,466,300,227,426,15,278,423,151,364,292,315,140,2,161
"MSTRG.37098",13,1049,1639,1178,637,188,2,299,1894,2007,1818,2954,2781,691,0,1166
"MSTRG.3713",9,203,1641,1586,736,773,184,508,243,423,794,372,142,12,0,488
"MSTRG.7538",4,272,1003,2408,1727,1101,645,1706,453,360,1058,440,69,161,4,1576
"MSTRG.32919",0,1223,805,440,915,29,108,220,695,721,730,1586,1388,378,0,150
"MSTRG.6592",1,826,578,355,296,27,0,28,526,536,390,755,1005,196,14,121
"MSTRG.24003",10,1382,2123,699,412,97,130,368,667,1892,957,1022,1953,457,11,466
"MSTRG.13620",1,936,922,766,433,86,36,347,914,726,2472,1645,915,427,1,834
"MSTRG.21984",0,6135,4532,4093,3014,220,279,881,2688,3566,5435,6069,4530,1664,0,815
"MSTRG.43939",1,995,544,401,435,79,8,118,402,382,957,767,423,555,0,172
"MSTRG.12063",4,3383,2682,2171,1332,5,7,131,1390,3826,2686,3928,3341,1578,27,350
"MSTRG.11743",0,1617,795,978,452,72,244,113,1008,1274,1430,1190,1572,535,2,499
