gene,lfc
Acropora_000001,0.840776687950251
Acropora_000002,-0.820966049739689
Acropora_000006,-0.278747144208833
Acropora_000007,-0.494655480043084
Acropora_000009,-3.54328215724745
Acropora_000011,1.52236546266749
Acropora_000012,-1.55630204086953
Acropora_000013,0.060582666377653
Acropora_000014,3.47726611644967
Acropora_000015,-1.19833815331817
Acropora_000016,0.125866566859751
Acropora_000018,1.1981124542176
Acropora_000019,-0.140154347791415
Acropora_000020,1.08187351462219
Acropora_000021,0.365054847957994
Acropora_000023,-0.699487711413816
Acropora_000024,-0.237255766769105
Acropora_000025,-6.95131356321598
Acropora_000026,1.05959253596182
Acropora_000027,-5.10988721361647
Acropora_000028,-0.967967910159882
Acropora_000029,-1.50790220272246
Acropora_000030,0.228140376180256
Acropora_000031,0.337927196198262
Acropora_000032,-0.437697117208071
Acropora_000033,-0.476395498881264
Acropora_000034,-2.18565643248305
Acropora_000036,0.221778991947404
Acropora_000037,-4.8405943421613
Acropora_000039,0.026315358672636
Acropora_000040,-4.00588222865502
Acropora_000041,-0.407299372488342
Acropora_000047,0.514514717560042
Acropora_000048,0.0825205718704355
Acropora_000049,-0.62608900090106
Acropora_000050,-2.1025716302591
Acropora_000051,-4.33081558045355
Acropora_000052,-9.3447941036099
Acropora_000053,-2.85453290832387
Acropora_000054,0.312363327043061
Acropora_000055,0.793879908918265
Acropora_000056,-3.62162580218478
Acropora_000057,-1.801511949733
Acropora_000059,-3.18823534398038
Acropora_000060,-1.59884570489654
Acropora_000062,-2.57525182601078
Acropora_000065,-3.19229805655554
Acropora_000067,-0.00817019787561791
Acropora_000068,-3.87399242942003
Acropora_000069,1.15480497161874
Acropora_000070,-0.0483382907635363
Acropora_000072,-0.401371709997006
Acropora_000073,-0.570484268596118
Acropora_000074,-0.216910573640311
Acropora_000076,-1.62401123731402
Acropora_000077,0.903487044708213
Acropora_000079,0.804718640878334
Acropora_000081,0.626389828861716
Acropora_000082,1.46406398543011
Acropora_000083,-0.501344482215426
Acropora_000084,-2.52777203677765
Acropora_000085,-1.04848351238107
Acropora_000086,0.0233298316210982
Acropora_000087,-0.349308681840802
