gene,annot,lfc,KOG,nseqs,delta.rank,pval,padj
Acropora_000001,"ATP-dependent microtubule motor activity, minus-end-directed",0.8407766879502505,Cytoskeleton,274,-294,0.129849829837484,0.27052047882809166
Acropora_000012,Snurportin1,-1.5563020408695294,RNA processing and modification,369,-417,0.0131074721276485,0.121370494694645
Acropora_000016,G-protein coupled receptor activity,0.12586656685975064,"Posttranslational modification, protein turnover, chaperones",1186,108,0.270145574558563,0.42210246024775466
Acropora_000018,G-protein coupled receptor activity,1.1981124542176018,"Posttranslational modification, protein turnover, chaperones",1186,108,0.270145574558563,0.42210246024775466
Acropora_000019,G-protein coupled receptor activity,-0.14015434779141514,"Posttranslational modification, protein turnover, chaperones",1186,108,0.270145574558563,0.42210246024775466
Acropora_000020,protein targeting to mitochondrion,1.0818735146221916,"Intracellular trafficking, secretion, and vesicular transport",483,-143,0.332457540800569,0.48890814823613093
Acropora_000023,RNA polymerase II CTD heptapeptide repeat kinase activity,-0.6994877114138162,Signal transduction mechanisms,1449,-166,0.0635980345966416,0.19874385811450498
Acropora_000024,NUDIX domain,-0.23725576676910454,"Replication, recombination and repair",376,-278,0.0952015192192061,0.23800379804801525
Acropora_000026,Frataxin,1.0595925359618208,Inorganic ion transport and metabolism,275,-13,0.946385911155206,0.946385911155206
Acropora_000027,positive regulation of mitotic metaphase/anaphase transition,-5.1098872136164735,"Posttranslational modification, protein turnover, chaperones",1186,108,0.270145574558563,0.42210246024775466
Acropora_000029,positive regulation of low-density lipoprotein particle receptor biosynthetic process,-1.5079022027224591,RNA processing and modification,369,-417,0.0131074721276485,0.121370494694645
Acropora_000030,3-hydroxy-3-methylglutaryl-coenzyme A reductase,0.22814037618025562,Lipid transport and metabolism,281,427,0.0257722772193148,0.13596258847174458
Acropora_000031,microtubule nucleation by interphase microtubule organizing center,0.3379271961982618,Cytoskeleton,274,-294,0.129849829837484,0.27052047882809166
Acropora_000032,unfolded protein binding,-0.4376971172080714,"Posttranslational modification, protein turnover, chaperones",1186,108,0.270145574558563,0.42210246024775466
Acropora_000033,B cell differentiation,-0.4763954988812636,Transcription,676,-276,0.02845360312191,0.13596258847174458
Acropora_000036,intermembrane sphingolipid transfer activity,0.22177899194740353,Signal transduction mechanisms,1449,-166,0.0635980345966416,0.19874385811450498
Acropora_000039,Ariadne RBR E3 ubiquitin protein ligase 1,0.026315358672636048,"Posttranslational modification, protein turnover, chaperones",1186,108,0.270145574558563,0.42210246024775466
Acropora_000040,protein K48-linked ubiquitination,-4.005882228655019,"Posttranslational modification, protein turnover, chaperones",1186,108,0.270145574558563,0.42210246024775466
Acropora_000041,Galactose-1-phosphate uridylyltransferase,-0.4072993724883423,Energy production and conversion,247,154,0.451980401419603,0.5856885095200512
