gene,annot
Acropora_000021,structural molecule activity
Acropora_000030,3-hydroxy-3-methylglutaryl-coenzyme A reductase
Acropora_000033,B cell differentiation
Acropora_000049,Threonyl and Alanyl tRNA synthetase second additional domain
Acropora_000054,NA
Acropora_000056,NA
Acropora_000087,positive regulation of maintenance of mitotic sister chromatid cohesion
Acropora_000121,NA
Acropora_000140,Coiled-coil and C2
Acropora_000141,"D-arabinono-1,4-lactone oxidase"
Acropora_000146,NA
Acropora_000147,NA
Acropora_000151,Tektin family
Acropora_000152,NA
Acropora_000155,SUN domain containing ossification factor
Acropora_000184,Cytochrome c oxidase subunit Va
Acropora_000215,aldehyde dehydrogenase (NAD) activity
Acropora_000233,endopeptidase inhibitor activity
Acropora_000237,Histone H2A
Acropora_000238,"Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling"
Acropora_000239,Core histone H2A/H2B/H3/H4
Acropora_000242,lymphoid tissue lymphoma translocation
Acropora_000258,NA
Acropora_000263,Stimulated by retinoic acid gene 6 protein homolog
Acropora_000291,negative chemotaxis
Acropora_000315,NA
Acropora_000330,NA
Acropora_000331,protein auto-ADP-ribosylation
Acropora_000402,mitotic cell cycle checkpoint
Acropora_000409,NA
Acropora_000437,La ribonucleoprotein domain family member 6
Acropora_000444,Sodium/calcium exchanger protein
Acropora_000479,NA
Acropora_000501,Homer protein homolog
Acropora_000509,protein disulfide isomerase activity
Acropora_000511,NA
Acropora_000519,NA
Acropora_000546,NA
Acropora_000582,NA
Acropora_000616,NA
Acropora_000629,negative regulation of negative chemotaxis
Acropora_000700,calcium ion-regulated exocytosis of neurotransmitter
Acropora_000712,NA
Acropora_000713,calcium ion binding
Acropora_000719,NA
Acropora_000724,NA
Acropora_000725,NA
Acropora_000736,regulation of nucleic acid-templated transcription
Acropora_000746,negative regulation of smooth muscle cell differentiation
Acropora_000748,negative regulation of smooth muscle cell differentiation
Acropora_000754,negative regulation of smooth muscle cell differentiation
Acropora_000755,interkinetic nuclear migration
Acropora_000757,calcium ion binding
Acropora_000764,NA
Acropora_000832,NA
Acropora_000851,Myb/SANT-like DNA-binding domain
Acropora_000962,NA
Acropora_001104,guanine nucleotide-releasing factor
Acropora_001108,NA
Acropora_001113,G kinase anchoring protein 1
Acropora_001182,NA
Acropora_001215,NA
Acropora_001254,synaptic vesicle cytoskeletal transport
Acropora_001276,NA
Acropora_001323,phosphatidylserine metabolic process
Acropora_001329,Decapping mRNA 2
Acropora_001432,regulation of mitotic cell cycle
Acropora_001502,NA
Acropora_001538,"Crystallin, zeta (quinone reductase)"
Acropora_001557,NA
Acropora_001560,NA
Acropora_001581,NA
