gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,lpv,annot
Symbiodinium10400,1.5217012612053056,17.07619193300286,3.210373822414784,5.3190665254548035,1.0430099630425265e-7,1.3629595859451186e-5,4.865517021539678,NA
Symbiodinium10680,1.9367106960794798,17.25382648031931,3.209898450696887,5.375193871498773,7.650032365481294e-8,1.3584323362832556e-5,4.866961988980102,NA
Symbiodinium10733,1.9367106960794798,17.25382648031931,3.209898450696887,5.375193871498773,7.650032365481294e-8,1.3584323362832556e-5,4.866961988980102,inorganic anion exchanger activity
Symbiodinium11145,44.29357208650117,4.527816269597177,0.9450128139094287,4.79127499961194,1.6572479618746295e-6,1.8883308905344172e-4,3.7239219023356616,medium-chain-acyl-CoA dehydrogenase activity
Symbiodinium11258,1.5217012612053056,17.07619193300286,3.210373822414784,5.3190665254548035,1.0430099630425265e-7,1.3629595859451186e-5,4.865517021539678,Non-ribosomal peptide synthetase modules and related proteins
Symbiodinium11360,1.6600377394966968,17.136817937186407,3.2101887238024642,5.338258716729859,9.384348579991474e-8,1.3584323362832556e-5,4.866961988980102,NA
Symbiodinium117,1.6600377394966968,17.136817937186407,3.2101887238024642,5.338258716729859,9.384348579991474e-8,1.3584323362832556e-5,4.866961988980102,NA
Symbiodinium11754,1.7983742177880884,17.196606971786423,3.21003266063585,5.357143926498269,8.454776994580247e-8,1.3584323362832556e-5,4.866961988980102,NA
Symbiodinium11844,23.74804617048822,18.272752507759634,3.214607867928125,5.684286624837003,1.3135981228717515e-8,5.105398074262649e-6,5.291970389773821,NA
Symbiodinium12017,2.213383652662263,17.347871342232704,3.2096801409202396,5.4048598553683105,6.48590845520813e-8,1.3584323362832556e-5,4.866961988980102,NA
Symbiodinium12265,2.6283930875364367,17.479056805827426,3.209438631801564,5.446141463068217,5.147420412518968e-8,1.3398404765503502e-5,4.8729469063203075,NA
Symbiodinium12602,1.3833647829139142,17.00904893898715,3.2105953995798333,5.297786491942617,1.1721490870245627e-7,1.3629595859451186e-5,4.865517021539678,Uncharacterized protein family UPF0016
Symbiodinium12643,31.119516696042542,23.19720357112543,3.1821611442337696,7.289763943337656,3.104985694271778e-13,2.1056439534721843e-9,8.676615062454816,"1,3-beta-D-glucan synthase activity"
Symbiodinium12669,1.3833647829139142,17.00904893898715,3.2105953995798333,5.297786491942617,1.1721490870245627e-7,1.3629595859451186e-5,4.865517021539678,NA
Symbiodinium12733,130.27222543458126,-1.3728941455471857,0.3868380661100197,-3.5490151198220605,3.866748770871157e-4,0.036326952359985586,-1.439771035629164,NA
Symbiodinium1286,1.5217012612053056,17.07619193300286,3.210373822414784,5.3190665254548035,1.0430099630425265e-7,1.3629595859451186e-5,4.865517021539678,NA
Symbiodinium13124,1.7431862496570767,20.20740112213838,3.18468391878602,6.345182642125849,2.2216172028689244e-10,1.1460313323599478e-7,6.940803508646975,"intramolecular oxidoreductase activity, transposing S-S bonds"
Symbiodinium13318,6.1574652109757775,-22.358941830203545,3.0565770254861024,-7.315026463842407,2.5733067273953537e-13,2.1056439534721843e-9,-8.676615062454816,NA
Symbiodinium13395,2.326627850054028,21.157247355163783,3.183488622576703,6.645931512090403,3.013053474752687e-11,2.7047850466174926e-8,7.567867243229222,NA
Symbiodinium13734,20.909369457138368,22.15866961734572,3.182221198865165,6.963271322951366,3.324606309823358e-12,1.1165395312913702e-8,7.9521258960428085,NA
Symbiodinium13887,16.43370479340937,-6.061046889126045,1.405882638011604,-4.311204026033372,1.62368001421957e-5,0.001806550955428927,-2.7431497842484585,NA
Symbiodinium14490,41.37000399763394,18.65433075421479,3.2145429196340323,5.803105206739171,6.509791640713268e-9,2.676750846816186e-6,5.572392051259331,oxidoreductase activity
Symbiodinium14890,2.4723900567869284,17.28331014138948,3.177257430066632,5.4396946177027345,5.337197751683672e-8,1.3584323362832556e-5,4.866961988980102,NA
Symbiodinium15040,1.816004601086516,20.79221269022501,3.1968955708641125,6.503876097712173,7.827637678885983e-11,5.287755624413169e-8,7.276728624139148,NA
Symbiodinium15170,19.881278416370645,-6.1212539376023996,1.6901442190032958,-3.621734683216677,2.9263416485268587e-4,0.028336575171332437,-1.5476526408236548,NA
Symbiodinium15286,3.458411957284785,17.674600518516918,3.209129361341549,5.507599890310499,3.637590094448405e-8,1.1596146759515748e-5,4.935686296900644,NA
Symbiodinium15399,3.7805141661616535,21.22763092206675,3.177558203350458,6.680485317211205,2.3815224285617963e-11,2.6791998171608384e-8,7.571994895106156,NA
Symbiodinium15924,1.8199583913825468,20.83684943710415,3.1953402015924253,6.52101126093551,6.983494111250113e-11,4.832577924985078e-8,7.315821134274439,NA
Symbiodinium15942,0.8915832063142696,19.881750448160386,3.1942075241225796,6.224313948925947,4.836677134174865e-10,2.144159432043895e-7,6.668742925190741,NA
Symbiodinium16162,1.5217012612053056,17.07619193300286,3.210373822414784,5.3190665254548035,1.0430099630425265e-7,1.3629595859451186e-5,4.865517021539678,NA
Symbiodinium16207,1.5217012612053056,17.07619193300286,3.210373822414784,5.3190665254548035,1.0430099630425265e-7,1.3629595859451186e-5,4.865517021539678,NA
Symbiodinium16282,1.3833647829139142,17.00904893898715,3.2105953995798333,5.297786491942617,1.1721490870245627e-7,1.3629595859451186e-5,4.865517021539678,NA
Symbiodinium17360,13.655058486197216,8.850722906945045,2.265935849818277,3.905990060422431,9.384036914844583e-5,0.009934473707013825,2.002855135317524,NA
Symbiodinium17465,17.84884998801025,18.06664555272992,3.2146581996325843,5.6200828924191155,1.9086586044544405e-8,7.125323937576498e-6,5.147195386603109,NA
Symbiodinium17484,1.3833647829139142,17.00904893898715,3.2105953995798333,5.297786491942617,1.1721490870245627e-7,1.3629595859451186e-5,4.865517021539678,NA
Symbiodinium17549,2.490056609245045,17.440764301436783,3.209510202794726,5.434089066378412,5.5077066946447595e-8,1.3584323362832556e-5,4.866961988980102,NA
Symbiodinium17587,27.942728287800144,3.9833711915742,0.9997318821168367,3.984439491056134,6.763958893149042e-5,0.007269206125622144,2.138513016113108,"NAD-dependent protein deacetylase, SIR2 family"
Symbiodinium17629,53.03085540529911,-3.6436751398967395,1.0043221272530996,-3.6279944860544684,2.856313596826012e-4,0.027753194989434113,-1.5566870130310868,NA
Symbiodinium18044,2.232509538834258,17.217011015221438,3.178041976945731,5.417490121312969,6.044148796490272e-8,1.3584323362832556e-5,4.866961988980102,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Symbiodinium18206,20.369641462181225,4.8181361421534366,1.292757328659259,3.72702287996341,1.937548757865307e-4,0.019493664311402304,1.710106516929467,NA
Symbiodinium18233,25.55646690468005,6.05869640137201,1.4943000120976313,4.054538146504519,5.0233452967985865e-5,0.005439784456517919,2.26441830824289,NA
