name	term	lev	seq	value
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_013940	2.16168785211684
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_020390	-0.444470292769156
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_027699	-1.37487026212808
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_018627	-0.630466499448929
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_003621	-0.44869331637473
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_025077	-0.0577234767746319
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_024400	-0.785779367680889
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_011388	0.627492489972558
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_007795	-6.47246303077188
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_011005	-0.983616497910723
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_025907	-2.86005260846847
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_009867	0.368454501591615
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_010266	0.0110624619368996
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_022311	0.238398751504106
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_008918	0.462228585910555
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_015105	-2.90706942244054
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_031104	-5.1984574851665
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_023828	-0.301913824015269
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_004302	-0.00233359497313679
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_023484	-3.82747493883534
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_022111	0.320576900870708
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_005764	-0.284771727759032
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_002793	-5.65298075711606
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_010302	0.787773907985036
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_018395	1.25266510894023
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_010863	0.198007642310803
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_028026	1.68112251138333
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_019509	0.397593763605148
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_008689	0.0116932727351831
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_015913	-0.0429615062789727
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_003263	-2.22397773721679
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_005568	-0.912862009153584
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	GO:0016810	3	Acropora_031076	0.610045143734244
